artist,genre
"Lukão Mec, Dj Pkg Correia",
Igor & Walace,
"Enna, Leo",
"Pam Rabbit, Ben Cristovao",
"Crazy Design, Ceky Viciny",
"Moslem, Sadat",
Vended,"Nu Metal, alternative metal, groove metal, metalcore, metal, nu metalcore, Nu-metal, iowa, USA, american"
So La Lune,Pop Urbaine
scary vvs,
Katha Rosa,sad pop
Alexander Eder,"austrian, pop, the voice, German Pop"
Funi Kun,
Manish Kumar,
"R - SMACK, Yohani",
Master Saleem,"Indian, india, Punjabi, All, Bhangra, Indian Fusion, punjabi bhangra, spotify"
Mário Silva,
"Betrand Peto Putra Onsu, Anneth",
GrupoLosDelGrande,
"Sharif, Gordo del Funk, Charles Ans",
"Camilo Séptimo, Ximena Sariñana",
"Aloha Live, ElGrandeToto, Aykonz",
"Karsu, Beste Zangers",
Azifm,"electronic, UK, dnb, Drum and bass"
Origin Roots Aotearoa O.R.A,
Metteson,"norwegian, Norway, pop, electropop, dance pop, nordic, scandinavian, Scandinavian Pop, norwegian pop"
Kaleb Austin,
Guillermo González,
L. Raul Almada López,
"DJ GUSTAVO DA VS, Mc J Mito, Mc Índia",
Southpaw,"indie, alternative rock, Czech, rock, synth pop, emo, pop, hard rock, indie pop, Need to Rate"
"Bambiel, Fernanfloo",
Felip,"pop, hiphop, OPM, rnb, pinoy pop, vispop, Pinoy Music, P-pop, ppop, Philippine music"
Hoss,"australian, Garage Rock"
"Rita Guerra, João Paulo Rodrigues",
Guga,"psytrance, dark psy, darkpsy, Portugal"
traian,"hip hop, rap, Hip-Hop, underground hip-hop, hyperpop, scenecore, underground, Chisinau"
"YUAN, 嘿人李逵Noisemakers, Nudnik",
"Pseudo, tylo, ting",
"Chantalle Ng, 刘怡伶, 黃晶玲, Abigail, Latonia Tay",
"DA BRAZZO, Sbally sa kazi",
"Siphesihle Skhakhane, Yanga Chief",
"Jeremy Loops, Ladysmith Black Mambazo",
"SUMIN, Slom",south korea
"Sofía Gabanna, Hard GZ, Lupita's Friends",
YoungLee,
金其禾,
PIZZALI,"taiwanese, japanese, rap, Hip-Hop"
禪波,
Zing,jazz
Nufrain,
Mceyn,
АСАФАТОV,"Ukrainian, Ukraine, Vinnytsia, pop, ukrainian pop"
FORGOTTENAGE,"phonk, electronic, Russia, instrumental, russian, drift phonk"
"Anz, George Riley",
"Dan Sanchez, Ovi, L-Gante",
Nguyễn Đặng Châu Anh,
Anh bạn Thành,
Guille Campo,argentina
Zhu Yan Jiang,
Chris and Dave,
McCafferty,"indie, emo, folk punk, pop punk, midwest emo, punk, alternative rock, indie rock, United States, american"
Rune Rask,
"MAXAM, LIZOT, Marmy",
"DizzyTooSkinny, Batistuta",
Valerio Gaytán,
Zolita,"pop, indie, electronic, lesbian, sapphic, american, female vocalists, dark pop, lgbt, queer"
Ann B,
Garden City Movement,"chillwave, electronic, downtempo, indie, israeli, try, indie pop, Israel, trip hop, ambient"
Moti Weiss,
bianca,"pop, black metal, Italo Disco, Schlager, Nova California Seixas, Disco, BEto Juara, female vocalists, dance, Aleyster Crowley"
TisaKorean,"trap, rap, silly, Hip-Hop, angelic, Crunk, hip hop, USA, us, american"
mesbahii.anis,
yaw gnorw,
"Empire Cast, Mario, Katlynn Simone",
"Citizen Deep, Kasango, Bukeka",
"m-flo, melody., Ryohei Yamamoto",
Dan Olsen,
"Glen Hansard, Markéta Irglová",
Sivik,"electronic, pop, rnb, r&b, All, USA, american, los angeles, under 2000 listeners, catchy"
F.N.Y,
Inglorious,"hard rock, black metal, rock, heavy metal, polish black metal, death metal, metal, UK, british, poland"
Casseurs Flowters,"french, rap, Hip-Hop, hip hop, french hip-hop, electronic, france, best, caen, Rap FR"
Irie Révoltés,"reggae, ska, dancehall, french, ragga, german, antifascist, Hip-Hop, political, heidelberg"
Great White,"hard rock, hair metal, classic rock, rock, blues rock, Glam Metal, heavy metal, 80s, american, metal"
Stray Dogg,"folk, indie, serbian, acoustic, americana, indie folk, stray dogg, Lo-Fi, Serbia, pure love"
Lewis Bootle,"british, alternative, Nice music, discoverunsigned, DPC promotions, oxjambracknell"
IQ,"Progressive rock, Neo-prog, neo progressive, Progressive, neo prog, rock, british, neo-progressive rock, Neo Progressive Rock, art rock"
"Faze Miyake, Merky ACE, AJ Tracey",
"Jynjo, R E L",
"Nashville Cast, Charles Esten, Lennon & Maisy",
Alyssa Micaela,"country, female vocals, female vocalists, contemporary country"
"De Lancaster, DJ Happy Vibes",
"Vanessa Mai, Stefan Pössnicker",
CloZee,"electronic, dubstep, glitchstep, french, glitch, Orchestral Glitchstep, glitch-hop, great discovery, female vocalists, 4"
Shigeto,"idm, glitch, ambient, electronic, glitch-hop, experimental, beats, downtempo, wonky, electronica"
Elsa Lester,
"Kapitán Demo, Tencoponěmjdesociálka",
"Marwan, Lord Siva",
Bullin47,
Uffie,"electronic, Electroclash, electropop, electro, ed banger, female vocalists, french, Hip-Hop, dance, pop"
Mirel Wagner,"folk, acoustic, singer-songwriter, blues, finnish, female vocalists, indie, indie folk, finland, ethiopian"
"Veljo Tormis, Estonian Philharmonic Chamber Choir, Paul Hillier",
Alison Wonder,
Ducky,"electronic, bass, USA, american, dubstep, female vocalists, electro house, melodic dubstep, old favorites, like a party in your ears and everybody came"
Enzo Ortiz,
TYM,"soul, electronic, rap, hardcore, hip hop, electropop, german, rnb, glitch hop, techno"
dj nh,
Lee Min Ho,"k-pop, Korean, lee min ho, male vocalists, so incredibly sexy, please let me lick you, Kpop, lee minho, Korea, male vocals"
Max Jury,"soul, folk, singer-songwriter, indie pop, american, indie folk, USA, Alternative Folk, folk pop, acoustic easy-listening funshine"
Hinemoa,"iceland, icelandic, Eurovision, under 2000 listeners"
Os Mutantes,"psychedelic, tropicalia, brazilian, experimental, rock, Psychedelic Rock, Progressive rock, 60s, brasil, mpb"
Karina Pasian,"female vocalists, rnb, r&b, karina pasian, pop, soul, underrated, easy listening, urban, indie"
Yoshie Kashiwabara,"japanese, j-pop, pop, JPop, japan, Yoshie Kashiwabara, japanese female vocal"
Los Diablito,
Linh,"france, french, french pop, female vocalists, female french"
Un Siècle De Musiques De Films,
Gucci Dassy,
Emperor Party,
Prathik Jain,
Deep Joshi,
"Vibe Ish, Tzukush",
Thouxanbanfauni,"cloud rap, trap, plugg, rap, Splur Gang, Hip-Hop, hip hop, georgia, american, atlanta"
"Possession Techno, Lacchesi, Mac Declos",
