artist,genre
"Princess Ai, Kumachan",
"張語噥, GBOYSWAG",
"1MILL, Lil Gotit",
"Marwan Moussa, Alyoungofficial, Randarofficial",
La Luz Roja De San Marcos,"mexico, cumbia"
"Lika-Aki, Sairas T",
"Räpfaija, Lydia Kenig",
"Ben Cristovao, HILLS 97, Osama Verse",
Asuking,
Mostafa el Degwy,
Margiiela,estonian
LE RISQUE,
Mahiana Roszallo,
"Tanishk Bagchi, Udit Narayan, Alka Yagnik",
ANSONBEAN,
Chippoke Ohashi,"japan, japanese, j-pop rock"
"L'morphine, Hamza15-3",
Saad,"Deutschrap, ersguterjunge, rap, Saad, Hip-Hop, hip hop, underground hip-hop, german rap, Lebanon, German hip hop"
"Emma Heesters, Rolf Sanchez, Beste Zangers",
"Gali Atari, Uzi Hitman, Chani Nachmias",
"Dafna Armoni, Hanan Goldblat, Esther Shamir, Dudu Elharar",
"Cast of ""Hag Li"", Shlomo Artzi, Yardena Arazi",
"J2LASTEU, 65Goonz, VillaBanks",
"CatchUp, Hodak, 2K",
"Singapūras Satīns, Slinkays Acs",
"Singapūras Satīns, Anmary, Ricky Done Did It!",
"VisaGangBeatz, MAYOT, SEEMEE",
Afrodisiaco,"All, Peru, rock peruano, spotify"
DJ MO,
northsixty,
"Mdoovar, 9umba, Jadenfunky, Stitchgawd",
"Focalistic, DJ Maphorisa, Mellow & Sleazy, Madumane",
"AmaSiblings, DJ Mngadi",
DJ TKM,
Lim Young Woong,"Korean, k-pop, Trot, pop, Ballad, Kpop, pop rock, south korea, adult contemporary, korean ballad"
Ayla Dikmen,"turkish, turkish pop history, ayla dikmen, pop, Soundtrack, 45lik, nostalji, 45likler, olacak, 45"
"Saran, Pondering, WHALJAY, SLOWVXNZ",
"ADORA, EUNHA",
JIN,"bts, rap, hip hop, Hip-Hop, Kpop, k-pop, instrumental, jin, Power metal, Korean"
"Lucas Lucco, Guilherme & Benuto",
Khaled Abdul Rahman,"gulf, All, spotify, kot, Saudi, radio riyad, radio kuwait, Mondiovision"
"Dax, Nasty C",
Adinda Shalahita,"indonesia, pop"
SAINTS,"australian, punk, Ostralia, rock, soul, punk rock, metalcore, 77, 70's, deathcore"
"Dj Chris-Albert, Tisho, Yoyo, FLEMING MUSIC RD, Chamin, Bdo Berardo",
Solkatt,"techno, House, ireland"
MohandBadz,
"Trap19 Connection, FYRE",
"Cheb Bello, Dj Mouley",
DJ FLASH,"Russia, tech house, Progressive, jungle, dnb, oldies, Drum and bass, electro progressive"
Twenty BeatZ's,
"Kay Tse, Room307",
"Janice Vidal, Jay Fung",
Cloud Nothings,"indie rock, Lo-Fi, indie, post-hardcore, noise pop, noise rock, rock, american, emo, Garage Rock"
"GRiZMATiK, GRiZ, Gramatik",
Eden Mary,"pop, acoustic, electronic, female vocalists"
InnerCut,"hip hop, rap, electronic, Hip-Hop, dj, spanish, electronica, producer, spain, trap"
Matt Strike,Italy
"Fred Falke, Jake Isaac",
"Felix Cartal, Ofelia K",
Skindred,"reggae metal, rapcore, metal, reggae, alternative, Nu Metal, alternative metal, ragga metal, crossover, british"
"Screapers, Matt Joe",
Laura Lo,"pop, latvian, female vocalists, indie, Supernova, LTV Supernova, latvian female vocalists, Bandcamp"
Franco Franco,"hip hop, indie pop, latvian, indie rock, young echo"
Nosaj Thing,"electronic, glitch-hop, glitch, ambient, hip hop, idm, experimental, Hip-Hop, wonky, abstract hip-hop"
She Wants Revenge,"post-punk, darkwave, new wave, indie, alternative, indie rock, electronic, Gothic Rock, alternative rock, american"
CAN,"krautrock, experimental, Progressive rock, psychedelic, german, Psychedelic Rock, Experimental Rock, Avant-Garde, 70s, rock"
"Levi Carter, Key",
"Felicity, Thomas Feelman",
"GFDM, NÉONHÈART",
Jan Swerts,"piano, folk, slowcore, minimalism, Classical, melancholic, contemporary classical, singer-songwriter, depressive, ambient"
Chef Soldaat,
Te Vaka,"world, south pacific, oceania, New Zealand, polynesia, pacific, Te Vaka, ethnic, tokelau, samoa"
"Fabio Fusco, Moon",
M-Girls 四个女生,
Dan Layus,"americana, acoustic, rock, Alt-country, folk, singer-songwriter, folk rock, roots rock"
"Howard Shore, Enya","Soundtrack, instrumental, Classical, composers, lord of the rings, composer, Canadian, orchestral, epic, film score"
"Lin-Manuel Miranda, Opetaia Foa'i","Soundtrack, american, polynesian, samoan, samoa"
"V-Sag, Alexandra McKay",
Overcoats,"indietronica, alternative rnb, female vocalists, pop, indie pop, minimal pop, electronic, USA, alternative pop, All"
La Santa,"pop, rock, pop rock, uruguay, Rock uruguayo"
"Nathan Lane, Ernie Sabella, Jason Weaver, Joseph Williams",All
"Beyoncé, Clifford Smith, Cleveland Browne, Danny Browne",
Su$hi Takeøut,
Roy Blair,"indie pop, indie, bedroom pop, alternative rnb, synthpop, USA, american, art pop, los angeles, alt pop"
Bruckner,"Classical, romantic, austrian, composers, symphony, composer, Austria, romanticism, 19th century, classical music"
Nova Materia,"chilean, neo psychedelia"
"Jacin Trill, Qlas & Blacka",
"Bigidagoe, Henkie T",
"Nea, SHY Martin",
"Don Miguelo, Wason Brazoban",
MURU,"ambient, pop, electronic, dark pop, Banks, chet baker"
Nusky & Vaati,"french, pop, male vocalists, france, 20s"
Christopher Walken,"spoken word, comedy, hipster, Hairspray, people who make my world a better place for one reason or another"
Kiko King & creativemaze,"trip-hop, electronic, downtempo, germany, triphop, Berlin, trip hop, electronic , bass, alectronic"
Eazy Going,"rap, german, trap, Hip-Hop"
The Subways,"indie rock, indie, british, rock, alternative, Garage Rock, alternative rock, britpop, punk, punk rock"
Alan Fitzpatrick,"techno, tech house, minimal, electronic, bedrock, drumcode, House, minimal techno, british, UK"
Stephanie Rainey,"singer-songwriter, indie, female vocalists"
"Natalie Cortez, A Chorus Line Ensemble (2006)",
Martin Fox,"possibly fake, instrumental, piano"
"BLACHA, Bibič",
"Francuz Mordo, Alberto",
Yume Miru Adolescence,"japanese, j-pop, pop, j-idol, idol rock, anime rock"
Vidya Vidya,
"Helene Fischer, Elvis Presley",
St. Lucia,"synthpop, electronic, indie, Dreamy, electronica, south african, indie pop, american, south africa, USA"
Soen,"Progressive metal, Progressive rock, metal, swedish, Sweden, Progressive, alternative metal, alternative, rock, alternative rock"
Saosin,"post-hardcore, emo, screamo, rock, emocore, alternative rock, alternative, american, hardcore, post hardcore"
NxWorries,"soul, Hip-Hop, hip hop, Neo-Soul, rap, rnb, american, nu soul, Neo Soul, west coast hip hop"
"Arno Cost & Norman Doray, Mike Taylor, Robert Allouche, Frederik Stigsson",
"Caza, Jonna Fraser, Josylvio",
Tim Schalkx,
Joyzu,"american, electronic, america, music, artistes, United States"
El Blopa,
"Jador, Vladuta Lupau",
"M'Dee, Truwer",
