artist,genre
"racine neto, DJ Malicia, Mc RB",
Vulgo FK,"trap, trap BR, brazil, soul, trapfunk, brazilian, rnb, trapsoul"
Marc O'Reilly,"folk, acoustic, singer-songwriter, irish, ireland, eurosonic2016"
"Samuele Sartini, Andrea Torres",
Teen Jesus and the Jean Teasers,"punk rock, rock, indie rock, punk, canberra indie, australian, indie, indie pop, pop punk, riot grrrl"
Seila,
Kblast,
Blitz Union,"industrial metal, Czech, Czech Republic, metal, Future Rock, industrial, alternative metal"
GMS,"psytrance, goa, psychedelic, psychedelic trance, trance, electronic, Goa Trance, full-on, GMS, dutch"
MANIA,"black metal, power electronics, Cascadian Black Metal, Power metal, noise, atmospheric black metal, heavy metal, thrash metal, speed metal, 80s"
"Tapani Kansalainen, Kalle Kinos, Kosola, DJ Massimo",
"LAZZIO, SDM",
"劉蘊晴, 石裂符",
"Lanndo, Eve, suis",
Simar Dorraha,
Arsh Lally,
Definite Music,
DJ Seinfeld,"House, electronic, outsider house, deep house, swedish, lo-fi house, techno, Sweden, breakbeat, ambient house"
היוצרים,
ワンダーランズ×ショウタイム,"vocaloid, j-pop, project sekai, pop, cover, upbeat, JPop, comforting, idol, silly"
"Metrik, Grafix",
"Bass Astral, Divines",
"WŁODAR, Pedro",
"Remo, Tabb, Artur Sikorski",
СМЕЛЫЧ,
"ALON, HLEB",
"DP龍豬, Swei水, Rays陳袁",
"Msaki, OSKIDO",
"HLE, Hlengiwe Mhlaba",
Artie,"musical, Soundtrack, glee, cover, 10s, Glee Cast, pop, american, female vocalists, male vocalists"
"魏嘉瑩 Arrow Wei, Queen Wei",
"Suzan Hacigarip, Yasir Miy, Çağan Şengül",
"Juls, kadiata, Knucks, Sam Wise",
EASHA,"pop, indie, singer-songwriter, indie pop, new jersey, USA, acoustic, bedroom pop, dream pop, american"
Priya Ragu,"rnb, soul, sri lanka, pop, switzerland, female vocalists, indie, swiss, sri lankan, my ladies"
"Niman, Truwer, Райда, Scriptonite",
Le Pedre,"french, House, france, electronic, mainstream"
"Big Soto, Lérica, Lyanno",
Henric Edström,"swedish, pop, Hip-Hop"
Luis Dimas,"nueva ola, chile, rock clasico chileno"
"August, Kout",
Aroddy,
The Wiggles,"children, australian, pop, kids, deek, misc, children's music, dake, grady, free range caucasians"
"Tommy Tellerlift, Die Fangzauner Schneebrunzer",
Ola,"swedish, pop, dance, male vocalists, electronic, Sweden, melodifestivalen, idol, vitor e leo, hot"
Brenno,
"Vinicius Santoz, Zé Felipe Triste, Áureo Deni",
"PAPATRACKS, L7NNON, OIK, NOG",
"Zafrir, Afrojack",
Ignacio Arfeli,"techno, germany, mainstream techno"
Trickstar ✕ fine/氷鷹 北斗(CV.前野 智昭)、明星 スバル(CV.柿原 徹也)、遊木 真(CV.森久保 祥太郎)、衣更 真緒(CV.梶 裕貴)、天祥院 英智(CV.緑川 光)、日々樹 渉(CV.江口 拓也)、姫宮 桃李(CV.村瀬 歩)、伏見 弓弦(CV.橋本 晃太朗),
Roberto Calero Piedrahita,
"Mohammed Alsahli, زينة عماد",
Millésime K,france
Deeloc,
"Gandim, Cálculo",
"Th Mark, Negros Tou Moria, Pit Barkas",
MJ5,
AFKAP,"Hip-Hop, rap, Indian, chill, Desi Hip Hop"
Abhi Dutt,
"Teuku Ryzki, Aldy Maldini",
"BAEKHYUN, DOYOUNG","doyoung, baekhyun"
"Scott Rill, Yasmin Levy",
"Junior, Mgk666",
Msaki,"south africa, indie folk"
"Vanessa Paradis, -M-",
Sad Night Dynamite,"indie pop, indie, pop, british, days and nights, Lo-Fi, UK, nme 100"
"SAYMYNAME, Crichy Crich",
Ken Stoffers,"hairy chest, dutch male vocalists, the next boy girl band, guys I would fuck, temptation island"
A Most Wanted Man,
un muerto mas,"pop, indie pop, argentina"
"GORDÃO DO PC, MC Lil Beat, Nandinho, Mc Talibã",
"Big Soto, Micro TDH",
"Ricardo Montaner, Juan Luis Guerra 4.40",
"Juan Solo, KURT",
Mohamed Saad,
"Sanjin, Garmiani",
"Zuukou mayzie, Osirus Jack",
1986zig,german
Julita,"germany, german, a gdyby tak, julita, Julita Dawidowicz"
$hyfromdatre,"rap, Hip-Hop, North Carolina, USA"
"Guccy, Kid Canady",
Isey,
แซนดี้ ญาณิศา,
LEE SEUNG YOON,"rock, indie, indie rock, alternative, ost, male vocalists, Korean, 이승윤, k-rock, k-indie"
"Cinta Kuya, Uya Kuya",
ajsa luna,"hungary, hungarian"
dewolS Music,
Lofi Pig,
Elnanda Utomo,
"DJ Mbon Mbon, Rahmad Fauzi",
"Yellow Claw, Sara Fajira",
Pat,"hip hop, pop, Schlager, german, dance, electronic, rap, party, Hip-Hop, summer"
"Smilez, Youngiz",
"Fumez The Engineer, Pete & Bas",
Shiko Hayak,
"Itto, Jambo Lacquer",
Hasni Sghir,
"Christabel, Chequered Pattern$",
"ICON808, Nicola Siciliano, Nitro, Braco",
Axell,"zouk, Axell"
"鈴木愛理, Blue Vintage",
"Cheb Bello, Dj Moulay",
Rai,"nerdcore, rap, All, Hip-Hop, slovenian, Polski Hip Hop, slovenia, rai knight"
"Hakmadafack, Sevn Alias",
Pirapus,"electronic, New Zealand, lesser known yet streamable artists, EDM, dancefloor drum and bass"
SOLEY,"indie, female vocalists, icelandic, reggae, madagascar, sega, malagasy, biguine, indie pop, singer-songwriter"
"Muchy, Bela Komoszyńska, Jan Borysewicz",
"Pawbeats, Bisz",
Soraia Tavares,"female vocalists, pop, portuguese, dance pop, cape verdean, portuguese female vocalists, Festival da Canção, Festival da Canção 2019"
Teresinha Landeiro,"Portugal, portuguese"
