artist,genre
Anna & Emma,
Anirudh Ravichander,"tamil, All, kollywood, india, pop, alternative, rock, Indian, composer, alternative rock"
"Anirudh Ravichander, Shakthisree Gopalan, Brodha V",
"Darren Espanto, Morissette",
Agsunta,"OPM, rock, philippines, Filipino, opm pop rock, filipino pop rock"
Luh Kel,"rnb, soul, pop, american, United States, st louis, trap, Melodic Rap, chill rap"
"Tymek, Trill Pem, TEDE",
"Kubi Producent, Białas",
"GOLEC UORKIESTRA, Gromee, Bedoes",
"Miley Cyrus, Swae Lee, Mike WiLL Made-It",
"Wac Toja, Kizo",
"Cat Dealers, Bruno Martini, Joy Corporation",
"Young Multi, Żabson",
"Kokab, Beatchild",
"Capital T, King Khalil, Trippie Boi, M.O.030, Lil Lano",
Massiv,"Deutschrap, rap, german rap, Hip-Hop, massiv, deutsch, Berlin, German hip hop, Deutscher Hip Hop, hip hop"
Dusty Bottle,"rnb, jazz, pop, Disco, Hong Kong"
Emily Blunt,"pop, female vocalists, british, england, Into the Woods, Classical, english"
Freckle,"taiwan, chinese, experimental, C-pop, chinese indie, taiwanese"
Austin Lee,"pop, chinese, rnb, taiwanese"
Anton Líni,iceland
"Kevcody, Hansie",
"Parazitii, Daniel Lazar",
Mario Fresh,"Romanian, romania, romanian male vocalists, Romanian Pop, born in iasi"
"Gleb, Samey",
"Gleb, Luna 99, Fobia Kid, Big Horse, Kaput",
"Gleb, Hatori Hanza",
"De Mthuda, Njelic",
Zero12Finest,amapiano
"Secreto ""El Famoso Biberon"", Ceky Viciny",
"JLC, Robin Bengtsson",
"Miss Li, Petter",
William Segerdahl,"pop, swedish, swedish male vocalists, Sweden, swedish music scene 2022, Melodifestivalen Songwriters, europe 2022, melodifestivalen 2023 songwriters"
UNDRESSD,"swedish, denmark, danish"
Herve Pagez,"pop, french, dance, electronic"
"Rachel Liang, Mixer",
"Chris Lee, 吳青峰",
"高爾宣 OSN, SOWUT",
"Wonderframe, Kanto",
AB6IX,"k-pop, pop, Korean, AB6IX, Kpop, dance, Asian Pop, Kings, 2020, brand new entertainment"
Ati242,"hiphop, turkey"
"Vio, Burry Soprano, Tepki, Motive, UZI, Atlas, Baskın",
"DJ HASEBE, SALU, SIRUP",
"Aşkın Nur Yengi, Mehmet Erdem",
"Keişan, Ben Fero",
Banu Parlak,"Turkish Pop, turkish, turkey, Turkce, turkiye"
"Skepta, KEY!",
"Skepta, Cheb Rabi, B Live",
"Skepta, Lay-Z, WizKid",
