artist,genre
"Steven Universe, Zach Callison, Estelle, Deedee Magno Hall, Michaela Dietz, Shelby Rabara",
CERO39,"Colombia, latin, electro, electronic, deep house, 20s, Reggaeton, cumbia, colombian, 10s"
"Vladimir 518, James Cole",
Vladimir 518,"Hip-Hop, rap, Czech, bigg boss, czech hip-hop, hip hop, electro, Brutal Death Metal with Nordic Influence and guest vocalist satan, alternative, drugs"
BLUFF CITY,"rnb, soul"
The Qarah,alt. rock
Paco de Lucía,"Flamenco, guitar, spanish, guitar virtuoso, jazz, instrumental, spanish guitar, acoustic, spain, world"
 ,pop
"Re Fantasma, Mala Fama",
Cami Ibañez,
"Aranguren, Jacob Mayhem",
Daddy Melquiades,
"Kodigo, DrefQuila, Warrobit, JNO, SG, Duki",
TriangleSouls,
Alfie Arcuri,"australian, pop, the voice, The Voice Australia, the voice winner, australian male vocalists, Australian Singer, Una voce per San Marino 2023 semi finalists, Guys of Eurovision, una voce per san marino 2023 semi 1"
"Jules LeBlanc, Hayden Summerall",
Royville,
Zach Beaver,
Jack River,"indie, indie pop, australian, pop, singer-songwriter, alternative pop, alternative, electropop, dance, alternative rock"
Jay Alvarrez,
Banoffee,"electronica, chillout, pop, indietronica, electronic, trip-hop, indie pop, art pop, experimental, australian"
"XIE, VIRTU",
Reonda,"indie, alternative, female vocalists"
Cult of Helix,"australia, pop, synthpop, electronic, under 2000 listeners, female vocalists, 10s, under 100 listeners"
Spazzy D,
"Lil Jon, Skellism",
Black Summer,"alternative metal, hard rock, alt. metal, modern rock, under 2000 listeners"
Feelds,"singer-songwriter, alternative, australian, alt pop"
Von Seiten der Gemeinde,austrian
Marija,"Serbia, pop, dance pop, female vocalists, electronica, electronic, dance, trip hop, Europop, female vocals"
Like Elephants,"indie rock, dream pop, austrian, under 2000 listeners, under 100 listeners"
"MAD M.A.C., Jamis",
"Romagaga, Acriana",
"Don L, Nego Gallo",
"Pedro Qualy, Rincon Sapiência, Clara Lima, LiFlow, Luccas Carlos, Xara, Drik Barbosa, Don L, Pineapple StormTv, Slim Beat",
"Don L, Diomedes Chinaski",
Israel Subira,"worship, authentic, independent compositor, autenticidade"
Tópaz,"indie, brazilian rock, rock gaucho, rock, brazilian, alternative, rio grande do sul, brazil, alternative rock, All"
Mc Jhojhow,"funk, brasil"
Alma Thomas,"singer-songwriter, indie, Jam, female vocalists, sexy voices, Bossa Nova, great voice, heartfelt singer, high notes, the voice brasil"
"Brisa Sons + Ideias, Mariana Aydar",
JØRD,"brazil, tech house"
"Mihaela Fileva, VenZy",
Alan Doyle,"folk rock, rock, acoustic, Canadian, canada, blues rock, alternative rock, newfoundland, rock n roll, deep"
"ALVN, Exlau, Rosendale",
SLANDER,"Brostep, heavy metal, dubstep, hardcore, NWOBHM, melodic dubstep, future bass, thrash metal, hardcore punk, italian"
Emma-Lee,"jazz, folk, singer-songwriter, indie, female vocalists, Canadian, easy listening, sublime, acoustic, female vocalist"
"Valaire, Karim Ouellet, Alan Prater",
"Vicente Cifuentes, Abel Zicavo",
"Mym, Luigi 21 Plus",
"Chucho Flash, Farruko, Sixto Rein",
"UMEK, Mike Vale, Chris The Voice",
DJ Mendez,"dance, swedish, latin, Hip-Hop, latino, hip hop, rap, 00s, chile, samba"
"Viceroy, Tom Aspaul",
Bautte,
"Juanse Rivero, Juank Ricardo",
"Daniel Calderón, Farid Ortiz",
La Jagua,
Alex Soto,my music
"Andres Loaiza, Daniela Batarse, Gabriel Loynaz",
Mauno Gang,"finnish, rap, jonnerap, trap"
Biga Ranx,"reggae, french, rap, dub, hip hop, Hip-Hop, electronic, dubstep, france, dub reggae"
Smash Hit Combo,"rapcore, frenchcore, hardcore, crossover, deathcore, metal, metalcore, Nu Metal, french, death metal"
"John Known, Figub Brazlevic",
Solunn,
ByeAlex és a Slepp x Lotfi Begi,
"Stacy Kidd, Matthew Yates, Ice Mike L.",
Tensaibonjin,
Olga Chung,"songwriter, Bossa Nova, hongkongese, Hong Kong"
Beginner,"hip hop, german, Hip-Hop, german hiphop, hamburg, rap, deutsch, Deutschrap, beginner, German hip hop"
La Delfi,"Reggaeton, queer, dembow, latina"
Locadia,
John Vetter,
"Primacy Funk, Emsky, Kazi",
"Steven Universe, Deedee Magno Hall, Grace Rolek",
"Steven Universe, Olivia Olson",cartoon
Suumoo,piotr krasko w swojej mazurskiej posiadlosci
"Snavs, KING",
高愷蔚,
"Tobias TKB, Karoline Fransiska",
Tito,"psychedelic, folk, Reggaeton, male vocalists, kosmische, environmental, ambient, pre-hispanic drone, transcendental, vintage latin"
Magtens Korridorer,"danish, rock, dansk, punk, denmark, alternative, alternative rock, Danish Rock, punk rock, post-punk"
Leo Gold,Ukraine
Ling Ling,"klamauk, Hard Trance, hard techno acid techno, rock, Kyrgyzstan, Acid, tekno, mainz, japon, spontanMusik"
Young Bong,"danish music, rap"
Williamsburg Quartet,"american, USA, United States"
"Cesar Peña, Welinton Quiw",
"Diana Fuentes, Gente De Zona",
"Nicolas Tovar, Robert Taylor",
Esto es Eso,"latin, ecuador, world, Fusion, pasillo hop, Esto es eso, mestizo, vida musical, Ecuafornia"
Tuska20,
Pimu,finnish
"Huuki, Lance",
"RASI, Kahikko & Jespr, Emma Amalia",
Elina Joanna,
Emmi Uusitalo,
"Sakari Kuosmanen, Åttopojat",
Mxe,techno
"El Vipa, Musamasa",
Nuorihylly,
"Pyhimys,Toinen Poski",
Lumottu Apina,finland
Janely,
La Tata Moro,
"Vodk, youtunes",
DJ JIXY,
Hyacinthe,"french hip-hop, rap, french rap, rap francais, babtou, fils de pute, baise ta mere sous ocean de billets, rap malpoli, vrai rap de blanc"
"Fabich, Josh Barry",
"Dehmo, Niska",
Medimeister Mainz,
Hamza B-Leischt,
Enyadres,"pop, deutschland"
"Ogün, Der Ömsen",
SAMY,"rap, Hip-Hop, swedish, swedish hip-hop, swedish hiphop"
3uki,
"Romano, MastaMic",
Castor Troy,"grindcore, hardcore, Grind, british, math-grind, under 2000 listeners, mathcore"
"Skan, Krale",
"Ost Boys, DJ Dürüm",
MR SWAGG 360,
Oriion,pop
Clara Louise,"pop, german, female vocalists, Underrated gems, pop rock, singer-songwriter"
Mi Ka,
L_cio,"techno, electronic, brazilian, minimal, idm, spiritual techno, deep techno, funk_add_to_lidarr_batch_15"
"DJDS, Amber Mark, Marco McKinnis",
Stavento,"Greek, indie, World Music, female vocalists, entexno, Greek Pop, greek rock, greek eclectics, edehno, under 2000 listeners"
"Electric Guest, Devin Di Dakta",
Kike Pavón,
"尹光, Phat",
IVY,"indie, female vocalists, indie pop, chillout, pop, american, trip-hop, dream pop, Korean, female vocalist"
"RAC, St. Lucia",
Péterfy Bori & Love Band,"hungarian, alternative, female vocalists, pop, easy listening, magyar, hungary, budapest, indie, rock"
Hilmar,
3SOME,"rock, alternative rock, finnish, pop rock"
"Henry, nafla",
Rothko,"post-rock, ambient, experimental, instrumental, Avant-Garde, british, minimal, post rock, shoegaze, United Kingdom"
Ellen Courtois,
Scaredy Cat,
The Pierces,"indie, female vocalists, folk-rock, alternative, singer-songwriters, folk, american, pop, indie pop, folk rock"
Lazlo Bane,"indie, rock, alternative, scrubs, Soundtrack, alternative rock, indie rock, acoustic, american, pop"
Prodigy,"electronic, Hip-Hop, big beat, Rave, rap, the prodigy, breakbeat, mobb deep, Gangsta Rap, Drum and bass"
Valeria Angione,
"M¥SS KETA, Populous",
Svapo Gang,
Denise Faro,"pop, sexy, italian, female vocalists, despacito, 1 in 360"
"Andrea Damante, Adam Clay",
Alessandro Bonan,
Mamiko Suzuki,"japanese, japan, hip hop, rap, female vocalists, Hip-Hop, Hip-Hip, romanized, japanese hip-hop"
DOTAMA,"Hip-Hop, japanese, rap, abstract, j-hiphop, Japanese Indie, japanese hip-hop, subenoana, japonia inna kultura"
HOTEI,"japanese, rock, Soundtrack, J-rock, electronic, instrumental, guitar, jrock, hotei tomoyasu, fukin sweet"
kankakupiero,"japanese, rock, indie"
Moso Calibration,"japanese, j-pop, idol, JPop, female vocalists, girl group, girls, Asian, girl band, dempa"
HyperJuice,
Udagawa Bekkan Band,
WONDERFUL BOYS,japan
"VIC MENSA, Pusha T",
9MUSES,"k-pop, Kpop, Korean, nine muses, girl group, pop, 9muses, lee sem, RANA, 나인뮤지스"
MonoloQue,"malaysia, experimental, indie rock, alternative, melayu, malaysian artist worth listening to, monoloque"
"Angelina, Los Fontana",
"Comisario Pantera, Santi Balmes",
"Carlos Sadness, Melissa Robles",
"De Barkeeper, DJ Sven",
"Michael van der Plas, Bianca Voom, Gipsy Maffia",
"QSTNMRKS, Edgar Sandoval Jr",
Gregory Allan Critchley,
Mick Mazoo,"House, pop, dance, netherlands, club, dance-pop, future house, EDM, edm pop"
Bassistent,"hiphop, Hip-Hop, netherlands, dutch, nederlands"
