artist,genre
Lillen Stenberg,
Doddo,
Chris Viviano,
"Gatekunst, Zamour, Yomi Baisa, Jonas Benyoub, Blvck O",
Jonas V,"bergen, All, Norway, norwegian"
Jasmine Sandlas,"bollywood, Punjabi, pop, female vocalist, Indian, india"
Pouya,"Hip-Hop, trap, hip hop, rap, cloud rap, florida, american, buffet boys, Persian, world"
Andrew Papas,
Reijy,
"Victory Worship, Joe Ramos",
Kisses Delavin,"philippines, reality tv star, Kisses Delavin, pop star"
Sparkee,"Canadian, chillout, lounge, indie, electronic, female vocalist, funk, brighton, electro, britpop"
"Young Multi, Bedoes",
Terrific Sunday,"rock, alternative, poland, All, piotr krasko w swojej mazurskiej posiadlosci, male vocalists"
"Hans Zimmer, Benjamin Wallfisch",
Happy Prince,polish male vocalists
Sylwia Przybysz,"polish, pop, polskie"
Josh Golden,"pop, acoustic, rock, emo, 3 stars, Rating 3 stars - Dull, Need to Rate, under 2000 listeners, virally yours"
April Ivy,"portuguese, pop, FDC 2023 Composers, portuguese female vocalists"
"Big Bag, Mary",
"Shorya, Mickeyleano, OmarKENOBI",
Arkano,"alicante, rap, electronic, Hip-Hop, spain, spanish hip-hop, game soundtrack"
Everlyn,"alternative rock, female vocalist, pop rock, indie, female vocalists, rock, alternative, emo, spanish, Pop-punk"
Nunatak,"antarctica, folk, spanish, spain, indie folk, indie rock, rock, murcia, Directo, antarctic"
"Gata Cattana, Bejo",
U.S. Girls,"experimental, psychedelic, noise, Avant-Garde, New Weird America, Lo-Fi, psychedelic pop, hypnagogic pop, synthpop, drone"
Bearoid,"spain, indie, alternative, electronic, chill, spanish, valencia, hairy chest"
Adam Englund,
Vinter,"depressive black metal, black metal, experimental, folk, Electroclash, swedish, ambient, wave, Mexican Black Metal, hiphop"
"Clueless Swede, Emilush, Anjo",
Diskopunk,"indie, swedish, dance punk, indie rock, punk rock"
YAYA,"electronic, pop, Hip-Hop, minimal, vaporwave, instrumental, Progressive rock, Sweden, experimental, finnish"
"Michel Dida, Biggie Juke, Denz, Ivory, AKI, GULEED, Aden",
"Nikless, BEFORE WE GO",
Lower Pink,
"Jerome, Eric Chase, Michelle Hord",
Christie Dashiell,jazz
Ling Kai,"female vocalists, folk, chinese, indie, singer-songwriter, roots, female vocalist, Asian Pop, asian music, Asian"
"Patchr, Jakchai Panchanon",
RIVVRS,"folk, singer-songwriter, soul, pop"
"Giggs, Dave",
Wretch 32,"Grime, Hip-Hop, rap, british, hip hop, UK hip-hop, UK hip hop, uk hiphop, UK, UKHH"
"PMP, DAPS",
SIR NOTCH,
"Dooqu, TRØVES",
Ken Hayakawa,"minimal, House, electronic, techno, tech house, minimal techno, japan, All, Austria, vienna"
Trinity FM,"downtempo, chillout, lounge, House, electronic, trip-hop, rnb, idm, nu jazz, Nu-Bluz Funky Grooves in the E-Lounge"
FLEX MOFO,
Meiko,"female vocalists, singer-songwriter, folk, indie, acoustic, female vocalist, american, pop, indie pop, MEIKO"
"NTEIBINT, Σtella",
Mr. Popular,
Efraim Leo,"swedish, pop, swedish male vocalists, melodifestivalen 2021"
A.CHAL,"electronic, idm, trip-hop, experimental, Peru, rnb, abstract hip-hop, trap, peruvian, Hip-Hop"
Global Dan,"rap, emo rap, Hip-Hop, underground, Melodic Rap, alternative hip hop"
Michael Abels,"Soundtrack, score, film, contemporary classical, composer, Star Wars, film score, film scores, arranger, United States"
Panther Chan,"cantopop, Hong Kong, C-pop, chinese, female vocalist, China, pop, cantonese"
LIEZA,"touhou, arranger, lieza, doujin ongaku, zephill"
JONGHYUN,"k-pop, shinee, Korean, rnb, jonghyun, Korea, Kpop, 종현, Ballad, amazing"
"VaVa, Krewella, Yellow Claw",
Darlingside,"folk, indie rock, indie folk, american, male vocalists, USA, boston, Massachusetts, percussion, guitar"
Brains,"Drum and bass, ragga, ragga-jungle, hungarian, reggae, D'n'B, jungle, dubstep, rock, Ragga Jungle"
"Riverdale Cast, Camila Mendes, Hayley Law, Asha Bromfield",
Carlos Puebla Y Sus Tradiconales,
Caner Kızıl,
"Massaka, Monstar361",
"Ragga Holm, Fever Dream",
Noel Aspensen,"instrumental, ambient"
"Alvia Islandia, Safira",
Arsy Widianto,"pop, r&b, male vocalists, indonesian"
"YURI, Raiden",
Pandji Pragiwaksono,"rap, indonesia, indonesian, Hip-Hop, politic, ProvocativeMovement, hip hop, BoySinging, hiphopindo"
"Galavant, Max S, Dafina",
Andini,"electropop, pop, EDM, dance"
The Skinner Brothers,"english indie rock, british alternative rock, indie rock, UK, britpop revival"
Stolar,
"Josh Jacobson, Gigamesh",
Swimming Girls,"Lo-Fi, indie pop, female vocalists, indie rock, United Kingdom"
1000 Beasts,"irish, pop, electronic, ireland, funk_add_to_lidarr, funk_add_to_lidarr_batch_1"
whenyoung,"irish, pop, indie pop, indie rock, ireland, dream pop, pop rock, pop punk, jangle pop, female vocalists"
"Joel Baker, Sneakbo",
Elle Watson,"female vocalists, indie, pop, electronic, indie pop, alternative, alternative pop, UK, 3, female vocals"
anaiis,"pop, soul, rnb, french, british, singer-songwriter, london, electronic, indie pop, experimental"
MAAD,"rnb, Fusion, electronic, soul, trip hop, Progressive, Progressive rock, Jazz Rock, female vocalists, new york"
"Crookers Mixtape, Dargen D'Amico, Danti, MACE, Ckrono",
Me contro Te,
"Zibba, Elodie",
"Maurice Ravel, André Laplante",
"Mexican Institute Of Sound, Lorna",
Sachie Hiraga & Homecomings,"japan, nippon"
Moisés Nieto,"piano, Soundtrack, new age, instrumental, video game music, ambient, spain, Klavier, mallorca, Espana"
Falling In Reverse,"post-hardcore, screamo, hardcore, rock, ronnie radke, emo, pop punk, metalcore, emocore, american"
"Nach, Tron Dosh",
"Spinall, WizKid",
"Martin Jamar, Kelly Ingabire",
"KALLY'S Mashup Cast, Alex Hoyer",
Saulo Xavier,
Verso de Nós,"brasil, mpb, voz, violao"
Akiko Wada,"japan, 80s, 70s, j-pop, rhythm and blues, pop, female vocalist, 60s"
"Chris Dave and The Drumhedz, Anderson .Paak",
Uchikubi Gokumon Doukoukai,"rock, japan, metal"
LAMP IN TERREN,"rock, japanese, indie, alternative, J-rock, pops, alternative rock, male vocalist, indie alternative, male vocalists"
CeCe Winans,"gospel, contemporary christian, christian, Cece Winans, female vocalists, Contemporary Gospel, soul, black gospel, female vocalist, praise and worship"
"DJ CHARI, DJ TATSUKI, KEIJU, YZERR",
cinema staff,"J-rock, japanese, alternative, rock, indie, math rock, pop, zankyo record, post-hardcore, japanese rock"
GoGo Penguin,"jazz, jazz fusion, progressive jazz, post-rock, Fusion, contemporary jazz, british, instrumental, piano, nu jazz"
"ECD, DJ Mitsu The Beats",
Jeff Lorber Fusion,"jazz fusion, jazz, Smooth Jazz, Fusion, jazz-funk, funk, jazz piano, JEFF LORBER FUSION, funky jazz, soul"
ATARASHII GAKKO!,"j-pop, jazz, JPop, japanese, J-rock, japan, pop, Jazz Rock, jazz pop, art rock"
KFK,UKP
Curly Giraffe,"rock, japanese, Surf, singer-songwriter, chill, male, surf rock, JPop, indie rock, pop"
10LEC6,"electronic, punk, post-punk, noise, french, electro, experimental, noise rock, Electro-Punk, All"
Peter Kater,"new age, piano, chillout, relaxation, ambient, instrumental, easy listening, Peter Kater, newage, meditative"
Kraftwerk,"electronic, synthpop, german, electronica, krautrock, electro, experimental, 70s, techno, synth pop"
toe,"post-rock, math rock, instrumental, japanese, post rock, experimental, japan, rock, indie, Math-rock"
Naoko Kawai,"japanese, japanese female vocal, vintage j pop, vintage j-pop"
Luby Sparks,"shoegaze, dream pop, indie pop, indie rock, japan, japanese, alternative, Japanese Shoegaze, indie, english"
"Armando Young, John Splithoff",
Roselia,"j-pop, japanese, bandori, J-rock, anime, female vocalists, rock, Gothic Rock, Bang dream, Soundtrack"
"Fear, and Loathing in Las Vegas","post-hardcore, electronic, trancecore, japanese, screamo, J-rock, metalcore, electronicore, post hardcore, rock"
Miyuhan,"j-pop, japanese, J-rock, pop"
Ivy to Fraudulent Game,"J-rock, indie, japanese, rock, emo, alternative, math rock, midwest emo, J-Indie, male vocalists"
Flying Kids,"japanese, j-pop, funk, pop, anime, J-rock, soft rock, instrumental, JPop, ballads"
MUCC,"J-rock, japanese, visual kei, rock, jrock, angura kei, metal, alternative metal, alternative rock, alternative"
"New Wavy, MC Apšaude",
Agnese Stengrevics,"female vocalists, latvian, Supernova, latvia, latvian female vocalists, Supernova 2020 wishlist, supernova 2019 wishlist, LTV Supernova"
"Matto, Bustine",
"SG Lewis, J Warner",
A-Kid,
"DJ Aku Ash, Kilafairy, Sean Kingston",
Mustache and Beard,"folk, indie, chill out, indie folk, indonesian, folkyfolkafolks"
"Vivek - Mervin, Mervin Solomon, Sameera Bharadwaj",
"JCBG, Mauco, Gal",
"Trip Trip, LULÚ",
Tino El Pingüino,"rap, underground rap, mexican, indie rap, Hip Hop Latino, Rap Mexicano, mexican rap"
Yoseline Hoffman,"latin, pop, youtuber, influencer"
Girl Ultra,"rnb, alternative rnb, mexico, female vocalists, pop, latin, electronic, spanish, rhythm and blues, indie pop"
"$jaan, C00Ki3 Br0WN",
"Vazard, Delete",
Pete Philly,"Hip-Hop, dutch, soul, rap, hip hop, chill, underground rap, alternative hip-hop, jazz-rap, underground hip-hop"
Jord Knox,
Jamai,"pop, dutch, eurodance, the netherlands, 00s, Nederlandstalig, dance-pop, male vocalists, dutch male vocalists, idols nederland"
Fox Stevenson,"dubstep, Drum and bass, electronic, liquid funk, drum & bass, breakbeat, dnb, drumstep, Brostep, United Kingdom"
Young X,rap
Vastenavend In 't Krabbegat,"dutch, folk, vastenavend, carnaval"
Gullie,"dutch, electronic, elektro-dance-pop, carnival"
"DROELOE, Nevve",
Legion,"thrash metal, deathcore, RAC, polish, black metal, Rock Against Communism, heavy metal, metalcore, dark ambient, nsbm"
"Herrie Hardstyles, Ponkers",
Price & Takis,"EDM, trap"
Matarr,"rap, Delft"
Dunes,"Lo-Fi, dream pop, indie, post-punk, Dreamy, Stoner Rock, american, los angeles, female vocalists, indie pop"
"Fizzy Milk, Jarryd James",
Real McCoy,"eurodance, dance, 90s, pop, House, german, electronic, techno, germany, real mccoy"
Dead Favours,"rock, indie, alternativ, New Zealand"
The Shamblés,"funk, soul, pop, rnb, psychedelic disco, synthwave, New Zealand"
RDX,"dancehall, jamaican, reggae, All, thrash metal, japanese thrash, Speed Thrash Metal, spotify, jazzy hip-hop, Mellow"
"Bernhoft, The Fashion Bruises, Raelee Nikole",
Tomine,
Bokassa,"Stoner Rock, rock, stoner metal, hardcore punk, hardcore, Norway, punk rock, norwegian, stoner punk, punk"
The Switch,"Sweden, rock, norwegian, Artists I have seen Live, 00s, male vocalists, melodic rock, 10s, under 2000 listeners, headphones"
Bendik Giske,"experimental, instrumental, Avant-Garde, electronic, drone, norwegian, Norway, ambient, dark ambient, composer"
Ponette,"pop, norwegian, Norge"
Bodin,"pop, House, norwegian, techno"
"Dj Momma, Hachin",
Mike11,"portuguese guitar, Hip-Hop, Portuguese Hip-Hop, Portugal"
Jimmy P,"rap, soul, Hip-Hop, rnb"
GARETH FERNANDEZ,"singapore, Singaporean"
dude26,"hip hop, instrumental, beats, german, deutsch"
Aair,"electronic, chillout, ambient, french, electronica, downtempo, trip-hop, lounge, alternative, indie"
"Anna Castillo, Macarena García",
Macarena García,
Ausonix,
Joan Minatti,
Barbott,"spanish, indie rock, spain"
Apartamentos Acapulco,"shoegaze, indie rock, spanish, spain, rock"
"Roi Méndez, Miriam Rodríguez, Amaia",
"GARABATTO, Charlee Muse",
"Dinero, Ivan Ferreiro",
"Alfred García, Aitana, Ana Guerra",
Rural Zombies,"Euskadi, indie, spanish, spain, basque"
Varry Brava,"spanish, indie, pop, indie pop, spanish indie pop, murcia, spain, pop italiano, orihuela, Disco"
Cornelia Jakobs,"swedish, pop, Eurovision, eurovision 2022, ESC 2022, indie, Sweden, ESC, Eurovision Song Contest 2022, melodifestivalen 2022"
The Radio Dept.,"shoegaze, indie, swedish, indie pop, electronic, dream pop, indie rock, Lo-Fi, alternative, Sweden"
"Felicia Aveklew, LTON",
Far & Son,"Hip-Hop, swedish, rap, electronic, indie, electronica, comedy, mashups remixes and electronic, swedish hiphop, skåne"
Lukashe,contemporary rnb
Leo Leoson,swedish
Laskaar,"switzerland, spanish, dancehall, spain, swiss"
"Di-Meh, Makala, Slimka",
"Roger Martin, Maurice",
"Lafa, Sherry-ou",
"Hykuu, El Trinidad",
Container6,
MY 9ME,"Korean, k-pop, Kpop, Mixnine, MY 9ME"
李易峰,"cpop, ballads, c-rock"
Rain Man,"us, USA, United States, united states of america"
"YOUNGOHM, Sonofo, Young Bong",
"Kor Notapol Srichomkwan, Na Polycat",
Ceronimo,
Lin Pesto,"synth-pop, synthpop, turkish, singer-songwriter, dream pop, female vocal, electronic, dreampop, female vocalists, ankara"
Anti-Kahraman,"rap, hiphop, Turkish Rap, underground"
Furns,"indie, chillout, electronic, denmark, female vocalist, ambient, indie pop, nordic, indie rock, female vocalists"
"Inal Bilsel, Ezgi Akgürgen",
Serkan Modalı,
Farazi,"turkey, Hip-Hop, instrumental hip-hop, funk, instrumental, rap, hip hop, turntablism, sampling, oldschool"
Society,"electronic, Hip-Hop, Golden Age hip-hop, underground hip-hop, Real hip-hop, synth-pop, indie, east coast rap, golden age, 90s"
"OnklP & De Fjerne Slektningene, Pant",
"Martin og Morten, Jakob & Fridtjof, Ola Amundsen",
"Susanna, Giovanna Pessi, Ida Hidle, Tuva Syvertsen",
"Hans Petter Aaserud, Hver gang vi møtes, Admiral P",
Jarle Skavhellen,"folk, indie, Norway"
Insomniac Bears,"pop, indie pop, indie rock, norwegian"
"Mørk, Kjetil",
"anton., Folly Rae",
Erin Budina,"rap, pop, hip hop, electronic, dance, Hip-Hop, british, erin budina"
Oprah Winfrey,nsbm
