artist,genre
"voXXclub, Hardy & Mark",
Nick Hakim,"soul, rnb, electronic, indie, experimental, alternative rnb, USA, chillout, american, new york"
"MC Lan, Mc 2k",
BBRC,
Metsatöll,"folk metal, estonian, metal, Estonian metal, pagan metal, Eesti, estonia, heavy metal, folk, estonian folk metal"
"Pykäri, Mio",
David Axelrod,"jazz, funk, psychedelic, instrumental, chillout, 13, Fusion, jazz-funk, All, baroque pop"
La Batteria,"funk, psychedelic, instrumental, Progressive rock, ambient, rock, Soundtrack, cinematic, italian, Italy"
Serafyn,"folk, acoustic, singer-songwriter, female vocalists, Czech, swiss"
Fee Badenius,"singer-songwriter,  German"
Young DrA,
"Wang, Electabaz",
"Boohle, Ntokzin",
"Ziedu Vija, Prusax",
"Ziedu Vija, Cerberus, Steps",
on the way to catharsis,"shoegaze, dreampop, Slowdive, Lil Peep"
"Fuerza Regida, Luis R Conriquez, Calle 24",
"Piateed, Norges Nye Megahit",
"Abu, Norges Nye Megahit",
"Odd-Magnus Williamson, Norges Nye Megahit",
"Kudos, Madcum",
"Einar Nilsson, Norges Nye Megahit",
"LilCagula, NL Moxxie",
"Desanto, Pitutza",
Twitch Valentino,
Seth Bishop,"music, singer, songwriter, spotify, 2018, 2019, Seth bishop"
The Vujà Dé,
Oxygn,
"outset island, Dario",
"DVRKO, Mvxmilli",
"Ex Battalion, John Roa, Emcee Rhenn",
이아람,Korean
Stream of Praise,"chinese, worship, chinese worship"
"Zoltán Kodály, Chicago Symphony Orchestra, Neeme Järvi",
Józsi Postás,
Bodnár Attila,
Whim,funkcore
Patricio Baeza,
aYia,"icelandic, electronic, iceland, ambient, dark ambient, pop, electronica, industrial, electro, good"
Anna Meredith,"contemporary classical, electronic, experimental, electroacoustic, Classical, UK, acoustic, modern composition, composers, art pop"
Althea And Donna,"reggae, roots reggae, female vocalists, jamaica, jamaican, 70s, roots, Need to Rate, All, female reggae"
Mario Venuti,"italian, pop, cantautori, singer-songwriter, italiana, italia, 2013, rustica singers, sorchi, sottovalutati"
Tilka,
Carcer City,"metalcore, Progressive Metalcore, Progressive, hardcore, metal, Technical Metalcore, Progressive metal, british, melodic metalcore, mathcore"
Tom Vek,"indie, electronic, indie rock, alternative, british, electronica, indietronica, rock, post-punk, london"
Theodoor,
The Afghan Whigs,"alternative rock, rock, alternative, indie rock, indie, Grunge, 90s, soul, american, USA"
Rik Nijman,
