artist,genre
"2bona, Krisko",
Alisia,"pop-folk, female vocalists, bulgarian, pop, chalga, All, bulgaria, female, beautiful, music"
Stephannesssdkir Bergmann,
Sarahchess Traugott,
Meganedska Z. Wynn,
"Pk, MC Kevin o Chris, Dj Pedro Henrique",
Mariya Takeuchi,
Anıl Güntekin,
AwakeChild,
Sebastian,"electronic, electro, french, ed banger, electronica, House, dance, french electro, electro house, new rave"
"BOUA, Citybois",
"Quimico Ultra Mega, Lapiz Conciente, Musicologo The Libro, BooBassKing",
Dánielfy Gergő és az Utazók,
PSL,
"Dinos, Dosseh",
Gato,"free palestine, gato, REVOLUTION2014, Booba connexion, rap, Hip-Hop, electronic, electoro, japan, experimental"
"AriBeatz, Veysel, Mula B",
"Kim Loaiza, Jd Pantoja",
"Rupinn, Lisa Mishra",
Andy Montañez,"salsa, latin, Andy Montanez, puerto rico, chill906, merengue, spanish, male vocalists, All, Reggaeton"
"Genie High, AiNA THE END",
"Jovani, John Duff",
Souff,"bouncy, african, arabic, moroccan, darija, maghrebi, maghreb"
Jeroen Van Der Boom,"pop, dutch, Nederlandstalig, Nederpop, male vocalists, All, netherlands, dutch male vocalists, monique smit, latino"
"Stereossauro, Slow J, Papillon, Plutónio",
"Slow J, NERVE",
"DODO, Young Ellens, JayMoreLife",
"Sevn Alias, AG BLAXX",
"Djaga Djaga, Jonna Fraser, $hirak",
"Monsif, Josylvio",
"Robi Guid, Yemil",
Christia Visser,"south africa, afrikaans, south african, pop, cape town"
Todd Helder,"netherlands, dutch, electro house, trap, future bass"
"Popkiller Młode Wilki, Opał, Qry, Koza, Oki, Karian, Lipa, Przyłu, be vis, ZetHa, Bober, Miły ATZ, Augustyn",
"Jubin Nautiyal, Neeti Mohan, Abhijit Vaghani",
"王俊凱, Jolin Tsai",
"Chyi Chin, Karen Mok",
YELLOW,"finnish, 80s, Psychedelic Rock, hard rock, 70s, classic rock, rock, noise, electronic, funk"
Phạm Toàn Thắng,"vietnamese, vpop, Vietname"
廖士賢,
"Felix & Dean, Discomakers",
"Dimitri Vegas & Like Mike, Paris Hilton",
"Blanke, Godlands",
Tep No,"electronic, pop, Canadian, indie, electronica, electropop, House, canada, indie pop, good"
"Ricky Gazetta, Alina Renae",
King B,"Gangsta Rap, birmingham, G-funk, Alabama, mobile, Alabma"
"Lost Identities, Onyra",
Cytrax,"chile, electronic, drop, chilean, ncs, EDM"
Bear Grillz,"dubstep, trap, electronic, trance, Brostep, House, electro, Drum and bass, USA, Hard Trance"
"Kabza De Small, DJ Maphorisa, Tallarsetee",
"Kabza De Small, DJ Maphorisa, Kamazu, Njelic",
"Kabza De Small, DJ Maphorisa, Busiswa",
"Kabza De Small, DJ Maphorisa, Samthing Soweto",
"Floor Jansen, Henk Poort",
"Henk Poort, Emma Heesters",
"24SJU, Asme",
"Rozz Kalliope, Ece Seçkin",
