artist,genre
Ikaz Boi,french
"Schönling Doris, Tino Turner",
Al Gear,"rap, german hiphop, Hip-Hop, german, Deutschrap, german hip-hop"
"DJ Schmitzkatze, Kalvin Klain",
C-Jon,
"Franz Liszt, Alice Sara Ott",
Sugar,"alternative rock, alternative, rock, indie, indie rock, techno, trance, power pop, 90s, Acid"
Tonosama Kings,
Chelsea Ronquillo,
"Envee, Julia Pietrucha",
Opał,"rap, Brain Dead Familia, Hip-Hop, poland, Horrorcore, polish, polish hip-hop, emotional rap, Voodoo People, brain dead"
BØJET,"ambient, chillout, New Zealand, Lo-Fi, chillhop, new zealandic, auckland"
Cara Hammond,
"Lenny Tavárez, Anonimus, Juhn, Nio Garcia, Casper Magico",
"Eren Sandal, Elvan Günaydın",
Dillon,"female vocalists, experimental, electronic, piano, german, indie, art pop, indie pop, alternative, singer-songwriter"
Chumbawamba,"alternative, punk, anarcho-punk, pop, rock, british, folk, alternative rock, punk rock, 90s"
Freckle & Pete,
A Flock Of Seagulls,"new wave, synthpop, 80s, new romantic, pop, british, synth pop, electronic, liverpool, post-punk"
"Ambian & Sleo, Saski",
Kinder,"post-rock, peruvian, Peru, indie, shoegaze, math rock, experimental, indie pop, instrumental, soul"
Casaoui,
"Two Feet, Madison Love",
"Annyria Wailer, Eltin",
Zanq,
Jade The Moon,"alternative, electropop, indie pop, synthpop, yandex music, female vocalists, 4"
Summer Zone,
"Flako Gallego, Afaz Natural",
"Zazo & Gxurmet, Vega Almohalla, D3llano",
"Ycee, Joyner Lucas",
Sevgim Yılmaz,
TV Girl,"indie pop, Lo-Fi, indie, chillwave, pop, san diego, american, California, Neo-Psychedelia, All"
Luca Little,"switzerland, rock, All"
"Mille Petrozza, Marc Görtz",
"Rude Kid, FTSE, Jaykae",
"Nana Rogues, WizKid, Not3s",
"90Bagz, Yxng Bane",
issei,"hardcore, japanese, male vocalist, noise, powerviolence, anime singer, japanese rnb"
I Mean Us,"dream pop, shoegaze, taiwan, indie pop, taiwanese, post-rock, indie rock, chinese indie, sinogaze"
AP1WAT,
"Redimi2, Natan El Profeta, Rubinsky Rbk, Philippe",
Aldwin Dinata,
"Tomatow, Hansel Marcelin, Viona",
Cindy Bernadette,Queensland
Adva Omer,
"Gabry Ponte, Pop X",
Leonardo Decarli,
JAJO,
けやき坂46,"japanese, j-pop, female vocalists, idol, 2019"
SPACE BOYS,"Japanese Indie, rock, melodic hardcore, J-rock, J punk, j rock"
Immigrant's Bossa Band,"jazz, Bossa Nova, japanese, chillout, chill, check, indie"
"ZOOCO, WODDYFUNK",
"CERO39, Dengue Dengue Dengue",
Hippo Campus,"indie pop, indie, indie rock, pop, USA, rock, american, Minnesota, Minneapolis, alternative"
Xanh 8+1,
"KADR, Esra",
Ronnie Loko,
Soul Gem,idm
"Jamie, Yolanda Selini",
Das Body,"electronic, pop, indie pop, indietronica, yandex music, synthpop, dream pop, female vocalists, male vocalists, synth pop"
Teddy And The Love Gang,"norwegian, pop"
"Brage Leche, BRVG, Fatima Revne",
Mari Hajem,
"Hardwell, Wildstylez, KiFi",
Itaca Band,"All, catalan, catalunya, rock, spanish, latin, reggae, spain, catalonia, mestizo"
Adam & The Ants,"new wave, post-punk, 80s, new romantic, punk, british, rock, punk rock, pop, london"
Ke personajes,"argentina, Reggaeton, cumbia argentina, cumbia cheta, normie, normie de mierda, Cumbia turra"
"Moby, The Void Pacific Choir",electronica
Death Grips,"Hip-Hop, experimental, experimental rap, rap, experimental hip-hop, hip hop, industrial hip-hop, industrial, noise, electronic"
"Richard Jansen, Kayda, Sayla",
"HUTA, PENIEL, JUNG ILHOON",
"Prince Kaybee, Zanda Zakuza, Naak Musiq, Ziyon, Mpumi, Nokwazi, TNS, LaSoulMates, Busiswa, Bucie",
Viente,filipino pop
The Plan,"swedish, rock, indie, pop, indie rock, detroit techno, techno, Sweden, spotify, indie pop"
"Griot, Jakebeatz",
Alejandro Reyes,"switzerland, chile, swiss, Swiss-Chilean"
"RayRay, NEOSO",
"Yota Damore, Jack Sapienza",
"Quang Dung, Minh Tuyết",
Trésor Mvoula,
"Aiobahn, Ralph Larenzo",
Kaolin,"french, rock, alternative rock, rock francais, post-rock, pop, france, alternative, post rock, 00s"
"Alejo García, Elkin Robinson",
"Memphis, Fmg, Keizer, Wolfgang",
Fancy Dress Party,
"Dallos Bogi, Freddie, .",
Bin-Jip,"nu-jazz, trip-hop, hungarian, electronic, experimental, trip hop, nu jazz, intriguing, puts a smile on my face, distinctive vocals"
"Young Minahasa, Aradhana, LATRO",
Ari Pramundito,"funk, guitar, jazz"
"Saxity, Victor Perry",
Mall Grab,"House, techno, electronic, deep house, outsider house, lo-fi house, australian, Lo-Fi, lofi house, tech house"
Hiroaki Tommy Tominaga,"japanese, j-pop, anime, JPop, JoJo, J-rock, Asian, Asian Pop, male vocalists, asian music"
Reymar Perdomo,"latin, venezuela"
Melik,
"SLANDER, Crankdat, Asking Alexandria",
"Magnificence, Steff da Campo",
Hans Johansen,
"Mixtape Madness, EO",
Henri Flame,
"Jackpot BCV, Tiwi, Chav",
Kwamie Liv,"danish, pop, chill, denmark, r&b, trollerier, rnb, female vocalists, trip-hop, ethereal"
"Adrian Modiggård, Lisa Nilsson, Allyawan, GET UP Soul Choir",
7LING,
Regular Marcus,
"j mena, Carlos Ares",
"Ash, Naila",
Tool Castellanos,
"Atmozfears, Adrenalize",
"JPB, D-Double, Kempi",
"Rocko y Blasty, Bebo Yau",
"The Darcys, Leah Fay",
"Said The Sky, Dabin, Linn",
"Matiah Chinaski, Bufalo Dit, Terrible",
Cody G,
"mcs, Danny Chino, Ricko",
JT Soul,
"D.Y.A, Kalyma",
Steiner & Madlaina,"indie, switzerland, singer-songwriter, german, female vocalists, indie rock, indie pop, witty, swiss, duo"
"Niklas Ibach, Wyclef Jean",
Ney Matogrosso,"mpb, brasil, brazilian, samba, brazil, Bossa Nova, Ney Matogrosso, male vocalists, tropicalia, latin"
"Time, Olivia Dawn",
Frente Cumbiero,"cumbia, latin, Colombia, dub, cumbia dub, electronic, lounge, indie, world, dance"
"Donkirap, Hot Leche",
All That Glitters,
Yasei Collective,"japanese, jazz, electronic, experimental, guitar, vocal, nu jazz, bass, math rock, keyboard"
OLD DAYS TAILOR,japanese
Original Love,"shibuya-kei, j-pop, japanese, pop, 90s, Takao Tajima, Japanese music, 00s, 90s-00s j-pop, Love"
ZwartWerk,"Hip-Hop, Belgium"
Gingiot,"israeli, hebrew, Israeli Rock, Israel"
DJ Sodeyama,"techno, House, minimal, electronic, dj, japanese, japan, deep house, minimal techno, tech-house"
Butch,"techno, minimal, tech house, minimal techno, russian rock, electronic, female vocalists, russian, rock, House"
Goldfish & Blink,"House, electronic, electro house, dance, Progressive House, electronica, club, malaysian"
