artist,genre
Bleak Purdy,"finland, finnish, Suomirap"
"Antonio D'Africa, Sall",
Joanito Gea,
UN1TY,
Abhijit Vaghani,
Chantal & de Kerstballen,
DEH!,
De Geliënde,
Katja Henz,"NL, karneval, 1726"
't Graote Koeër,
spik en span,"folk, dutch, carnaval, Nederlandstalig, Limburg, vasteloavend, Limburgs"
de breurkes,
"ACAね, Rin音, Yaffle",
"ATL, Papi Gero, Hector Miller",
"CHUNG HA, Colde",
The Festive Memes,
Ken Ring,"swedish, rap, hip hop, Hip-Hop, swedish hiphop, neger, reggae, Sweden, scandinavian, rnb"
Cristian李浩宇,
"Lil Kleine, KA",
"Trobi, Qlas & Blacka",
"Ocs, Cor, F.I., Djaga Djaga",
Hans Petter Hansen,"Norway, pop, Norge, norwegian"
Clara Sánchez,
Abhinandan Lahori,
"Gopi Sundar, Siddharth Menon",
Kokobäng,"swedish, comedy, Sweden"
Seachains,"hip hop, rap, rnb"
Patrizio Pisani,italian
DJ Mannu Cortez,
"KASIMIR1441, Yin Kalle",
"Aditi Bhavaraju, Ramya Behra, Simha, Hanuman, Thaman S",
"Kuselofte, Ringnes-Ronny",
Paul Hers,
Viljar Iversen,instrumental
Ida Rahayu,
Ba Da Ju Xing,
Joey Hartkamp,All
"Mr. Polska, Alberto, Abel de Jong",
Nightbirde,"electropop, pop, female vocalists, piano, 4-25, rutracker, upcoming album 2023, upcoming album 2025, name variation"
"DJ PEREIRA, Massianello, MRSAX, KATH HERRERA",
Jl Bout-It,
Boy Fieri,
PNC RM,
Achilles,"hardcore, mathcore, metalcore, chaotic hardcore, metal, post-hardcore, experimental, rochester, swedish, experimental hardcore"
"YREDEF, Simone Celi, Project 97",
"Sarius, Mery Spolsky, Nocny",
"Og Baby, D'Galan",
"La Zowi, Pablo Chill-E, Xander, VH",
"明堂唱片, Swagkelly, Major Yao",
Pop Jirapat,thai
"T_047, เขียนไขและวานิช",
RUH-A,
"DJ Smash, Poët, T-Fest",
Sunday Service Choir,"gospel, Kanye West, Sunday Service Choir, christian, rap, hip hop, Hip-Hop, USA, experimental, rnb"
"Marseaux, Solmeister, Dusty, Lil Avgikos",
"Diddy - Dirty Money, Skylar Grey",
"GKhan, Khan Saab, Mehar Vaani, Garry Sandhu",
Jelly Drops,
Kid Travis,"rnb, acoustic, USA, cover, funk_add_to_lidarr_batch_15"
Blasterjazz,
BREIMEN,"japanese, soul, indie, rnb"
"Recycled J, Cruz Cafuné",
"Marc Seguí, Don Patricio, Lucas Otero",
"Rasmus Gozzi, FRÖKEN SNUSK",
"Basse, Sajmon",
"Rempetemp, JAN VAN CEP",
Frank en de Sterren,
"9m88, DJ Mitsu The Beats",
"Ati242, Bedo, Stabil",
"Ati242, Massaka",
"Ati242, Newman",
"Tenta, Leranda",
"Саша Чемеров, Boombox",
Sons Of Apollo,"Progressive metal, metal, Progressive rock, hard rock, mike portnoy, USA, Progressive, prog metal, american, heavy metal"
"Jagpal Sandhu, Simran Goraya",
When In Rome,"new wave, synthpop, 80s, pop, british, Danny Dean, danny dean and the homewreckers, easter, anti, synth pop"
bee$,
"MagiaBeats, ERRE K, YK, Shallow, Junior Winner",
Elai,Albanian
Gran Noir,"indie, alternative, rock, punk, stoner, switzerland, rock-indie, rock-alternative"
"Era, Camilo Kmo",
Technotronic,"dance, eurodance, 80s, techno, electronic, House, 90s, belgian, Belgium, female vocalists"
Lyan,"post-rock, ambient, Bandcamp, france, Hip-Hop, electronic, spanish, bordeaux, Reggaeton, trap"
"Weedthief, Maadrhino",
"Quemil Yambay, Los Alfonsinos",
Murat Akay,"humor, comedy, turkish, humour"
Tay Money,"Hip-Hop, rap, trap, hip hop, us, hiphop, Queen, texas, Southern Hip Hop, pop rap"
iipain,
X2X,
GEN JI,
Oliver Blue,
Tamera,"rnb, soul, british, pop, female vocalists, the x factor uk, singer-songwriter, The X Factor, funk_add_to_lidarr_batch_26"
"Jickson, Nik Tendo, Żabson, Dokkeytino",
Craig Pruess & Ananda,"Sacred, ambient, mantra, mantras, sacred chants"
Khasa Aala Chahar,haryanvi
SULTAN UL QADRIA QAWWAL,
JASH,"experimental, ambient, electronic, chillout, pixies palace, synth, minimal, All, electronica, downtempo"
Ben Williams,"jazz, modern jazz, Smooth Jazz, Hard Bop, bass, double bass, contemporary jazz, rnb, soul, USA"
Miks Dukurs,"latvia, latvian, supernova 2019, latvian male vocalists, LTV Supernova, europe 2022, supernova 2022"
"Maverick City Music, Chandler Moore, Steffany Gretzinger",
Dawn Stefan,
"Under, Lil Cagula",
Nicky Steel,
"Omri Smadar, Shoshana Damari, Shai Tsabari",
DJ Alesito,
Southbound,"Southern Rock, metal, hip hop, rap, death metal, southern rap, austin, underground, texas, All"
"Stefy De Cicco, Ben Hamilton",
Zweikanalton,"Austria, pop rock, siblings, austrian, under 500 listeners"
Petutschnig Hons,
"Milk Bar, Santarini, Antonio Contino",
"Sky Rompiendo, Jhay Cortez, Leebrian, Mora",
"Gabi Oliveira, Paulo Neto",
Netto & Henrique,
"Mc Naninha, Magroo No Beat",
"Amrit Maan, DIVINE",
"Vic Mirallas, Camilo",
"Elis Mraz, Čis T",
"7krat3, PSH",
Hunchoo,
Rebecca Leonard,punk
"Anonimus, Miky Woodz, Lary Over, Brray, Cauty, Noriel",
"Jozels, Jon Hazel",
El Migu,Suomirap
Kumikameli,"finnish, punk, rock, alternative, humppa, finland, alternative rock, Suomi, punk rock, finnish punk"
Tulipää,
Bilton,
CLOUD,"deep house, chillout, electronic, downtempo, House, lounge, swedish, electronica, minimal, ambient"
"Eastblock Bitches, Ostblockschlampen",
Sono,"electronic, House, synthpop, electro, dance, electropop, electronica, Progressive House, germany, german"
Nephew Dizz,
"Un Corazón, Lead, Kim Richards, Pedro Pablo",
Ghetto,"Grime, Hip-Hop, UK hip-hop, london, UK hip hop, rap, UK, british, hip hop, All"
"Aron Már Ólafsson, Rakel Björk",
"Sooranna, Saketh Komanduri",
"Piyush Mehroliyaa, Shreya Jain",
Brett Bones,
Iqbaal Ramadhan,
Eltasya Natasha,
Wizzy,
Aidan Martin,"british, male vocalists, 1 in 360, X factor"
Daisy Gray,indie pop
"הכוכב הבא, אלה לי להב, Orr Amrami Brockman",
"TERRA, Idan Raichel",
"Infected Mushroom, Bliss",electronic
ECHOLL,"death metal, JPop, ArataMackenyu, KitamuraTakumi, sayonaramdeno30pun, our30minutesessions, saritzel"
Amelia Khor,
mona（CV：夏川椎菜）,
Amamiya Sora,"j-pop, japanese, anime, pop, J-rock, rock, Soundtrack, j-pop rock, j-idol, anime rock"
