artist,genre
"Susmit Nimbhorkar, Abhijeet Masram",
Drinwolf,
"JP Fanguin, MC Roger, MC Richard",
"Ellen Andrea Wang, Rob Luft, Jon Fält",
tarchyb,
Dj 24K,
"Lee Mvtthews, PRINS",
Goom Gum,"russian, House, electronic, dance, synthpop, techno, melodic techno"
"PNG, Bapcat",
JDX,"hardstyle, electronic, Scantraxx, techno, electronica, electro, dj, belgian, Belgium, hardcore techno"
配樂,C-pop
"John ""The Ragin Cajun"" Jones",
Xiula,spanish
"Akten, FILIPPA",
Seda Yiyin,
DJ RoseFeather,
Zuzana Kudová,
Vic Deal,"latin, hip hop, boom bap, rap colombiano"
"Mariah Angeliq, Lele Pons",
Masi Rooc,
Mathæus,
Jedn,
Tingo Vincenti,"male vocalists, latin, bolivian, bolivia, camba"
Anderson Rangel,
Ben Human,"electronic, electronica, BreakWave RadioShow, hotness, lounge, sexy, electro, soma fm, breakbeat"
TikTokHub,
"Bruna Karla, Arthur Callazans",
"Herceg, Opitz Barbara, Burai",
"Walter French, Lauren Hashian",
Chernoburkv,"russian, electronic, witch house, witchhouse, my top songs, female vocalists, idm, darkwave, i have seen live, Gothic"
Jövial,
Нежность На Бумаге,"acoustic, russian, indie, female vocalists, upcoming album 2022, piano, female vocal, bard, 5, indie folk"
"Oscar Mbo, MaWhoo",
Monti Fiori,"Or Edry, interesting artists, Assa Raviv, Itamar Fintzi, Omri Behr, Irra Raviv"
"Restrained, Rejecta",
Fastball,"rock, alternative, alternative rock, 90s, pop, pop rock, power pop, american, indie, austin"
"Philipp Dittberner, VIZE",
The Refrescos,"ska, 80s, spanish, pop"
Joaquin Sabina y Viceversa,"cantautor, spanish, singer-songwriter, rock, Spanish Rock, Sabina, spain, trova, pop, Joaquin Sabina"
Ella Baila Sola,"spanish, pop, female vocalists, 90s, spanish pop, ella baila sola, latin, spain, español, balada"
Lewin,"cantautor, pop"
Asspera,"groove metal, heavy metal, argentina, metal, ass, thrash metal, metal bizarro, bizarre metal, rap, dub"
"Pirulo, Ozuna",
Mera,"ambient, Progressive metal, industrial metal, modern metal, Cyber Metal, downtempo, dance, 90s, eurodance, cyberpunk"
Carmody,"minimal synth, new wave, synthpop, minimal wave, 80s, electronic, italian, minimal electronic, post-punk, torino"
Petar Dundov,"techno, electronic, dub techno, deep techno, trance, minimal, minimal techno, Ambient Techno, neotrance, ambient"
JPelirrojo,"rap, hip hop, youtube, español, spanish hip-hop, Vlogger"
"JPelirrojo, Porta",
LUXXURY,"synthpop, electronic, electronica, Electroclash, electro, Disco, All, sf, USA, electropop"
Valen Etchegoyen,
Martin y su cumbia Free,
"Kresnt, King H",
Calmani & Grey,"pop, electronic"
Fabian Luttenberger,
Taro Umebayashi,"japanese, Soundtrack, japan, anime, mistagged, incorrect tag, ost, in japanese, spotify, romanized"
SECHSKIES,"k-pop, Korean, pop, Hip-Hop, Kpop, boybands, south korea, boyband, yg family, disbanded"
Olmos,"better than selena gomez, yumi, olmos, pop, dim mak, yumi nu, EDM, yuminu, better than david guetta, electronic"
"Hollywood Principle, Dr. Awkward",
"Oral Bee, Mr. Pimp-Lotion",
Yevin Francisco,
"Lakuno, Bahar Dopran",
Frank Zappa,"Progressive rock, experimental, jazz, rock, classic rock, Avant-Garde, jazz fusion, Experimental Rock, Jazz Rock, Psychedelic Rock"
"LGoony, Crack Ignaz",
"Sara Bareilles, Ingrid Michaelson","acoustic, singer-songwriter, folk, pop, female vocalists, indie, alternative, duets, sara bareilles, american"
Ron Pope,"acoustic, singer-songwriter, indie, piano, piano rock, american, male vocalists, rock, Acoustic Rock, pop rock"
Hansi Dujmic,"austropop, Austria, austrian, 80s, All, österreich"
Oasis For Piano,"britpop, piano, United Kingdom, Classical"
Visage,"new wave, synthpop, new romantic, 80s, electronic, british, synth pop, synth-pop, pop, london"
Christina Stürmer,"german, pop, deutsch, rock, female vocalists, austrian, christina stuermer, Deutschrock, Austria, pop rock"
Amber Maya,"australian, barbadian"
David West,"trance, progressive trance, electronic, melodic trance, Progressive, uplifting trance, swedish, vocal trance, dance, electronica"
"Kid Cudi, Andre Benjamin",
"MOTi, Katt Niall",
"George Michael, Queen","rock, classic rock, Queen, 80s, male vocalists, pop, UK, absolute favourite, funk, britpop"
"Hot Shade, Mike Perry, Jane XØ",
Cerise Calixte,"french pop, disney pop, french female vocalists"
Flori Mumajesi,"Albanian, pop, Fik 61 Nostalgia night, Albanian Male Vocalists"
Diego Ríos,
Sister Nancy,"reggae, dancehall, dub, jamaica, roots, female vocalists, jamaican, 80s, sister nancy, All"
"Francesco Sartori, Lucio Quarantotto, Sarah Brightman, Andrea Bocelli",
E.L,"ghana, Rapper, utaite, azonto"
"Marian Hill, Lauren Jauregui",
"Buddy, Neo Beats",
Zebu,"Southern metal, metal, psytrance, punk, heavy metal, electronic, grindcore, Acid, brasil, brazil"
Just a Band,"electronic, electro, french, indie dance, electronica, african, indie, Kenyan, kenya, French Kiss"
Thalles,"gospel, pop, worship, christian, brazilian, christian rock, rock, alternative, adoracao, alternative rock"
Ana Muller,"brazilian, female vocalists, mpb, latin, singer-songwriter, alternative, indie pop, South American, female vocals, 10s"
MC Beijinho,"brasil, brazil"
Carol Vianna,
Kaya Conky,"funk, brazilian, drag, pop, drag queen, gay pop, drag music, kaya conky, e ai bebe, Kaya"
"Banda Caio Rodriguez, Hector Rey, Los Brillantes Cubanos",
"Eltin, Cacife Clandestino",
"Marina Diniz, Mayra Arduini",
MC CLSP,"brazilian, urban, EDM, baile funk, better than selena gomez, better than ariana grande, mc cl, mc clsp, booty, explicit"
MC Petter,
Mylena Jardim,"pop, the voice, brazil, rnb, mpb, brazilian, female vocalists, the voice brasil, thevoicebrasil"
Moss,"doom metal, drone, Sludge, drone doom, funeral doom, indie, dutch, Doom, funeral doom metal, sludge metal"
Rafa & Pipo Marques,
Amity Cadet,fake artist
Majical Cloudz,"electronic, experimental, Canadian, indie, weird canada, canada, ambient pop, indie pop, ambient, indie rock"
Jefte Santos,
"G.R.E.S. Portela, Gilsinho",
"Dan Lellis, Pacificadores",
Necro,"Hip-Hop, Death Rap, Horrorcore, underground hip-hop, rap, hardcore rap, hip hop, underground rap, american, new york"
"Roberto Carlos, Jennifer Lopez",
Valntn,"american, United States"
Ben Phipps,"House, electronic, chill, Sweden, EDM, indie dance"
Ashworth,"House, folk, electronic, techno, UK, deep house, nu disco"
Aaron Espe,"indie pop, folk, indie folk, american, singer-songwriter, soft rock, USA, christian, male vocalists, Denver"
UZ,"trap, electronic, beats, japanese, chillout, bass, All, cool, dance, Hip-Hop"
"Bill Plaskett, Joel Plaskett",
Ikeno,
"La Bolduc, Ovila Légaré",
Dirk Bergmann,"stimmung, ilg"
"Violents, Monica Martin",
Pellican Child,Hip-Hop
Scarlett Johansson,"dream pop, female vocalists, folk, jazz, pop, alternative, american, shoegaze, indie, experimental"
Cardo Antonnio,
Guylaine Tanguay,"country, under 2000 listeners"
Hilmer Rose,
Autumn In June,"indie, House, indie pop, experimental, eletro indie"
Sylvan LaCue,"rap, Hip-Hop, hip hop, underground rap, underground hip-hop, Quest, underground hip hop"
Jessica Lea Mayfield,"folk, singer-songwriter, female vocalists, acoustic, female vocalist, indie, indie folk, Alt-country, USA, folk rock"
"Taku Matsushiba, Jin Oki",
Deniro Farrar,"Hip-Hop, cloud rap, rap, hip hop, Jasecore, underground hip-hop, indie, alternative hip-hop, North Carolina, trap"
Tex Lecor,"québec, funny, under 2000 listeners, Comedy Rock"
"John Williams, London Symphony Orchestra","Soundtrack, Classical, instrumental, composers, Star Wars, composer, american, score, orchestral, harry potter"
"Lucho Lambis, Sonora Malecon Club",
"Aeroplane, Purple Disco Machine, Aloe Blacc",
Enrique Y Ana,"spain, experimental, industrial hip hop, powerviolence, thank you based fary, pop kids, pederastia, HOLA LUNITA"
tomemitsu,"USA, folk, Lo-Fi, indie pop, los angeles, ambient pop, american, ambient folk, america, indie folk"
Bay Rays,"british, UK, Kent, england, Great Britain, United Kingdom"
Grupo Son Sabor,"Colombia, latin, cumbia, tropical, afro"
"Pedro Pablo Peña, Lucho Y Rafa",
Joaquin Bedoya Y Su Conjunto,
Stereo Total,"electronic, indie, french, german, pop, indie pop, electropop, female vocalists, alternative, Electroclash"
"Papo Man, Koffee el Kafetero",
Roberto Antonio,"venezuela, All, venezuelan"
Akash,"heavy metal, hard rock, Colombia, Heavy Metal Colombia, colombian metal, colombian rock, colombian, techno, electronic, instrumental"
Todos Tus Muertos,"reggae, punk, argentina, patchanka, rock, ska, punk rock, reggae punk, uncategorized, Rock Argentino"
Notch,"ambient, Reggaeton, dancehall, reggae, damn his music is so good, swedish, chillout, psychedelic ambient, electronic, Space Ambient"
"Le Youth, Sydnie",
"Drianu, Strøm",
"DeeWunn, Marcy Chin",
"Rich Gang, Young Thug, Rich Homie Quan",
EL BOY C,
Ale Fdz,"folk, pop, alternative, worship, worship indie rock"
"Naptali, Arofat",
"Reginald, Sarah Hovoričová",
"Rytmus, Elpe, Majk Spirit",
"Rytmus, Laris Diam",
"Vicetone, Youngblood Hawke",
Judah & the Lion,"folk, american, rock, bluegrass, worship, pop, americana, banjo, alternative, hip hop"
Priessnitz,"Czech, alternative rock, melancholic, alternative, rock, indie rock, Gothic Rock, jeseniky, Priessnitz, post-punk"
Thom Artway,"acoustic, folk, pop, singer-songwriter, Czech"
"We The Kings, Elena Coats",
"Rest, DJ Fatte",
Anomaly,"Progressive metal, death metal, lithuanian, jazz metal, Brutal Death Metal, Progressive rock, instrumental, Hip-Hop, metal, hip hop"
"Exale, James Massone",
"The Roommate, McMuffin",
"Joe I, Proforma",
Kanu,"Grime, Hip-Hop, british, Italo Disco, rap, hip hop, Disco, UK, electronic, 80s"
"KASSIANO, OYE!!!, T.O.K.",
"J-Mix, Hakeem",
ROMAX,
William Singe,"rnb, pop, trap, sexy, australian, X factor, sex"
"Favulous, DiRTY RADiO",
Mads Viktor,
Magneto,"80s, pop, spanish pop, mexico, Magneto, Brutal Death Metal, trance, teen pop, emotions, boybands"
Vinyl Hotel,
Benny Sadel,merengue
Ga'briel,
Tripulación de Osos,"ecuador, rock, Rock Latino, indie latino, rock ecuatoriano"
"Frankie Negrón, Mario de Jesús, Sergio George",
"Dash Berlin, Luca Perra",
La Ley,"rock, chile, Latin Rock, Rock en Espanol, spanish, rock chileno, latin, alternative rock, chilean, 90s"
"Marcos Brunet, Toma Tu Lugar",
"YG, Jeezy, Rich Homie Quan",
AZMA,"Hip-Hop, rap, 303, underground hip-hop, Denver Hip-Hop, estonia"
"Metsakutsu, Cool D, Gringo, Bad Art",
"Bingo Players, Far East Movement",
TENDER,"indie pop, electronic, indie, chillout, electronica, british, england, alternative rnb, United Kingdom, ambient"
Jim James,"folk, indie, dream pop, rock, New Weird America, kentucky, indie folk, american, louisville, USA"
"Yung Lean, A$AP Ferg",
JR JR,"indie, detroit, alternative, indie pop, All, american, indie rock, rock-indie, 10s"
"Ari Puro, Victoria",
Maria Monde,
"KauhiaJuha, KSP",
Captain Cuts,"pop, indie, electronic, Hip-Hop, los angeles"
Kreator,"thrash metal, german, metal, heavy metal, thrash, german thrash metal, speed metal, teutonic thrash metal, germany, old school thrash metal"
Suvi,"pop, Sweden, swedish, singer-songwriter, k-pop, swedish female singers, scandinavian"
That Poppy,"pop, experimental, female vocalists, indie, too young to be this good, american, ska, bubblegum pop, marina, poppy"
"RL Grime, What So Not, Skrillex",United States
"Kostume, Rosi",
Marilii,"iskelma, finnish, finland, pop"
Kaaoksen Ystävät,"finland, Grunge, alternative metal, alternative rock, Suomi"
Ken Waters,"trap, chillout"
"Baba, Amine",
Priscilla Betti,"pop, french, female vocalists, female singer, french female vocalists"
Kevin Spacey,"jazz, swing, Soundtrack, lounge, kevin spacey, cool, soul, All, actor, classic rock"
"CID, Kaskade",
Les Fêtards,under 2000 listeners
The Great Escape,"Stoner Rock, post-hardcore, Psychedelic Rock, rock, metal, hardcore, post hardcore, stoner, All, fuzz"
Warriyo,"dubstep, electronic, Belgium, belgian"
Achi Der Entertainer,
FINN,"Grime, electronic, House, indie, alternative, singer-songwriter, piano, speed garage, Glee Cast, deep house"
GLASHAUS,"german, soul, deutsch, pop, female vocalists, german soul, glashaus, chillout, Ballad, melancholie"
Hugo Jenn,
Debby van Dooren,
Orpheo,"pop, hip hop, netherlands, Progressive, heavy prog, pop-rap, Deutschrap, rock-progressive-psychedelic, raop"
AnnaLu & Shavez,
Arminda Alba,
"Ali Adora, Felo, Shaer El Gheya, Nour El Tot",
Danai Nielsen,"pop, dream pop, female vocalists, danish, Greek"
"Anthony Keyrouz, Ludomir, Zovik",
Giolì,"pop, italian, Italy"
Domastic,netherlands
Max Pross,
Knut Kiesewetter,"jazz, folk, deutsch, platt, niederdeutsch, Mundart, germany, shanties, norddeutsch"
"Soundmietzen, De/Vision",
"Richard Orlinski, Eva Simons",
Gregorythme,"minimal, minimal techno, minimal troubadours, electronic, microhouse, tech-house, techno, tech, tech house"
"Kazi, Madlib",
We Rabbitz,"cover, USA, eletronic, trap music, music duo, eletro pop"
"BIGGI, Marvega",
"Xero, Kyle Meehan, Kyle Dockery",
"Vandalism, Tommie Sunshine, Disco Fries",
"Tomotronix, Orangez",
Enoq,"rap, hip hop, german, Berlin, jakarta records, enoq"
Musical Spa,
Dae Dae,"Hip-Hop, rap, United States, hip hop, trap, trap rap"
Imam Baildi,"Greek, electronic, greek electronica, GREEK FUSION, remixes, balkan, world, chillout, greek dub, athens"
"Los Miseria, Malacates Trebol Shop",
Leonardo Favio,"balada, spanish, argentinian, argentina, leonardo favio, latin, oldies, male vocalists, singer-songwriter, male vocalist"
LIONE,"electronic, EDM, trap, american, future bass, chill trap"
"Reese Witherspoon, Nick Kroll",
"Jambalaya, Vészk'járat, Linda",
"Teflon Sega, SAINt JHN",
"Borgore, Juicy J",
"Showtek, Technoboy, Tuneboy",
Jambalaya,"soul, Southern Rock, latin, funk, imbuteria, House, hard rock, lesser known yet streamable artists, rock of 70s, reggea"
"Tankcsapda, Brains",
"Mickey Valen, Noé",
"The Lonely Island, Akon","comedy, rap, Hip-Hop, parody, funny, american, hip hop, comedy rap, pop, garfield sex music"
PIKOTARO,"j-pop, japan, pop, JPop, Japanese pop, Asian, Asian Pop, 2010s, 10s, a party on another planet"
Kat Edmonson,"jazz, female vocalists, vocal jazz, singer-songwriter, jazz vocal, 00c04fd7d062, USA, 1, 11, 8"
Crissi Cochrane,"Shady, All, misc, green, Hie to Kolob, bats, folk, Friday, Boneriffic, shady grady"
"Jhené Aiko, Childish Gambino",
Gary Clark Jr.,"blues rock, blues, soul, guitar, rock, guitarist, rhythm and blues, american, austin, texas"
"Gil Scott-Heron, Jamie xx","dubstep, electronic, experimental, ambient, Hip-Hop, future garage, soul, post-dubstep, spoken word, wonky"
NOHR,"metal, rock, Progressive, postrock, Wloszczowa, rock metal postrock new progressive, new"
Midlake,"indie, indie rock, Lo-Fi, alternative, folk, indie pop, folk rock, american, rock, indie folk"
"Queen, George Michael",
"deadmau5, Colleen D'agostino",
Cole Porter,"jazz, swing, oldies, musical, blues, 30s, cole porter, american, 40s, 20s"
IshDARR,"rap, Hip-Hop, wisconsin, milwaukee, USA, hip hop"
"John Legend, The Roots",
AwKarin,
Craig Gallagher,
Cameron Ernst,"pop, piano, pop rock, piano rock, male vocalists"
Gavy NJ,"Korean, k-pop, female vocalists, Kpop, rnb, pop, Ballad, r&b, girlband, lesser known yet streamable artists"
Sevenchords,
Pagi Tadi,folk
Park Hyo Shin,"Korean, k-pop, Ballad, pop, Kpop, male vocalists, male vocalist, park hyo shin, soul, r&b"
Saybia,"indie, rock, danish, alternative rock, alternative, indie rock, denmark, scandinavian, pop, 00s"
"Jocaso, Fabiolous",
Honey G,"X factor, rap, hard rock, electronic, death metal, metalcore, heavy metal, screamo, english, parody"
The Tapes,"new wave, industrial, post-punk, noise, minimal synth, italian industrial, electro, brothers, electronic, synthpop"
Dan Fogelberg,"singer-songwriter, soft rock, folk, classic rock, folk rock, Dan Fogelberg, 70s, male vocalists, rock, american"
Bear's Den,"folk, indie folk, acoustic, indie, british, indie rock, london, male vocalists, folk rock, england"
"Franz Schubert, Luciano Pavarotti, National Philharmonic Orchestra, Kurt Herbert Adler",
Stephen Swartz,"dubstep, USA, All, american, electronic superhighway, EDM, HOTTTTT"
Bran Van 3000,"electronic, alternative, Canadian, electronica, rock, pop, Hip-Hop, 90s, alternative rock, experimental"
Fabrizio Vidale,
DJ/SVAPO,
"Luca Velletri, Daniele Vit, Opetaia Foa'i",
"Axos, Garelli",
"Angela Finocchiaro, Chiara Grispo",
"Olivia Foa'i, Opetaia Foa'i, Talaga Steve Sale",New Zealand
"Somewhere Anywhere, Claude Eman",
Exotica,"french, synth pop, synthpop, psychedelic, indie, happy hardcore, punk, electronic, hardcore punk, pop"
"Not For Us, Ben Alessi",
Crimson Craftsman,
Group Tamashii,"japanese, rock, punk, J-rock, Garage Rock, japan, jrock, punk rock, Rock and Roll, garage"
"Eccy, Izumi Makura",
C-C-B,"j-pop, japanese, 80s, pop, JPop, Asian, rock, japan, Soundtrack, new wave"
Home Made Kazoku,"japanese, j-pop, Hip-Hop, anime, JPop, pop, rap, hip hop, j-hip-hop, j-hiphop"
Akira Terao,"Bossa Nova, japanese, jazz, easy listening, city pop, lounge, japan, JAPANESE BOSSA NOVA"
BOØWY,"rock, J-rock, post-punk, 80s, j-pop, jrock, j-pop, japan, Asian, post-punk new wave no wave"
Karyudo,"japanese, j-pop, japan, kayoukyoku"
"Guru's Jazzmatazz, Erykah Badu",
[re:jazz],"jazz, lounge, nu-jazz, acid jazz, nu jazz, nujazz, chillout, downtempo, german, electronic"
Donald Byrd,"jazz, funk, trumpet, blue note, Hard Bop, Blue Note Records, jazz-funk, Fusion, jazz funk, jazz fusion"
The Jazzinvaders,"jazz, nu-jazz, nu jazz, the jazzinvaders, neutral, disappointing, Broken Beat, Needs Scrobbles, deezer, social beats"
"Mark de Clive-Lowe, John Robinson",
"Mesa, Akis",
"Lost Kings, Emily Warren",
"MiyaGi, Endspiel",
"Moglii, Novaa",
"The Weeknd, Lana Del Rey","american, america"
"Gryffin, Josef Salvat",
Kemar Highcon,"jamaica, male vocalist, funk_add_to_lidarr_batch_14"
"Hans Zimmer, Lisa Gerrard, Leona Lewis, Gavin Greenaway",
E Nomine,"electronic, Gothic, german, industrial, trance, Monumental Dance, darkwave, new age, E Nomine, ebm"
Soul of Hex,"mexico, House, deep house"
Steve Mason,"electronic, indie, Scottish, acoustic, dance, male vocalists, dream pop, alternative, The Beta Band, singer-songwriter"
Oag,"rock, alternative, indie rock, All, malaysia, Rating 6 stars - Reasonable, malaysian, spotify, Need to Rate, 6 stars"
Diana Danielle,"malaysia, pop"
Hernán Casciari,"argentina, argentino"
"Nick Kroll, Reese Witherspoon",
Mary Luz,
Mariachi Juvenil,"mariachi, folk, mexican folk, mariachi rock-o"
Sara Paula Gómez Arias,
"Sebalira, Seba Gallardo",
Dinastia Mendoza,
Sing Cast,"fotech, Riqueza :esmio:"
"Taku Matsushiba, Kazuma Kudo",
Sinkope,"rock, Spanish Rock, rock transgresivo, Rock Urbano, rock nacional, spanish, spain, Spanish punk, Latin Rock, Rock en Espanol"
Libres Y Locos,
Beto Castillo,"tango, argentina, milonga, All, tango argentino, Classical Tango, world, latinoamerica, Buenos Aires, Dead"
La Mesa Reñoña,
"Taro Umebayashi, Linus Norda",
"Xandra Garsem, Juacko",
Duñe,"future garage, electronic, future beats, downtempo, future garage;dubstep;ambient"
"Little Simz, SiR",
"Dutch Movement, FeestDJRuud",
"Afrika Bambaataa, Afrika Bambaataa & The Soulsonic Force",
Swifty Official,
"Lemmy, Billy Gibbons, Dave Grohl",
"Scarphase, Tha Watcher",
C. Breezy,
Max Merritt & The Meteors,"New Zealand, music, everything, All, nz, Kiwi, Max Merritt, 20th century pop"
"Salaam Remi, Miguel",
Voz De Mando,"All, Narco Corrido, mexico, Main, corridos, Musica Mexicana, Norteno, el 6, Sierreno, corrido"
"Kim Køste, Ellen Aabol",
Dj Ræz,
"DJ Layla, Malina Tanase",
Taylor Ray Holbrook,"country, folk"
Ana & Kullervo,
Juliette Gréco,"french, chanson, female vocalists, 60s, chanson francaise, Chanson Française, france, juliette greco, chanson populaire francaise, mezzo-voice"
Dave Edmunds,"rock, classic rock, singer-songwriter, pub rock, new wave, 70s, Rock and Roll, british, dave edmunds, rockabilly"
Sean Rowe,"singer-songwriter, folk, indie, acoustic, american, new york, indie folk, USA, Troy, luisterpaal"
TĀLĀ,"electronic, electropop, iran, UK, contemporary r&b, rnb, pop, good, british, electronica"
"Staysman & Lazz, Simen Agdestein",
"Luigi 21 Plus, Ozuna",
Oro Solido,"merengue, dominican republic, latin, latino, oro solido, salsa, All, Raul Acosta"
Mamonas Assassinas,"rock, brazilian, comedy, brazilian rock, humour, brazil, Comedy Rock, brasil, alternative rock, 90s"
"Carlitos Rossy, Justin Quiles, Jory Boy",
Hot Chip,"electronic, indie, electropop, electronica, electro, british, indietronica, synthpop, dance, pop"
Mc João,"funk, brazil, brazilian funk, brazilian, Sao Paulo, hit, baile funk, 2015, BAILE DE FAVELA"
"Lil Silvio, El Vega",
Carlos Farfán,
Noah Neiman,"USA, trance, Progressive House, progressive trance, big room, House, electronic, electronica, electro, dance"
"Yunel, Ne-Yo, J Alvarez",
Adrián,"rock, medellin"
Kanaku y El Tigre,"folk, Peru, indie folk, alternative, indie, peruvian, latin, latin indie"
Grupo Bomba,
2nd Moon,"Korean, Fusion, gugak, fusion gugak, folk, crossover, world, reminds me of someone, reminds me of something, pansori"
Ha Hyeon Woo,
"Mija, Vindata",
"Jess Connelly, LUSTBASS",
Andreas Moss,"swedish, pop, rnb, sxsw 2017"
Ryann Darling,
Over Here,
Electric Guest,"indie pop, indie, electronic, american, Danger Mouse, pop, USA, LastfmSC, los angeles, All"
"Tower of Doom, Typecast",
"Nolan van Lith, Amy Guess",
"Michał Sobierajski, Suwal",
"Ras, Homex, Globalny Odlot",
"Julia Wieniawa, Zeppy Zep",
"Klaudia Szafrańska, ENZU",
"Gedz, Otsochodzi, Pham",
"Iza Lach, Pepe.",
"Justyna Święs, Klaves",
Igor Kwiatkowski,"pop, polish, male vocalists, polskie"
"josh pan, X&G",
"AVE, EFX, Varun, LA James",
"Sarius, Voskovy",
"Dooqu, Luke Cusato",
