artist,genre
PRISTIN V,"k-pop, Kpop, Korean, pop, girl group, PRISTIN, 2018, pledis, Korean Pop, pristin v"
"Momo, Sandra",
"Momo, Matej Straka",
"Momo, Tomáš Jedno",
AKA,"indonesian, Psychedelic Rock, hard rock, Progressive rock, no wave, funk, rock, Hip-Hop, rap, south africa"
"Nasty C, A$AP Ferg",
"AKA, L-Tido",
EAZ,
"Sergio Ramos, Demarco Flamenco",
"Ayax y Prok, Blasfem",
"Norlie & KKV, estraden",
"Deepend, Younotus",
"Anis Don Demina, Mad Kings",
Takida,"alternative rock, rock, swedish, hard rock, alternative, modern rock, post-grunge, Takida, scandinavian, Sweden"
"Lani Mo, Ricky Rich, Thrife, Dree Low, Blizzy, Nathan K",
"Tjuvjakt, Petter",
"Sandro Cavazza, P3GI-13",
"Tjuvjakt, Thomas Stenström",
"Blizzy, Kapten Röd",
"Erlando, Natali Noor",
Naod,"Sweden, swedish"
"Pidde P, Landslagsbarnen",
"Rari Boys, Softside",
Los Profetas,All
Butrint Imeri,"Albanian, shqip, pop, germany, male vocalists, albania, deutschland, kosovan roots, kosovar roots"
"Jam Hsiao, Yoga Lin",
Jonathan Lee,"christian rock, chinese, acoustic, folk, contemporary christian, accoustic, praise and worship, Modern worship, worship leader, campus folk"
"吳青峰, 9m88",
"Felix Snow, ROZES",
"Wan Thanakrit, Mild",
"Atip, Ploychompoo",
electric.neon.lamp,"thai, indie, pop, electronic, thai rock, Thai Indie, nurse rock, thia rock"
Boom Boom Cash,"dance pop, pop, t-pop, thai pop"
"HONNE, Georgia",
"Loote, Joe Jonas",
Aof Pongsak,"thailand, thai, thai pop"
Gunn Junhavat,
"Aleyna Tilki, Emrah Karaduman",
Asil Gök,
Murat Dalkılıç,"turkish, pop, Turkish Pop, turkey, rnb, All, dance, beyin resetleme, male vocalists, electronic"
İyi Olacak,
"Ece Seçkin, Ozan Doğulu",
Özgün,"Turkish Pop, pop, turkish, All, turkey, melancholic, acoustic, singer-songwriter, pop rock, dance"
Gülşen,"turkish, pop, Turkish Pop, dance, female vocalists, turkey, All, turkish female vocal, gulsen, rnb"
"Aylin Coşkun, Hande Yener",
Deniz Seki,"turkish, pop, female vocalists, Turkish Pop, All, deniz seki, Turk Pop, CoCo Star, singer-songwriter, female vocalist"
Cem Belevi,"turkey, turkish"
Hakan Altun,"All, funeral doom, turkish, kral, spotify, tarabya, hakan, hakan altun, zeyneb dizdar, nurinin yeri"
Niran Ünsal,"pop, Turkish Pop, turkish, female vocalists, niran unsal, turkey, All, spotify, to explore, kot"
"Umut Timur, MRC",
Röya,"azerbaijan, pop, me encanta, female vocalists, azeri pop, Nagorno-Karabakh, azerbaijani"
Emre Kaya,"acoustic, pop, turkish, singer-songwriter, turkey, male vocalists, acoustic pop, Turkish Pop"
Büyük Ev Ablukada,"alternative, indie, acoustic, turkish music, acousmatic, turkish, indie rock, All, Yerlilililerle, rock"
İntizar,"turkey, fantezi"
"Dappy, Ay Em",
"Lil Baby, Gunna, Lil Uzi Vert",
"La Vela Puerca, Raly Barrionuevo",
