artist,genre
Лъчо,
Ndoe,bg hip hop
"Toni Storaro, Galena",
"Monoir, DARA",
"Ruben Young, Hodgy",
John Gurney,"acoustic, pop"
deepend.,
"Showtime Damion, Kisi Jay",
Daniel Parranda,
El Parche,
"Sebastián Romero, Una Canción Bonita",
"Sheko, Sagga",
Zeri,"spanish, rock, male vocalist, zerri"
Nick Kamen,"pop, 80s, new wave, british, male vocalists, england, english, Essex, House, Home collection"
Matthew Schultz,"drone, ambient, electronic, experimental, dark ambient, dark ambient soundscape drone etc, industrial, dark electro, drone ambient, Dark Ambient Experimental"
Anna Clendening,"pop, female vocalists, us, indie, All, USA, indie pop, 3-5, 4, yandex music"
Jyden,
Super Sisters,"Progressive rock, dutch, Canterbury, rock, Progressive, Canterbury Scene, 14, netherlands, 70s, experimental"
Nikoline,
Emma Pigen,
Grøntsagerne På Tur,
Annika Aakjær,"danish, pop, singer-songwriter, female vocalist, scandinavian, dansk, nordic, indie, alternative, indie pop"
Noisestorm,"dubstep, Drum and bass, electronic, breakbeat, hybrid trap, drumstep, electro, House, irish, drum & bass"
"Hulbrødre, Futte",
Silas Bjerregaard,
Gareth Gates,"pop, british, male vocalists, singer-songwriter, teen pop, 00s, pop idol, gareth gates, Ballad, United Kingdom"
"Almighty Jay, YBN Nahmir",
Wason Brazoban,
Papaya Dada,ecuador
"Papaya Dada, Gustavo Velásquez",
"Janet Jackson, Daddy Yankee",
"MiyaGi & Endspiel, KADI",
LÄHIÖBOTOX,"heavy hardcore, metal, hardcore, rap, metalcore, finnish, crossover, rapcore, Nu Metal, surmacore"
MdB,"chillout, vocal trance, trance, ambient, electronic, downtempo, electronica, hardstyle, beautiful, ambient trance"
Salaliitto,"indie, alternative rock, finland, finnish"
Musta Paraati,"post-punk, Gothic Rock, finnish, Gothic, goth rock, 80s, punk, finnish punk, new wave, Post punk"
"Hurtta, Matinpoika, Likanen Etelä",
La Belle Vie,"french, france, indie"
Alkakris,"french, soul, indie, pop, rap, hip hop, instrumental, Hip-Hop, rnb, alternative"
2TH,"france, rap, electronic, Hip-Hop, male vocalists, dancehall, French hip hop, french rap, trap, pop rap"
NFC,"electronica, experimental, idm"
David Okit,
Meryl,"rap, france, Martinique, dancehall"
Carl Kennedy,"House, dance, All, funky house, spotify"
"Jonas Eb, Mariuslu",
7apes,Lo-Fi Beat
Money Regime,
Cyril aka Aaron Hilmer,
Rezident,"House, electronic, dance, techno, EDM, Anjunadeep, germany, funk_add_to_lidarr_batch_22"
half•alive,"indie pop, indie, indie rock, alternative, pop, rock, american, long beach, United States, los angeles"
Lukas Oppenheimer,
"Panski, John Skyfield, Dana Kelson",
The Hollies,"60s, classic rock, british, rock, oldies, british invasion, pop, The Hollies, beat, pop rock"
Jak,"dub, country, dub techno, minimal, Random Access Recordings"
Ruang Raga,
Sodiq Monata,
Wild Nothing,"dream pop, shoegaze, indie pop, indie, tweegaze, Lo-Fi, american, chillwave, indie rock, pop"
Esbee,"k-pop, Disco, Korean, Korea, Kpop, edits"
"Matthew E. White, Natalie Prass",
Caesar Wu,
Nina Kraviz,"techno, deep house, House, idm, dubstep, breaks, psy, electronic, minimal, russian"
KETTAMA,"House, electronic, techno, detroit techno, detroit electro, deep house, breaks, live-2, ireland, irish"
Cornelius Brothers & Sister Rose,"soul, funk, 70s, oldies, r&b, blues n soul, rnb, rhythm and blues, american, USA"
Amir Ve Ben,"hip hop, rap, israeli, hairy chest, suesse Welpen"
Marian Gold,"synthpop, pop, german, alphaville, new wave, synth pop, oldies, 90s, male vocalists, sunthpop"
Chet Baker,"jazz, cool jazz, trumpet, vocal jazz, blues, american, chet baker, Smooth Jazz, jazz trumpet, West Coast Jazz"
Reincidentes,"punk rock, rock, Spanish Rock, punk, spanish, Rock Urbano, Spanish punk, spain, political punk, punk iberico"
Moongates Guardian,"atmospheric black metal, black metal, epic black metal, epic metal, Tolkien, russian, Russian Black Metal, Epic Atmospheric Black Metal, Folk Black Metal, melodic black metal"
Jahnavi Harrison,"Kirtan, spiritual, devotional, mantra, bhaja"
LAUREL,"Southern Rock, indie, hardcore, metalcore, female vocalists, indie pop, pop, rock, electronic, alternative"
Haddad Alwi,"pop, indonesian, islamic, religious, islam, Nasyid, nasheed"
Dukissj,
England Supporters,
Andy Bianchini,"brazil, trance"
Shlomi Kendel,
Party Boomers,"party, italian, law, meme"
"Luca Sepe, Rafelopazz",
Gionni Gioielli,
"Sebastian, Gemitaiz, 3D",
CharlestheFirst,"electronic, bass, chillout, dub, trip hop, Hip-Hop, downtempo, chill, trip-hop, american"
Grace Cambria,
"Joeski, Gorgon City",
Sublab,"future garage, electronic, chillout, german, chillstep, downtempo, piano, germany, chill, garage"
"Locos Por Juana, Beto Perez",
"Ollhage, Bella Elysée",
"Kensonlovers, 山本真由美",
"KOTARO SAITO, Asuka Ouchi, Kunio",
Tha omedetaz,
Joe Yellow,"Italo Disco, Disco, 80s, italian, eurodisco, italo-disco, electronic, dance, eurodance, new wave"
"Yap!!!, マナ, カナ",
edda,"d-beat, Crust, hardcore, hungarian, neocrust, italian, rock, polish, punk, dark hardcore"
Akira Ikuma,
sora tob sakana,"idol, japanese, j-pop, math rock, JPop, post-rock, female vocalists, Asian Pop, Asian, post-idol"
Hypnosis Mic -D.R.B.- (Matenrou),"rap, hypmic, japan, hip hop, seiyuu, jp"
Swardy,"electronic, House, USA, downtempo, underground electronic, Progressive House, EDM"
"Tomita Lab., Naz",
"T-Fest, Basta",
Lesha Svik,"russian, hip hop, Russia, Russian Hip Hop"
"Adler Kotsba, Timran",
"Allergic, Baltasis Kiras",
"Gopi Sundar, Sid Sriram",
"RGP, Beenie Man",
2TikTok,
姚莉,"chinese, Shidaiqu, pop, jazz, Asian, vocal, female vocalists, 40s, mandarin, oldies"
Hani & Zue,
Star Dreams Electric Studio Orchestra,
"Sally Yeh, David Ling Jr, Philip Kok, Tom Brown",
Grace Chang,"chinese, jazz, Hong Kong, tsai ming-liang, the vitamin b12, Shidaiqu, the hole"
Baccara,"Disco, 70s, pop, spanish, female vocalists, Baccara, 80s, dance, eurodisco, spain"
La Pajarita La Paul,"pop, Dominican"
El General,"reggae, Panama, Hip-Hop, latin, 90s, jamaica, el general, Reggaeton, chill906, male vocalists"
beGun,"electronic, future garage, again, ambient, 10s, spanish electronic, chillwave, post-dubstep, Plissken 2014, eurosonic2016"
Samir Sami,
Andrew Simple,
Jorieke Sterken,"obscuresqism, dutch female vocalists, the voice of holland s11 team waylon, The Voice Of Holland S11"
Volledam,
Bram Boender,
"ICKKY, Bahadir",
iAM,"Hip-Hop, rap, french, french rap, hip hop, rap francais, french hip-hop, Marseille, French hip hop, france"
Julia van Helvoirt,"Schlager, Nederlandstalig, dutch female vocalists, volksmuziek, I Want Your Song 2022"
"Mezdi, Matsoe Matsoe, Dazers, Justice Toch",
"Mariano Mellino, Interaxxis",
"SYSYI, Jupiter Project",
"Stafford Brothers, Rachel West",
Pacific Heights,"Drum and bass, downtempo, chillout, ambient, New Zealand, atmospheric drum and bass, electronic, liquidfunk, Hip-Hop, atmospheric"
"Haim Ifargan, ד""ר צ'אן",
"Kahbum, Willie Peyote, Zibba",
"Hounded, Tom Montesi",
Ween,"experimental, alternative, rock, indie, alternative rock, indie rock, Experimental Rock, psychedelic, Lo-Fi, american"
dEVOLVE,
Dj Marechal,
Yinyues,"chillstep, electronic, ambient, indie, downtempo, chillwave, london, chill, british, dubstep"
Snufz,
Sassy Beatz,
Drogad Katt,"Love, swedish, techno, dance, comedy, Hip-Hop, electro, amasing, svenskt, sick"
Clare Dunn,"country, singer-songwriter, american, female vocalists"
Kungen,
"Ludwig van Beethoven, Nobuyuki Tsujii",
"Gian Varela, Demphra, M3B",
"BARBEL, ANYURI",
Twinsmith,"All, indie rock, indietronica, indie pop, alternative pop, USA, synth pop, Saddle Creek, indie folk, chamber pop"
Many Voices Speak,"indie, pop, female vocalists, indie pop, Sweden, electronica, swedish, 10s, felame vocalists, dream pop"
The Strike,"Oi, punk, british, street punk, Skinhead, political, indie, synthpop, pop, punk rock"
Dan Tristan,
Viigo,"indie, USA, beats"
Guova,"guova, rap, polish, Hip-Hop, glamrap, hip hop"
Ziyo,"cold wave, post-punk, zimna fala, polish, rock, 80s, polish rock, coldwave, new wave, poland"
Malibu,"ambient, electronic, experimental, dance, french, dancehall, new age, ambient trance, House, france"
Chiara Grispo,"italian, pop, amici, Italy"
Basaa,"Romanian, rap, trap, romania, Emo Trap, Romanian rnb"
"Vlad Dobrescu, Doc, Deliric",
"Matteo, Ruby",
Makis Dimakis,"Greek, greece, Laika, Greek Music, greek male vocalists"
Orq. Caribeños de Guadalupe,
"Oh, Flamingo!","indie rock, Filipino, indie, alternative rock, indie pop, philippines, rock, filipino rock, filipino indie"
Weronika Juszczak,"poland, polish"
"Ricky Rose, Alexandra Dohle",
"Tommee Profitt, Jung Youth, Fleurie",
"PRIBELSZKI, Trapboi, Realecta",
Skauti,
Ombre Cinesi,
Siti Sarah,"malaysia, female vocalists"
Luisito Rey,"70s, romantic, Ballad"
Kito,"dubstep, minimal wave, downtempo, electronic, norsk wave, chillout, pop, electropop, mixtaperoom, Norway"
Alex France,"pop, electropop, future bass, EDM, inddie, traprun"
Alice Jemima,"british, singer-songwriter, pop, indie pop, english, female vocalists, indie, england, United Kingdom, All"
Travis Denning,country
"I.M.T. Smile, Kandráčovci",
"Master KG, Zanda Zakuza",
"Eyadini Lounge, DJ Ganyani, Nomcebo",
"Tom Budin, Kopa",
Abathandwa,
Mon DJ,
Sofia y Carlos,
Caden Jester,"dubstep, electro house, EDM"
Karetta el Gucci,"trap, Reggaeton, neoperreo"
SSU,"hardcore, hardcore punk, modern hardcore, supreme, TRAPSHIT, OBEY, swag, krasnoyarsk, g-shock"
"corzy, Sofie Svensson",
Kiwi and the Dogboys,"svenskt, dansband"
ARVET,"black metal, depressive black metal, finnish, raw black metal, DSBM, Finnish Black Metal, Suicidal Black Metal, atmospheric black metal, Depressive Suicidal Black Metal, finland"
RandomMakingMovies,"humour, comedy, RMM, randommakingmovies, youtube channel, random making movies"
"Tony Ejremar, Brinkenstjärna, Frida, Alphaman",
Off The Meds,"electronic, House, techno, breakbeat, Sweden, swedish, bass, south africa, eurovision 2023 wishlist, morbius"
"Anoy, Mick C",
Vök,"icelandic, electronic, alternative, indie pop, iceland, Dreamy, dream pop, female vocalists, synthpop, 10s"
"Wildson, LaKesha Nugent",
Bella Boo,"House, electronic, deep house, Sweden, tech house, dance, swedish, electronica, downtempo, minimal"
JC Stewart,"singer-songwriter, pop, indie pop, indie, male vocalists, irish, alternative pop, northern ireland, discoverunsigned"
Amandine X,
Aislin Evans,pop
"Monti B, Frida Redz",
Daniel Norgren,"blues, Sweden, rock, folk, singer-songwriter, blues rock, swedish, End Of The Road 2013, eurosonic 2010, bksbks2015"
Klischée,"swiss, switzerland, electro-swing, electro swing, ilg, Freshly Squeezed Music"
"Samy Deluxe, Torch, Xavier Naidoo, Afrob, Megaloh, Denyo",
"Lexie Liu, nafla",
Orsten,"downtempo, chill out, atmospheric drum and bass, Orsten, electronic, kot, french, electronica, finnish, noise"
Nightmares On Wax,"trip-hop, chillout, downtempo, electronic, lounge, electronica, ambient, acid jazz, trip hop, british"
艾福杰尼,"rap, chinese, Hip-Hop, hip hop, chinese hip hop, mandopop, trap rap"
Jung In,south korea
Wen Zhaojie,
Bertie Higgins,"soft rock, 80s, male vocalists, pop, easy listening, lounge, adult contemporary, All, german, american"
UMA,"japanese, sexy, night, feelgood, cheerful, indie pop, melancholy, dark hypnotic, Shivering Excitement, delicate"
"UMA, Tossakan, คุณพระบรรเลง",
Trevor Wesley,"soul, jazz"
เต๊ะ ตระกูลตอ,
"CONFUSE, KS""",
Kantong Tungngern,thai
DAKOOKA,"Ukrainian, female vocalists, singer-songwriter, indie, indie pop, russian, baroque pop, electronic, piano, Ukraine"
"Roderic, matt.i",
"Melik Arici, Hso, Gunes Taskiran",
Selçuk Alagöz,"turkey, turkish"
Esmer,
"Doğukan Manço, Emre Altug",
Lia Pamina,"spain, female vocalists, twee, pop, Ballad, spanish, dream pop, under 2000 listeners, chanson, 10s"
Mixeos Djs,mexico
Izamuzic,
Longaz,"surf rock, shoegaze, turkey, dream pop, mert karaca"
Defkhan,
"Fatih Aslancan, Anıl Piyancı",
Damian Lazarus & The Ancient Moons,"deep and dark, UK"
Gönen Gülnerman,
"Ilkan Gunuc, Osman Altun, Sophie",
"Birkan Nasuhoğlu, Elçin Orçun",
"KDM, MP",
"Chunkz, Neji",
Claire Richards,"british, rutracker, upcoming album 2023, pop, dance, piano, female vocalists, 4, Steps, 3-5"
P-Lo,"Hip-Hop, rap, United States, California, trap, hip hop, Bay Area, Cali rap, trap music, Oakland"
Traste Lindéns Kvintett,"rock, swedish, svenskakrusbar, indie, swedish rock, folkrock"
Francine Gaétane,
