artist,genre
"Otto, Roberta Miranda, Céu",
"Johnny Hooker, Gaby Amarantos",
Biltre,"electronic, indie pop, brasil, brazil, Brasil Brazil"
"Luiz Lins, Mazili, Moral",
Karol Conká,"rap, Hip-Hop, brazilian, female vocals, Karol Conka, hip hop, brasil, pop, brazil, rnb"
Jade Baraldo,"pop, mpb, brazilian, rnb, folk, brasil, electropop, Ballad, trip-hop, trip hop"
Maneva,"reggae, brazil, brazilian reggae, brazilian, brasil, raggae, brazilian ska, A ouvir"
"Bhaskar, Alok, Stonefox",
"Choice, Pineapple StormTv",
"Projota, Karol Conká",
Gery-Nikol,"pop, bulgarian, All, bulgarian pop, bulgaria, dance, female vocalists, balkan pop, rnb, Hip-Hop"
"Stefan Valdobrev, Обичайните заподозрени",
"Thomas Rhett, Maren Morris",
"INNA, Erik",
"Anjulie, Oskar Flood",
F.O. & Peeva,
Queens of the Stone Age,"Stoner Rock, alternative rock, rock, hard rock, alternative, desert rock, stoner, american, robot rock, Psychedelic Rock"
"Yo Gotti, Nicki Minaj",
SkandaU,"Hip-Hop, pop, rnb, bulgarian"
"Metro Boomin, Offset, Drake",
DaVido,"afrobeats, afrobeat, nigeria, africa, afropop, naija, Hip-Hop, world, electronica, atlanta"
"DJ Kay Slay, Rick Ross, 2 Chainz, Kevin Gates, Meet Sims",
Bo,"serbian, rap, Hip-Hop, finnish, Greek, acoustic, rock, Serbia, BO, Rapper"
Belly,"alternative, female vocalists, indie, 90s, 4ad, alternative rock, rap, dream pop, indie rock, Hip-Hop"
"Avedon, Pyrodox, Tank",
dubé,
Lil Windex,"hip hop, rap, cloud rap"
Theory of a Deadman,"alternative rock, rock, post-grunge, hard rock, alternative, Canadian, Theory Of A Deadman, Grunge, Post Grunge, metal"
"Ryan Hemsworth, E-40, Yakki",
"Zeds Dead, ILLENIUM",
"Saukrates, Kardinal Offishall, Choclair, Marvel",
The Glorious Sons,"hard rock, alternative rock, my top songs, rock, Canadian, alternative, canada, All, modern rock, Canadian rock"
PANDA$,"underground hip-hop, alternative rap, anternative rap"
"Sultan + Shepard, Nadia Ali, iRO",
"Elohim, Whethan",
"pronouncedyea, Opvs, Andrew Ronck",
Amaal,"somalia, rnb, pop, soul, mali, Canadian, female, female vocalists, malian, somali"
August Burns Red,"metalcore, hardcore, Christian Metalcore, christian, metal, Technical Metalcore, melodic metalcore, Progressive Metalcore, american, mathcore"
"Dennis Fernando, Robert Taylor, Nicolas Tovar",
Princesa Alba,"trap, Reggaeton, pop, chile, chilean, Latin Urban, indie pop, bachata, dancehall, dance-pop"
"Wisin, Ozuna, Bad Bunny, De La Ghetto, Arcangel, Noriel, Almighty",
Proyectosolo,"chile, folk, indie"
"Alfred Beck, Tadeo Fernandez",
Jiggy Drama,"rap, colombian, latin, latino, dancehall, Colombia, All, socca, regaee, San Andres"
Flora Martínez,"Colombia, latin, montreal, pop, female vocalists, jazz vocal, spanish, 20s, 10s, actress"
"Cato Anaya, Vicente Garcia",
"Peter Manjarrés, Juancho De La Espriella",
"La Reforma, Adriana Lucia",
Jaycob Duque,"Reggaeton, Colombia, colombian"
"Luciano, Nikky Santoro",
Kerispatih,"pop, indonesia, indonesian, acoustic, Mellow, kerispatih, easy listening, relaxing, band, emotional"
Gala,"dance, pop, eurodance, 90s, female vocalists, italian, electronic, House, Europop, Italy"
Backstreet Boys,"pop, boybands, 90s, dance, backstreet boys, american, male vocalists, boyband, pop rock, 00s"
Blur,"britpop, rock, indie, british, alternative, alternative rock, indie rock, 90s, pop, UK"
The Notorious B.I.G.,"Hip-Hop, rap, Gangsta Rap, east coast rap, hip hop, gangsta, East Coast, new york, 90s, boom bap"
Cornershop,"indie, britpop, british, alternative, rock, indie rock, 90s, alternative rock, england, electronic"
Eagle-Eye Cherry,"rock, pop, alternative, singer-songwriter, swedish, pop rock, alternative rock, 90s, Sweden, male vocalists"
Diddy,"Hip-Hop, rap, rnb, hip hop, east coast hip hop, diddy, american, 00s, 90s, r&b"
