artist,genre
"King Meeteeie, Nick Almighty",
Bagzamilleon,
Jaron Randolph,
Elan Suave,
Drippy Global,
A.V.O. King,
"YoungFrenchy808, Masiah Jay",
"Delll, Mike B",
ATG Duke,
The Irrepressibles,"chamber pop, cabaret, british, piano, violin, baroque pop, experimental, alternative, indie, 11"
Alex D Gambo,
Vercetti CG,
"Xena Elshazlii, Fady Haroun",
Rontti,
"Kamara, Timo Rautiainen",
Heikki Hakkarainen,"Progressive rock, finland"
COR,"hardcore, punk, trashrock, german, hardcore punk, thrash metal, deutschpunk, baltic sea hardcore, germany, metal"
"Nibal, Corina Smith",
"Ábrahám, T. Danny",
DLYA,
Roby Facchinetti,"italian, rock, italia, Italy"
"iCE KiD, 空音, kojikoji, Tio",
RoXor,"hardcore, Crust, political, heavy metal, d-beat, antifa, underground, anarchist, czech metal, raw punk"
"Púr Múdd, Chris Jamison",
"Kisé, Lil Tib, YoungBoy Rallo",
"Kisé, Kondor",
"Kisé, Lil Tib",
"Kisé, YoungBoy Rallo",
"Kisé, HRflow",
"Kisé, Kolg8eight",
"Claude Debussy, Ezio Bosso",
"Christoph Willibald Gluck, Ezio Bosso",
"Johann Sebastian Bach, Ezio Bosso",
grande1899,"minecraft, note block"
Taick,
"FLY LO, Dirty Harry",
"Omer Adam, Noa Kirel",
Keta,"electronic, russian, experimental, House, electro-house, rap, Progressive, Hip-Hop, electropop, indie pop"
Lil Zimba,
Will Diaz,
El Bird,
"Smokey Loc, Montana of 300",
Cel,"female vocalists, soul, r&b, electronic, experimental, krautrock, avant garde, Neo Soul, dubstep"
"DJ Boogz, K'ron, LouGotCash",
"NOTD, Catello",
Unlnkable,
"Frankie Knuckles, Director's Cut, Eric Kupper",
"Ivish, mark veins",
Emily Vu,"indie, pop, american, rnb, California"
YOSHIO,"pop, japan"
Big Husk,
Talia Mar,"pop, rnb, r and b, british, twitch, alt-pop, alt pop, Streamer, youtube, youtuber"
"Hauhwii, Bangers Only, 404vincent",
Bharatt-Saurabh,"Indian, Hindi"
"Bangers Only, Hauhwii",
"Marty Guilfoyle, John Gibbons",
Natalie Ney,
Shannon Delani,netherlands
"DJ Kaitapu, Willyrose, YahBoySoa, C.One79, SammyLove",
Oda Kristine Gondrosen,
"Los Paraguayos, Luis Alberto Del Paraná, Reynaldo Meza",
Oscar Pérez con la Alegre Fórmula Nueva,
"Bandita Folklórica, Tropical Tava'i de 25 de Diciembre",
"Tim, Kozakpolv",
Don Kasjo,
"Lester Roy, Young Drastic",
OCTN9NE,
Rah Dizzy,
Keiichi Okabe,"Soundtrack, video game music, japanese, composer, symphonic, instrumental, electronica, orchestral, game, NieR Gestalt"
The New Raemon,"indie, singer-songwriter, spanish indie pop, indie pop, pop, spanish, spain, barcelona, spanish indie, folk"
이시강,
Gus Vali,"Greek, kef music"
Jamba,"christian, Jesus-Reggae, gospel-reggae, gospel, gospel reggae, christian reggae, jesus reggae, holy reggae"
"Juls, Busiswa, Jaz Karis",
Chip Tha Ripper,"Hip-Hop, rap, Ohio, Cleveland, chip tha ripper, hip hop, american, All, underground hip-hop, swag"
Solidão,
Olli,"finland, electronic, emotional, sad, poppin, popping, plunderphonics, popping beats"
唐漢霄,
Volkan Bekçi,
Nikof,
Deyim Yerindeyse,
Uğur Akyürek,
"CLIPZ, Ms. Dynamite",
"TNAN, Viktoria Liv",
Onk Lou,"alternative, austrian, FM, fm4 soundpark"
"DABOYWAY, Twopee Southside, NGAZ YB, 1MILL, Stickyrice Killah, Eskiimo, BURNSPIT, JAHMAN YB, Ziggavoy, JUU4E",
"Mama Santa, Los Verduleros",
"Zhao, Micutzu",
"Loko Loko, Daweed Hustle",
"Vicco, Adrià Salas",
Bruno Alves,
"Roi Méndez, Sinsinati",
Kyan,"funk, soul, drill, british, trap, rap, pop, Drum and bass, trap BR, techstep"
"Kalimba, Juan Magán, Akapellah",
"Maximiliano Calvo, ARON, Soleá Morente",
"周穆, L8ching",
"Teewow, RIF, 2T FLOW, RachYO, Mingshan, 9n9",
Gion,"tango, Romanian, Romanian Tango"
Umars Soundz,
박혜진 Park Hye Jin,"House, deep house, Korean, electronic, south korea, outsider house, electronica, seoul, english, downtempo"
"Shipway, cherilee",
Walt Miguel,"hiphop, rap, finlandssvensk, finnish"
"Joel Fletcher, Kennyon Brown",
5K HD,"art pop, electronic, female vocalists, Austria, austrian, Progressive Pop, Neo-Soul, Avant-Garde Jazz, avant-garde pop, glitch pop"
Nick Klyne,"dutch, male vocalists, dutch male vocalists"
RORI,"pop rock, alternative rock, belgian, Belgium"
"Baco Exu do Blues, Lellê",
De La Nada Uy,"hardcore, punk, pop punk, uruguay"
"Blunted Vato, Mesita",
Diego Rossberg,
Salandrú,
J.Lc,
"Max Oazo, Moonessa",
Yasumu,"german, electronic, chillhop, instrumental hip-hop, beats, Hip-Hop, chill, Lo-Fi, lo-fi hip-hop, chillout"
Ocho y Media,"french, world, salsa, hit, cali, cumbia, concert, Euphorique, mestizo, Feria"
"Monki, DJ Rae",UK
Dopha,"danish, pop, denmark, dansk, scandipop"
Majo y Dan,"latin, jazz, pop, spanish, mexico, 10s, 20s"
"Violeta Ikari, Georgia Kefala, Maria Kilaidoni, Christos Mastoras, Panos Mouzourakis, Dimitris Basis, Miltos Pashalidis, Nikos Portokaloglou, Mariza Rizou",
"Bangers Only, gavn!",
"רפא צירי, Amir Benayoun, Akiva, Lior Elmaleh, Ariel Zilber, Hanan Ben Ari, Berry Sakharof",
"Ram Orion, Amir Lev",
Nieggman,
Fede Figueroa,
"Gioachino Rossini, Ezio Bosso",
"Flendo, Johnny Escutia, Poltergeist, Compton",
Kiri T,"chinese, electronic, Hong Kong"
Vormenn Íslands,
Maati Baani,"world, folk, funk, hindustani classical, Maatibaani, india, Mumbai"
Hanin Diyah,
"From Mars, Martz",
Dj NoFace,
Sono-Lux,"cuba, timba"
Bajeranci,"folk, indie, biesiada, bajeranty, wyqukal"
"May The Muse, Robot Koch",
