artist,genre
"Cloud King, David Generato",
Rocksteddy,"philippines, rock, punk, alternative, Filipino Music, OPM, Pinoy Rock, total horse shit, filipino rock, pinoy"
"Princess Thea, Yayoi, Still One",
"DenzLow, Leo Malli",
Andrzej Grabowski,"polish, alkohol, alternative, pop, polskie, singer-songwriter, indie, poetry, folk rock, Avant-Garde"
Holaki,"poland, indie, polish, polskie"
"Catz 'n Dogz, Taco Hemingway",
PIT,"Grime, 80s, hardcore, Power metal, Hip-Hop, Sludge, thrash metal, German metal, speed metal, UK"
Senti,
"LETNI, Nowator",
"Mazolewski, Porter",
Vixen,"hard rock, hair metal, 80s, female vocalists, rock, rap, Glam Metal, Hip-Hop, Vixen, hip hop"
Warga,"polish, Hip-Hop, youtube, oldschool"
L-Ali,"rap, underground rap, underground hip-hop, Portugal"
Valdir,
No Money,"Drum and bass, neurofunk, Czech, dubstep, Drum n Bass, electronic, darkstep, Czech Republic, dnb, All"
Lutz,
Jet$ki,
"shadykov, NMW Berechet, Aerozen, Dvniel, Andreas, Tussin",
"Vanotek, Mikayla",
"Flxrin, Ian",
"Neli, Starr Boi",
MIRA,"shoegaze, ethereal, female vocalists, downtempo, dream pop, indie, belgian, turkish, ambient, pop"
陆虎,"pop, chinese, producer, mandopop"
开开 (赵锴羿),
秦岚,"cpop, LAN, Qin Lan, Qin, qinlan"
JANNABI,"k-indie, Korean, indie, indie rock, k-rock, k-ballad, rock, jannabi"
Aubrey Qwana,"afro-soul, south africa"
Joshua Na Die Reën,"afrikaans, singer-songwriter"
"Kabza De Small, Leehleza, Moonchild Sanelly",
Ntando,African music
Mluja,
Synth Peter,"south africa, afrikaans, south african"
Deon Groot,
"Dirk, Bobby",
"NaakMusiQ, Bluelle",
Kwiish SA,"south africa, amapiano"
"DJ Vetkuk, DrumPope, Soul Dictators, Leehleza",
Sbu Noah,
"T.L.T., Kwesta",
Young Vene,
"Ladilla Rusa, Joan Colomo, Los Ganglios, Laura Santos, Lady Gipsy",
WildBoy Cooba,chimbala
Martina D'Antiochia,
Mountain Man,"folk, hardcore, female vocalists, indie folk, hardcore punk, acoustic, indie, american, Lo-Fi, punk"
"Ramriddlz, Jaegen, C. Tangana",
"Kalita del Sur, Moncho Chavea",
Down3r,
Jesper & Emil,
Westannor,
IKO Hockeyboys,
"Hugo Alfvén, Lunds Studentsångare, Mats Paulson",
"Crille, Stiffe",
davey6000,"switzerland, Schweiz"
Cella,"swiss, ambient, electronic, House, switzerland, minimal techno, minimal, Ambient Techno"
"Tuna, Yll Limani",
恰好乐队,
"hohoman16, B-Heart, Aina Abdul, Hazel Leong",
Prism in Basin,
"Kayman, Mira Jasmine",
祈錦鈅,
"8ball, 金魚腦",
((( O ))),"experimental, ambient, drone, rnb, alternative rnb, australian, noise, funk_add_to_lidarr_batch_1, philippines, chillout"
"Andezzz, Nadya Fatira",
Clark Fox,
MC 耀宗,
Edison Chen,"C-pop, Canadian, hip hop, chinese, rnb, Vancouver, Hip-Hop, male vocalists, Asian, Hong Kong"
chillaxe,
歡子,cpop
Kayden,"pop, breaks, Sad rap, breakbeat, alt z"
"Panther, Nakapus",
H 3 F,"soul, rnb, thai pop, thai"
T-BIGGEST,
อ้อนแอ้น,
เต้ย อธิบดินทร์,"thai, thailand, mor lam, luk thung, morlam, Thai Country"
"STAMP-ST, CHALAWAN, ตาเนม",
"Mocca Garden, OG-ANIC",
Mojosung,
Polemick,
Suzan Hacigarip,
Melis Aydın,Turkish Pop
Dilber Ay,"folk pop, pop, turkish, turkey"
"Emrah Demiralp, Yaprak Çamlıca",
İnzar Sur,
Abdullah Çağın,
Toledo Rains,"instrumental, piano, calm"
Diablo 63,
Redd,"turkish rock, rock, turkish, redd, Progressive rock, Turkce Rock, alternative, altenative rock, turkey, Turkce"
"Darshan Raval, Rochak Kohli",
Cochren & Co.,christian
Dayglow,"indie, indie pop, indie rock, alternative, american, psychedelic, jazz, texas, my top songs, austindie"
"Lucho SSJ, Dani Ribba",
"2T, N.Diên, Shenlongz",
Lan Anh,"Classical, female vocalists, soprano"
Groovie Lã Thắng,
Cuebrick,"german, germany, Progressive House"
"Young Mirko, Godo, Kuzz, Nosaint",
"Joker Bra, Samra",
"Balkaton Gang, Rasta, Alen Sakić",
"Brooks, Zoë Moss",
ILIVEHERE.,"electronic, ambient, post-rock"
"Bahadir, Siri-yt",
"Project One, Wildstylez, Headhunterz",
"Jupiter Project, Ryan Enzed",
Mild Minds,"electronic, Lo-Fi, australian, chillout, USA, vocal, downtempo, chill, funk_add_to_lidarr_batch_18"
"Switch, Dillon Chase",
Local Natives,"indie, indie rock, folk, indie pop, freak folk, american, indie folk, rock, alternative, los angeles"
MXMS,"indie, USA, female vocalists, american, electronic, pop, rock, los angeles, indie pop, alternative"
"Pugfish, Katrina Atienza",
"ĆPAJ STAJL, MłodyGad600, Seba, Załaz",
"N.O.R.E., Daddy Yankee, Nina Sky, Gemstar, Big Mato",
"Untzerberg, Levi Jensen",
DJ Busserull,
Lars Drivdal,
Mysfröken,
"Michel Robles, Yahaira Plasencia",
Patrick Romantik,
"El Freaky, Trapical",
Cup of Joe,"philippines, OPM, Filipino, Filipino Music, filipino band, Raphaell Ridao, Baguio, Baguio city, Cup of Joe, CJ Fernandez"
"Kartell'em, O'neen, Waiian, Ne7in",
"Viet Anh Composer, Bằng Kiều",
Marixa Balli,
Ale Oviedo,argentina
"Chillinit, Wombat",
"Chillinit, Huskii",
Snaer.,"beats, instrumental, german, hip hop, trip hop, germany, deutschland, Kiel, Lo-Fi Beat"
Daniela Legarda,
Sophia Messa,"brazil, pop, USA, Russia"
Abii,"alternative rock, electronic, indie rock, rock, lithuanian"
O5 a Radeček,"rock, folk, Czech Republic, pop, cesko, Czechia, jesenik"
Rhiannon Bannenberg,
"Robby East, Foxa",
"Shayfeen, 7liwa",
Khaled,"rai, arabic, algerian, world, World Music, algeria, pop, african, folk, french"
Trave,"Nu-metal, japan, rapcore, alternative, emo"
"Nani, Unge Beirut",
iamnotshane,"pop, USA, Passion of Discovery, american"
Coln,
Jamie Kimmett,
MŁODY DZBAN,"hip hop, rap, polish, Hip-Hop, alternative hip-hop, jazz rap, poland, comedy rap, trap, polish hip-hop"
"PIT, Bryan",
"Przyłu & VBS, Przyłu, VBS",
"Denis, Borys LBD",
Hyper Son,
Yuri NR5,"trap, Portugal"
"Nelassassin, Phoenix Rdc",
Joonas Suokas,
Adelisé,"piano, ambient, Background"
Raincoast,"alternative, indie rock, swiss, switzerland, under 500 listeners, under 100 listeners, basel"
Bonnie Loo,"pop, chinese"
