artist,genre
Vedat Demir,
"Audrey Assad, Urban Doxology",
Jadu Jadu,
"Wolfgang Wee, Markus Neby",
LOST IN LNDN,
Janove,"rock, norwegian, indie, funky, pop, rnb, groovy, kaizers, pop rock, heftige beats"
"SiNoRi, Rikke Normann, Sisi, Nosizwe",
"Sebastian Zalo, Smul",
"African Sunz, Arif",
Stisema,
Audrey Horne,"hard rock, alternative rock, rock, alternative metal, post-grunge, norwegian, Grunge, heavy metal, Progressive rock, metal"
Jimmy Smash,"pop, electropop, indie pop, Norway, norwegian"
"Gundelach, ARY",
Robert Moses & The Harmony Crusaders,
The Good The Bad and The Zugly,"hardcore punk, punk, norwegian, Norway, punk rock, hardcore, rock, spotify, oslo, scandinavian"
Honningbarna,"punk rock, punk, norwegian, rock, noise rock, post-hardcore, Garage Punk, Norway, hardcore punk, synth punk"
"LIMO, Mr. Ellis D",
The Dogs,"Garage Rock, rock, punk rock, indie rock, Hip-Hop, punk, norwegian, miami bass, 77 punk, proto-punk"
Fern.,
Elle Sebastian,
Turncoats,"punk, dream pop, Filipino, british"
"Kayah, Grzegorz Hyzy",
Artur Sikorski,"polskie, polish"
"Sarius, Gibbs, Kartky",
"Chemical Surf, Jake Reese",
"Paloma Faith, John Legend",
Nicholas Chim,"acoustic, folk, melancholy, singapore, lullaby, quiet evening"
Peter Bic Project,"slovakia, pop, slovak, soul, Bratislava, Europe, life, Love, alternative, rnb"
"Capitan Mr Litro, Nota",
"Mireya Bravo, Raoul Vázquez",
"Thalía Garrido, Miriam Rodríguez",
"Nerea Rodríguez, Ana Guerra",
"Agoney, Ricky Merino",
"Sharif, Bombony Montana",
Novato,"rap, reggae, dancehall, hip hop, spanish reggae, ragga, raggamuffin"
Christina Rosenvinge,"spanish, indie, singer-songwriter, female vocalists, pop, rock, spain, 00s, 90s, spanish indie"
Berri Txarrak,"punk rock, hardcore, basque, metal, rock, alternative rock, punk, melodic hardcore, euskara, post-hardcore"
Mafalda,"ska, rock, spain, spanish, reggaecore, hardcore, funk, reggae, experimental, singer-songwriter"
Pablo Paz,
"Maxida Märak, Jill Johnson, Ken Lingad, Bill Miller",
Love Antell,"swedish, indie, Sweden, scandinavian, svensk indie, progg, svensk indiepop"
"Finess, Eye N'I",
Ruby Empress,"swedish, psychedelic, pop, Psychedelic Rock, indie rock, stoner"
"Block 44, Fronda",
Steve Angello,"House, Progressive House, electronic, electro, dance, electro house, techno, tech house, swedish, Steve Angello"
Baba Shrimps,"switzerland, indie rock, rock-indie"
"Higher Brothers, Ski Mask The Slump God",
"唐貓 SUGARCAT, Roxi(Zani)",
รวมศิลปิน G19,
แดน วรเวช,"thai pop, thai, pop, Dan, D2B, dan d2b, tpop"
"Cem Adrian, Birsen Tezer",
"Cem Adrian, Ceylan Ertem",
Cappa,"Drum and bass, electronic, Hip-Hop, punk, british, electro, pop, neurofunk, lesser known yet streamable artists, techstep"
Zeki Eldemir,"arabic, electronic"
LeyeT,"female vocalists, electronic, indie pop, electronica, yandex music, 3-5"
Güney Marlen,turkish
"Cem Adrian, Halil Sezai",
"NLSN, Ilan Green",
Fabiana Palladino,"synthpop, Sophisti-Pop, pop, electronic, synth-pop, english, rnb, female vocalists, british, singer-songwriter"
KAWALA,"folk, indie pop, pop, indie rock, UK, want to see live, pop rock, alternative indie"
BLAISE,"Christian Pop-rock, electronic, rap, trance, House, dance, Hip-Hop, italian, christian rock, UK"
"Pete Tong, The Heritage Orchestra, Jules Buckley, Samm Henshaw",
"Breakage, Newham Generals, David Rodigan","dubstep, reggae, Hip-Hop, london, rnb, House, dance, 00s"
Jammin,"breakbeat, Grime, breaks, UK, british, english, All"
"Ross Young, RB",
Franc Moody,"funk, electronic, Disco, dance, british, upcoming album 2022, spotify, United Kingdom, House, DIsco House"
Nick Lachey,"pop, male vocalists, american, Nick Lachey, male, pop rock, 00s, singer-songwriter, soft rock, guys I would fuck"
Ivy Adara,"pop, female vocalists, australian, indie pop, australia, beauty, yandex music, 4-25"
VHS Collection,"indie pop, synthpop, USA, electronic, american, indie rock, indie, modern rock, 20s, synth pop"
"Louis Futon, Opia",
CyHi The Prynce,"rap, Hip-Hop, Dirty South, good music, CyHi Da Prynce, hip hop, atlanta, bad music, underground rap, underground hip-hop"
Felipe Baldomir,
JEFFE,"electronic, indie pop, female vocalists, 3-5, yandex music"
Spritely,"pop, indie, female vocalists, singer-songwriter"
Yukno,"indie, indie pop, pop, electronic, austrian, synth-pop, electro, styria, steiermark"
Ms Bronx,
Pedro Mendes,rio grande do norte
"Locals Only Sound, Curtis Smith, Gray Hawken",
"La Manta, Amenazzy",
Elise Ryd,Sweden
Octavio Mai,"french, pop, electropop"
"Alejandro Diego, Nolex",
Restless Modern,
Koh Nayoung,
MercyMe,"christian, contemporary christian, christian rock, worship, rock, praise and worship, mercyme, christian contemporary, mercy me, alternative"
Pohon Tua,"acoustic, folk, indonesian, singer-songwriter"
"Boku no Lyric no Boyomi, SOIL & “PIMP” SESSIONS",
"VINAI, 22Bullets, Donna Lugassy",
"Lacrim, Paigey Cakey",
"Imran Ajmain, Najwa Mahiaddin",
"Bienñeros, El Zarauz",
"Hansie, Hef, Kempi",
Keys & Copper,
Dave Budha,"dutch, hiphop, rap"
Skambankt,"hard rock, norwegian, rock, punk, punk rock, norsk, Norway, scandinavian, alternative, sett"
CLAIRE,"synthpop, female vocalists, electronic, indie, japanese, anime, jazz, electropop, german, indie pop"
"Fabri Fibra, Mahmood",
Barbara Wronska,"polish, poland, female vocalists, polskie, ballady i romanse, polish female vocalists, dobry pop"
"Sarius, Gibbs, KPSN",
THE NEVERLY BOYS,"indie rock, USA, dave sitek, gay shit"
"Mother's Daughter, Beck Pete",
"Soltero, Robert Abigail",
Jesswar,"Aussie hip hop, australia, aussie rap, australian hip hop, australian rap"
Cozy Diary 輕日記,
Fatih Erdemci,"turkish, rock, alternative, alternative rock, male vocalists, turkish rock, electrorock, underrated, turkey, 90's"
Kayahan,"Turkish Pop, turkish, kayahan, pop, singer-songwriter, world, guitar virtuoso, All, turkey, Eurovision"
Pal Bailador,
"HTMLflowers, Sui Zhen",
The Dave Brubeck Quartet,"jazz, cool jazz, instrumental, piano, jazz piano, american, saxophone, 50s, West Coast Jazz, dave brubeck"
Cidtronyck,"hip hop, rap, hip hop chileno, chile, RAP CHILENO"
"Cavito Mendoza, Sergio Gonzalez Aristizabal",
Romuald Klemm,
"Hank, Jakub Děkan",
"Poo Bear, Juanes",
Marko Maunuksela,"male vocalists, tango, finnish, Suomi, iskelma, pop, finland, pohjanmaa, Eurovision, male vocalist"
"Steve Angello, Barns Courtney",
Ville Tuomi,"heavy metal, finnish, Raskasta joulua"
HAEBIN,"romantic, Korean"
