artist,genre
Flatsound,"Lo-Fi, ambient, indie, indie folk, bedroom, bedroom pop, folk, acoustic, emo, american"
Merlo,"rap, hip hop, swiss, schwyzerdütsch, züri, swiss hip-hop, Drueklang, Merlo"
DIL34N,
"Juan Marcus & Vinícius, Dilsinho",
"Rian Cult, ABRAM, Heidi Jauregui",
"Santiago Saez, El Purre",
Directed by Kooza,
Seed to Tree,"Luxembourg, folk, indie, pop, indie pop, folk-pop, acoustic, indie folk, luxemburg, luxembourgish"
Mohito,"Russia, pop, russian, electropop"
Devin Townsend,"Progressive metal, Progressive rock, metal, Canadian, Progressive, ambient, experimental, industrial metal, Atmospheric metal, industrial"
Sober,"alternative metal, punk, punk rock, metal, Spanish Metal, alternative rock, rock, spanish, Sweden, Swedish Punk"
"Cee, YEHAIYAHAN",
Kiddtetoon,"rap, chile"
Sitoonce,
Faycal,"Hip-Hop, rap francais, rap, french, underground hip-hop, french hip-hop, french rap, Rap FR, hip hop, france"
Alex Ferrari,"dance, brazil, funk, brasil, music to listen while pederasting, sertanejo"
"Rocko y Blasty, Tres Dedos",
"Salvatore Ganacci, Megatone",
Veikko Ahvenainen,"tango, finnish, polkka, polka, valssi, hanuri"
"Larry Gaaga, WizKid",
"Kongsted, Dominik Klein",
Brother Alfred,finland
Louie Blue,"All, country, blues, string band"
Abbath,"black metal, metal, norwegian, Norwegian Black Metal, Norway, heavy metal, Abbath, melodic black metal, bergen, Black n Roll"
Equilibrium,"folk metal, viking metal, pagan metal, german, metal, epic metal, black metal, Melodic Death Metal, symphonic metal, epic"
Craash,
"Mallorca Allstars, Isi Glück, Ikke Hüftgold, Almklausi, Lorenz Büffel, Carolina, Honk!",
"Scatman John, Lou Bega",
"Dead Dawg, BHZ",
Oran VI,
"Kewtiie, Willistic",
"Pretenders, Bob Clearmountain",
Gerónimo Rauch,"pop, rock, musical, argentina, the phantom of the opera"
Poldoore,"downtempo, trip-hop, lounge, Belgium, beats, beat, dusted wax kingdom, electronic, instrumental hip-hop, electronica"
"Michel Legrand, Natalie Dessay, François Laizeau, Jacques Demy, Patricia Petibon, Pierre Boussaguet",
Andre Keller,"techno, trance, Acid"
Valerie Romanoff,
נדב יעיש,
"Enijs Maiks, Happy Hi",
Sergejs Jegers,"latvian, Classical, countertenor"
"Pascal, Ziko, Bargee",
