artist,genre
"Enrique Iglesias, Descemer Bueno, Gente De Zona",
Sofía Reyes,"pop, Reggaeton, latin, mexico, latin pop, trap, 3, my top songs, deezer, trap latino"
Klasico,
"Cali Y El Dandee, Juan Magán, Sebastian Yatra",
Gilda,"cumbia, latin, argentina, spanish, tropical, female vocalists, 90s, pop, español, argentinian"
"Yandel, Egbert Rosa aka Haze",
Twenty One Pilots,"electronic, alternative, rap, indie pop, indie, alternative rock, pop, Hip-Hop, american, indie rock"
Miranda!,"pop, electropop, argentina, electronic, dance, synthpop, latin, argentinian, glam, alternative"
Justin Bieber,"pop, black metal, rnb, justin bieber, Hip-Hop, r&b, Canadian, male vocalists, female vocalists, Brutal Death Metal"
"Maná, Nicky Jam",
"Chino & Nacho, Daddy Yankee, Don Omar, Wisin",
Kungs,"House, french, dance, electronic, france, deep house, tropical house, tropical, EDM, artistes"
Amar Azul,"Cumbia villera, cumbia, bailanta, grupo la noche, argentinia, argentina, chile, sonidero, amar azul"
"Danny Paz, El Villano",
El Pepo,"Cumbia villera, argentina"
Plan B,"Hip-Hop, british, Grime, rap, hip hop, soul, Reggaeton, pop, UK, UK hip-hop"
"Sak Noel & Salvi, Sean Paul",
Anuel AA,"Reggaeton, trap, rap, latin, Hip-Hop, Latin Trap, puerto rico, trap latino, bellakeo, Latin Urban"
Rodrigo,"Cuarteto, classical guitar, Classical, guitar, argentina, rodrigo, spanish, latin, cumbia, instrumental"
"Pitbull, Sensato, Osmani Garcia ""La Voz""",
"Nevada, Mark Morrison, Fetty Wap",
Banda XXI,"español, argentina, Cuarteto, cordoba, Rio Cuarto"
Reykon,"Reggaeton, latin, Brutal Death Metal, spanish, shit music, All, Colombia, Officially Shit, crimes against humanity, colombian"
Coldplay,"rock, alternative, britpop, alternative rock, indie, british, pop, Coldplay, indie rock, pop rock"
De La Ghetto,"Reggaeton, latin, hip hop, Reggaeton  top-50, De La Ghetto, puerto rico, Hip-Hop, r&b, rnb, male vocalists"
Justin Quiles,"Reggaeton, latin, puerto rico, male vocalists, 10s, Latin Urban, Puerto Rican, USA, dance, sex"
Los Palmeras,"cumbia, argentina, tropical, cumbia argentina, latin, world, World Music, latinoamerican music, cumbia de argentina, latina"
"KAROL G, Ozuna",
Marka Akme,"uruguay, cumbia, jamendo"
Antonio Rios,"cumbia, guitar, shoegaze, latin, Technical Death Metal, argentina"
