artist,genre
"Snelle, Paul de Munnik",
"SRNO, 3robi",
"Stig Brenner, Marcus & Martinus, Larsiveli",
"HAYES, Lovespeake",
Yamila Ruiz,
"Tymek, Magiera",
"Murovei, Tima Belorusskih",
"Armando Manzanero, Lisset",
Laith Kamal,
"Jeannpy ""La Voz Asesina""",
"TheDoDo, Bausa",
"CatchUp, Gedz",
"Rosalie., Chloe Martini",
"163ONMYNECK, OG Buda, THRILL PILL",
163ONMYNECK,"Hip-Hop, rap, trap, russian, detroit"
"163ONMYNECK, MellowBite",
KYIVSTONER,
"pyrokinesis, PLAVNCK",
"163ONMYNECK, WormGanger, АСОЕР",
Horus,"Hip-Hop, russian, rap, hONDURAS, russian rap, symphonic metal, Gothic Metal, russian hip-hop, hiphop, electronic"
"Salah Alzadjali, Aseel Hameem",
Alper Eğri,
"Kahlil4mb, zee!",
"Cali Y El Dandee, Mau y Ricky, Guaynaa",
Thiều Bảo Trâm,"pop, dance, diva, female vocalists, vietnamese, vpop, vietnam, Vietnamese pop, v-pop"
"Pitbull, Farruko, IAmChino, El Alfa, Omar Courtz",
"Markus Krunegård, Klara Söderberg",
"Tanishk Bagchi, Jubin Nautiyal, Asees Kaur",
Power Pat,
"Raisa, YonnyBoii, Matthaios, SPRITE",
"Patrice, Ezhel",
"Carol Biazin, Luísa Sonza",
Prilla Generalen,swedish
"ILLENIUM, Valerie Broussard, Nurko",USA
"MAISONdes, 和ぬか, asmi",
The Partyjocks,
De Alpenzusjes,"dutch, Nederlandstalig, feest, volksmuziek, Limburg, polonaise, de alpenzusjes"
DJ Ötzi,"party, dance, Schlager, pop, dj oetzi, techno, Austria, austrian, otzi, partyschlager"
"Niet Altijd Rozengeur, Veul Gère, Sjpringlaevend, De Deurzakkers, Vieze Jack, Lamme Frans, Ferry Van De Zaande, Niek & Danny",
Rowwen Hèze,"dutch, folk, Limburg, Nederlandstalig, the netherlands, nederlands, americana, dialect, texmex, netherlands"
Terry Douglas Band,country
Los Titanes De Durango,"mexico, BANDA, corrido, All, corridos, norteño, latin, regional mexican, folk, World Music"
"Saad Lamjarred, Calema",
"Supreme Cartel Fye, Michael J Supreme",
"KAIP, Ina",
"Armin van Buuren, Sarah Reeves",
"Serge Ibaka, Tayc",
"Georgio, S.Pri Noir",
"Dj Quick, Leto, Bolémvn",
"Georgio, Kalash Criminel",
"VIZE, ALOTT",
"Koushino, Camaeleon",
"Dokkeytino, Yzomandias",
"Imanbek, Cher Lloyd",
"Pedronumb, Catarina H",
"Veysel, Jamule",
"Miksu / Macloud, Fourty, Bozza",
"FiNCH, Alligatoah",
"Tymek, Ka-Meal, SecretiveSuicide",
"Djonga, Nagalli, Coyote Beatz",
"Djonga, Coyote Beatz","rap, brasil"
"Djonga, MDN Beatz, Thiago Braga",
"Djonga, Coyote Beatz, Thiago Braga, Budah",
"Djonga, Coyote Beatz, Doug Now",
"Zé Felipe, Virginia",
"DMX, Sisqo",
"Mon Laferte, Gloria Trevi",
Midi Blosso,
"Anderson Rodrigues, NATTAN",
"Ivri Lider, Sam Halabi",
"TY1, Paky",
"Caparezza, Matthew Marcantonio",
"Caparezza, Mishel Domenssain",
"TY1, Ketama126",
Dimzy,"rap, hip hop, Hip-Hop, UK, male vocalists, british, drill, 10s, 20s"
"Totally Nothin, Vercetti CG",
"Kim Loaiza, Casper Magico, Lyanno",
"Tommy Cash, BONES",
"Tommy Cash, Eldzhey",
"Tommy Cash, Riff Raff",
"Curly Strings, NOËP",
"Pate Mustajärvi, Nina Tapio",
"Sadek, Heuss L'enfoiré",
"SDM, Fally Ipupa",
"SDM, Bramsito",
"ATC Nico, ATC Taff",
"Fard, Ina",
"Jamoo, Firat",
"Issam Alnajjar, Loud Luxury, Ali Gatie",
"ATC Nico, Trannos",
ATC Nico,rap
"ATC Nico, ATC Coco",
"ATC Nico, ATC Dixblo, Triangle",
"ATC Nico, Koy",
"ATC Nico, ATC Toro",
