artist,genre
"Andy Grammer, LunchMoney Lewis",
"Izabell, Tore Pang",
"tubakiii, Sweet William",
"Feride Hilal Akın, Onur Baytan",
"Two Crooks, Fmg, Caza, Kempi",
SUHO,"k-pop, Korean, Kpop, Hip-Hop, exo, rock, K-hip hop, Ballad, Asian, male vocalists"
Hot Ice,"hard rock, electronic, dance, USA, Disco, US rock, United States"
"Oliver Ingrosso, Adam Avant",
Amanda Fondell,"swedish, pop, indie, female vocalists, acoustic, Sweden, swedish idol, scandinavian, melodifestivalen, swedish female singers"
Demy,"Greek, pop, greece, Eurovision, Eurovision 2017, athens, trip-hop, ESC, electro-pop, Eurovision Song Contest"
"Tim McGraw, Faith Hill","country, tim mcgraw-faith hill, duets, american, modern country, female vocalists, USA, 00s, seenlive, america"
Henry,"k-pop, Korean, pop, Super junior, C-pop, male vocalists, House, male vocalist, henry, trap"
Joe Weller,"british, House, dance, youtube, youtuber"
"ansis, Eliots, DJ Krii",
Sugar Eyes,"thai, dance, thailand, pop, tpop, female vocalists, female vocals, girlband, Asian Pop, t-pop"
PCHY,"Asian, pop, thai pop, thai, Asian Pop, yaoi, bl, 2moons, tailand"
"Millind Gaba, Aparshakti Khurana, King Kaazi",
"Thaitanium, Jessie Vard",
The Others,"dubstep, bass, electronic, dub, Grime, british, indie, indie rock, rock, post-punk"
Lehakat Heyl Ha'avir,
Arkadi Duchin,"israeli, All, hebrew, Israel, electronica, singer-songwriter, Love, love songs, Israeli Rock"
The High Windows,"rock, psychedelic, pop, Israel, 1967"
"Arik Einstein, Shem-Tov Levy Ensemble",
Tegan and Sara,"indie, female vocalists, indie pop, Canadian, alternative, indie rock, pop, rock, singer-songwriter, canada"
Judah Kelly,
"French Montana, Pharrell Williams",
"KAROL G, Kevin Roldan",
"Särre, Karri Koira",
"Moses: ""Andreas""",trollerier
Heartbeat,"pop, j-pop, JPop, Japanese pop, Asian, Asian Pop, japanese female vocalists, best of 2017, 10s, asian female vocalists"
The ManRay,"punk, rock, indie, alternative, J-rock, japan"
"SUHO, Younha",
Nick Murphy,"indie, ambient, electronic, experimental, australian, alternative, soul, 1117, Chet Faker, australia"
Robert Miles,"trance, electronic, ambient, chillout, dance, House, electronica, dream house, dream trance, 90s"
"Taylor Swift, Ed Sheeran","country, pop, female vocalists, singer-songwriter, acoustic, country pop, taylor swift, american, snake, alternative"
"John C, Bhavi, Omar Varela",
"Kary Ng, AF",
"CAZZETTE, Nadia Gattas",
"Steve Aoki, Yellow Claw",
"Kosso, Lijpe",
"Kosso, Kevin",
"Kosso, Lijpe, Kempi",
"Kosso, Josylvio",
"Kosso, Rambo, Mo Temsamani",
"Kosso, Nijo",
"BKO, Shanee, Defano Holwijn",
K.Safo,
Kaveh,"hip hop, rap, Hip-Hop, electronic, Norway, Artists I have seen Live, german hip-hop, German hip hop, norwegian, Deutschrap"
Mahmundi,"indie, brazil, Lo-Fi, alternative, brazilian, mpb, synthpop, pop, female vocalists, electropop"
顏力妃,
