artist,genre
"m-flo, BoA",
"Towkio, Teddy Jackson, Grace Weber",
Ling tosite sigure,"post-hardcore, japanese, math rock, J-rock, rock, emo, japan post-hardcore, shoegaze, alternative, alternative rock"
Bluetriangle,
"Antanas Dvarionas, Daniel Pomerantz Orchestra",
Kopų Balsai,"Retro, pop, estrada"
"Various Artists, MB",
"Far Out, Emilia Ali",
Black Girl / White Girl,"House, electronic, techno, dance, dutch, netherlands, 3, spotify, upcoming album 2022"
"Various Artists, Ilayah",
"Danielius Dolskis, ''Metropolio'' Orkestras, Moishe Hofmekler",
"Gabrielė Vilkickytė, Chris Metric",
Studija,
Jama&W,"funk, rap, lithuanian, Hip-Hop, lithuania"
Back2Basixx,
Suu,"catalan, pop, japanese, singer-songwriter, spain, female vocalists, spanish, catalan pop, vocaloid, catala"
Gonza-Ra,"Sweden, swedish, Hip-Hop, rap, random bastards, dirty north, scandinavian, swedish hip-hop, Umea, norrland"
"Nina Persson, !Regeringen, Medborgarbandet, Selma Modéer Wiking, Thomas Öberg, Moto Boy",
Ralphy Dreamz,"latin, USA, bachata, latin pop, merengue, Ralphy Dreamz, romeo santos, Bachata Lovers"
"NINO, Maiyarap, YOUNGOHM, FIIXD, Ben Bizzy, Gavin D, Sonofo",
Grup Volkan,"folk, turkish, turkish folk, turku, politika, ulkucu"
B£NZA,
Kadhja Bonet,"soul, jazz, rnb, psychedelic, los angeles, female vocalists, Alternative Folk, Playful, folk, nu jazz"
Cálculo,"rap, hip hop, Portugal, portuguese, portuguese hip hop, hip hop tuga"
Nathan Hartono,
"DePedro, San Pascualito Rey",
"Ximena Sariñana, Jay de la Cueva",
David Hidalgo,"under 2000 listeners, 80s, latin, 70s, singer-songwriters, USA, blues rock, 90s, mexico, spanish"
Juan Perro,"rock, Latin Rock, spanish, singer-songwriter, latin, Spanish Rock, spain, 00s, 90s, male vocalists"
C.V. Jong Telènt,"karneval, NL, ilg"
"Max Verstand, De Speld",
"Kess Ross, John Gibbons",
Belle and The Beats,"female vocalist, rock, pop, synthpop, 4, pop noir, female vocalists, yandex music"
C.V. Lustum,"NL, karneval, ilg"
"Dyro, HAILZ",
Attenooije!,
La Muziek,
"Slimm, Ballantine, Crayflax",
"Bamo, Raynor Bruges",
Holiday Sidewinder,"pop, synthpop, australia, electronic, dance-pop, yacht rock, pop rock, female vocalists, psychedelic pop, dub"
"SWIDT, HIGH HØØPS",
"SWIDT, Diggy Dupé, MELODOWNZ, JessB, Rizván",
"SWIDT, TeeFLii",
"Primacy x Emsky, Taylor Mosley",
Autolaser,"future bass, dubstep, glitch, chillwave, House, electronic, Norway, synth, instrumental, party"
Strange Animal,
Christiane,"pop, alternative pop, dream pop, Norge, chilean pop"
"Edeema, Teigen",
Myra,"metalcore, hardcore, german, metal, pop, Vegan, female vocalists, German Metalcore, indie, urbain"
Joddski,"norwegian, Hip-Hop, Rapper, vegetarian, north-norwegian, Chief Guttiwolf, Nord-Norsk Rap"
Angelo Reira,"Norway, rap, norwegian"
Selmer,
Ungdomskulen,"norwegian, indie rock, scandinavian, indie, Progressive rock, alternative, rock, bergen, Psychedelic Rock, new wave"
"Pash, Jhon el Divertido",
Maris Racal,"rutracker, upcoming album 2022, pop, OPM, acoustic, female vocalists, Filipino, collection, 4, philippines"
VINCINT,"rnb, pop, american, electropop, USA, queer, soulful, most talented artists active in 2018, male soul vocalists"
Spielbergs,"indie rock, alternative rock, indie, alternative, emo, norwegian, punk, post-punk, Norway, power pop"
Sol Heilo,"female vocalists, indie, folk, pop, under 2000 listeners, singer-songwriter, alternative, Norway, indie pop, 10s"
Amén,"Peru, hard rock, rock peruano, rock, blues rock, speed metal, thrash metal, Espanol, Latin Rock, male vocalists"
Stevie Hoang,"rnb, male vocalists, r&b, stevie hoang, rhythm and blues, soul, cute, male vocalist, british, dance"
Andrzej Piaseczny,"pop, polish, male vocalists, romantic, polskie, soft rock, pop rock, Andrzej Piaseczny, poland, Eurovision"
JON VINYL,"soul, rnb, male vocalists, canada, funk_add_to_lidarr_batch_14"
"Syzz, Rave Republic",
Gummy,"k-pop, Korean, rnb, yg family, female vocalists, Kpop, pop, Asian, Ballad, gummy"
"Michal Urbaniak Urbanator Days, O.S.T.R., Michael 'Patches' Stewart, Marek Pędziwiatr, Zbigniew Chojnacki",
"Ronnie Ferrari, Locke, Haji",
Jakub Krystyan,"rock, alternative, polish, tunnels, tunele, piotr krasko w swojej mazurskiej posiadlosci"
"Pixote, Jerry Smith",
Twin Melody,"spanish, spain, Benidorm Fest 2023"
Lyz Damon,
"Hidra, A-pooh, FerzanBeats",
Never Not Nothing,UK
"Marc E. Bassy, Kehlani",
"BRIAN SHINSEKAI, Yutaka Furukawa",
"Lérica, Abraham Mateo",
"Marina Caró, Sak Luke",
"Erk, Academics",
Jay Smith,"rock, swedish, Grunge, pop, male vocalists, modern rock, alternative rock, Post Grunge, swedish male singers, Sweden"
Melodifestivalen 2018,
