artist,genre
"Roll Deep, Jodie Connor",
"6ix9ine, Bobby Shmurda",
"Charli XCX, Troye Sivan",
"Bonez MC, RAF Camora, Kontra K",
"Bonez MC, RAF Camora, Trettmann, KitschKrieg",
"Bonez MC, LX, Maxwell, Sa4",
"Eno, XATAR",
"Bonez MC, Javada",
"Bonez MC, RAF Camora, Sa4",
"Jonas Blue, Liam Payne, Lennon Stella",
"Brytiago, Darell, Arevi",
"Luis Fonsi, Ozuna",
"XXXTENTACION, Lil Pump",
"Brytiago, Daddy Yankee, Ozuna, Darell, Anuel AA",
"Lalo Ebratt, J Balvin, Trapical",
"Eladio Carrion, Bhavi",
"MYA, Leslie Grace",
"Kevin Roldan, Rauw Alejandro, KHEA",
"Marcianos Crew, Homer El Mero Mero, Duki",
"C. Tangana, Becky G",
"Future, Juice WRLD",
Bradley Cooper,"actor, rock, folk, country, USA, Soundtrack, pop, american, folk rock, singer"
KitschKrieg,"Hip-Hop, reggae, german, germany, dancehall, hip hop, male vocalists, deutschland, beatmakers, 20s"
"Nimo, Capo",
"Mert, Dopebwoy",
"Tourist LeMC, Raymond Van Het Groenewoud",
"Frenna, Boef, DJ Madam Julie, Kaeh",
"Bizzey, Frenna, KM, Ramiks",
Normani,"rnb, pop, soul, Fifth Harmony, normani, female vocalists, USA, Queen, american, my top songs"
"CNCO, Prince Royce",
"Sky Rompiendo, Sebastian Yatra, Zion & Lennox",
"Márcia Fellipe, Jerry Smith","Funk Carioca, brazil, Sertanejo Universitario, funknejo, Brega Funk"
"MC Kekel, Dani Russo, DJ RD",
"Greeicy, Anitta",
"Alok, Yves V",
"Enzo Rabelo, Zé Felipe",
"Mc Th, MC Menininho, DJ Victor Falcão",
Gabriel Diniz,"brazil, nordeste, forro eletronico, Forro, sertanejo, True Norwegian Black Metal, acoustic, forro estilizado, forro ostentacao"
"Alok, Zeeba, Bruno Martini, Marcos Zeeba",
Ray Parker Jr.,"80s, pop, Soundtrack, american, ghostbusters, funk, soul, male vocalists, rnb, Disco"
Takeoff,"migos, rap, Hip-Hop, trap, USA, atlanta, american, Quality Control, United States, qc"
"Bobby ""Boris"" Pickett, The Crypt-Kickers",
Mozart La Para,"dominican republic, latin, hiphop dominicano"
"Plan B, Natti Natasha, Daddy Yankee, R.K.M & Ken-Y, Arcangel",
"El Alfa, Anuel AA",
"Farruko, Daddy Yankee, Akon, Sean Paul",
"Legarda, Luisa Fernada W, Itzza Primera",
Dancehall Word,
"Lvcas Dope, DJ Wich, Kali, Rytmus, Ego",
"Lvcas Dope, DJ Wich, Čis T",
"Lvcas Dope, DJ Wich",
"Lvcas Dope, DJ Wich, Separ",
"Lvcas Dope, DJ Wich, Paulie Garand",
"Tove Lo, Major Lazer",
"Lvcas Dope, DJ Wich, P.A.T.",
"Kygo, Selena Gomez",
"Burhan G, Frida Brygmann",
"Bro, BasedBoys",
Boris Laursen,
"Milo K, Poeta Callejero, Ricko, Miguel Duarte",
"Vicente Garcia, Juan Luis Guerra 4.40",
"Mozart La Para, El Alfa, Shelow Shaq",
"Gasellit, Anna Puu",
"Gasellit, Paperi T",
"Pyhimys, Evelina",
"Pyhimys, Ellinoora",
"Gasellit, Yeboyah",
"Janieck, BUNT.",
"Gasellit, Kasmir",
"Pyhimys, Pepe Willberg",
"Doks, 4Keus Gang",
"Dadju, Sofiane",
"Heuss L'enfoiré, Vald",
"Remoe, Nura",
"MoTrip, Ali As",
Reda Rwena,
"Gringo, Sa4, Brudi030",
"Menor Menor, Farruko",
"Supper Moment, Survive Said The Prophet",
"Josylvio, Appa, Momi",
"Nicky Jam, Steve Aoki",
KAZKA,"Ukrainian, pop, indie pop, Ukraine, electronic, dance pop, indie, fat, on repeat, Experimental pop"
"Pressa, Lil Uzi Vert, Murda Beatz",
"Caracol Televisión, Manuel Turizo",
"Residente, Nach",
Maikel Delacalle,"spanish, latin, Hip-Hop, spain, trap latino, Latin Urban, Reggaeton"
"Phlake, Mercedes",
ZUZ,"jazz, french, female vocalists, chanson, French jazz, soul, vocal jazz, pop, chanson francaise, france"
Damián V,
Shunji Itani,
Sirvan Khosravi,"pop, Persian, Iranian, trance, persian pop, Pop-Rock, male vocalists, iran, All, pop rock"
"黒相茉里, Olivier Decrouille",
Thee JAE,
"Buunkin, Matstubs",
Kiian,
Luca Natale,
Zoee8,
Nova,"Progressive rock, rock, italian progressive rock, black metal, Gothic, progressive trance, Jazz Rock, alternative rock, italian, jazz fusion"
OG,"electronic, downtempo, trance, electronica, downbeat, russian rap, breakbeat, brazilian rapper from panama"
diGi,"House, electronic, new wave, Post punk, tribal, bass, Bosnian, footwork"
Thiago Carvalho,
"Freddy, JKhalifa, Collins Isco",
井谷俊二,
D.Alexander,
Luis Anguel R,
Alejandro King,
Ear Cancer,
"Drew. H, Millez313, YNG",
Sharon West,"instrumental, ambient, new age, relaxing, soothing, New Discoveries, healing"
Sir Alixandir,
"Bubbi Morthens, Katrín Halldóra Sigurðardóttir",
Valdimar,"icelandic, alternative rock, All, alternative, chillwave, under 2000 listeners, pop rock, soft rock, indie, indie pop"
Fluteybeats,
Ahmad Shamali,
"Gian u Gian, Ahmed Shamali, Ahmad Shamali",
"Helmgrn Langar Langar, Ahmed Shamali, Ahmad Shamali",
"Ey Lawa Gulakem, Ahmed Shamali, Ahmad Shamali",
دحوم الطلاسي,
"Separ, Kali, Dame",
Rabbani,"All, malaysian, nasheed, islamic, spotify"
Warner Music Malaysia All Star,
"Fattah Amin, Fazura",
"Jalil River, Airinna Namara",
Uji Rashid,"Mondiovision, radio malaysia, malaysia, lesser known yet streamable artists, various artists are a PITA on lastfm, beat girl, melayu"
"Trio Manja, Halil Chik",
Dato' Sheila Majid,malaysian
Chubb-E,
"B-Heart, Firwan Johan",
Aisha Retno,"malaysian, pop, malay, malaysia"
Khodi,"indie, rnb, malaysian"
Qiff,
"Baby Shima, Floor 88",
Jalil Hamid,"comedy, malaysian"
No.1,"Turkish Rap, hip hop, turkey, no1, under 2000 listeners, turkiye"
Sweet Female Attitude,"UK Garage, garage, dance, british, 2-step, 2step, female vocalists, soul, contemporary rnb, dance-pop"
"MC Stojan, Hurricane",
"Micro TDH, Rels B, Lenny Tavárez",
"Bilal Hancı, Özgün Uğur",
"Daddy Yankee, Anuel AA",
"Becky G, Prince Royce, DJ Luian, Mambo Kingz, Anuel AA",
"C.R.O, Duki",
"Brytiago, Darell, Barloe Team",
"TINI, Cali Y El Dandee",
"Ozuna, Lunay, Rauw Alejandro, Lyanno",
"Jennifer Lopez, Bad Bunny",
"KHEA, Yung Pinch",
"Lucho SSJ, Pablo Chill-E, Dani Ribba",
"6ix9ine, Nicki Minaj, Kanye West",
"6ix9ine, Lil Baby",
Band Aid,"pop, christmas, 80s, rock, british, charity, irish, xmas, Supergroup, band aid"
Frank Sinatra,"jazz, swing, oldies, vocal jazz, easy listening, american, male vocalists, frank sinatra, 50s, Big Band"
"NOTD, Felix Jaehn, Captain Cuts, Georgia Ku",
Bobby Helms,"country, christmas, rockabilly, oldies, male vocalists, 50s, american, Indiana, Rock and Roll, Bobby Helms"
"John Lennon, The Harlem Community Choir, The Plastic Ono Band, Yoko Ono",
Brenda Lee,"oldies, 60s, country, female vocalists, rockabilly, pop, Brenda Lee, american, Rock and Roll, 50s"
"Bing Crosby, Ken Darby Singers, John Scott Trotter & His Orchestra",
Burl Ives,"folk, oldies, christmas, male vocalists, golden oldies, burl ives, 50s, country, USA, american"
"Hayden James, Running Touch",
"Ariana Grande, Liz Gillies",happy new year
Tony Bennett,"jazz, swing, oldies, male vocalists, easy listening, vocal jazz, american, tony bennett, 50s, Traditional Pop"
"6ix9ine, A Boogie Wit da Hoodie",
Nat King Cole,"jazz, swing, blues, oldies, jazz vocal, vocal jazz, male vocalists, nat king cole, american, 50s"
"6ix9ine, Kanye West",
