artist,genre
"Bilal Sonses, Yıldız Tilbe",
"Zeynep Bastık, Emir Can İğrek",
"cakal, Reckol, Furkan Karakılıç, Yung Ouzo, TEMPZ72, J2LASTEU",
emir taha,"pop, hip hop, turkey, turkish, rnb, Hip-Hop, rhythmic, Turk, r and b, r n b"
Kurtuluş Kuş,
"BEGE, emir taha",
"Critical, UZI",
"Ati242, Sagopa Kajmer",
Galibri & Mavik,russian
KALUSH,"Ukrainian, rap, Hip-Hop, Ukraine, Eurovision, hip hop, pop, eurovision 2022, trash metal, ethnic"
Wellboy,"pop, Ukrainian, syla sela, crooning, my top songs, Subtone singing, Aspiration"
"shadowraze, GENJUTSU",
Vladimir Dantes,"pop, Ukrainian, russian language"
"semmmyq, shinra",
Scally Milano,"Hip-Hop, govno, pop, rock, heavy metal, hard rock, rap, Russian Pop, Russia, russian"
Artem Pivovarov,"Ukraine, Ukrainian, pop, folk, ukrainian pop, Russian Pop, folk pop, russian language"
RØNIN,"Hip-Hop, rap, emo, USA, emo rap"
blago white,"trap, rap, russian rap, russian, huinya, Weired, hardcorewrapped"
Bad Boy Chiller Crew,"bassline, House, UK Garage, rap, Grime, electronic, UK, british, EDM, seen life"
Central Cee,"rap, drill, Hip-Hop, hip hop, UK Drill, UK rap, Grime, UK hip-hop, UK, Hammersmith and Fulham"
"Krept & Konan, S1lva, M1llionz",
"Fat Joe, DJ Khaled, Amorphous",
SR,"rap, Hip-Hop, UK Drill, drill, jazz, japanese, hip hop, rnb, japan, UK"
Pooh Shiesty,"trap, rap, Hip-Hop, hip hop, Gangsta Rap, memphis, southern rap, Tennessee, United States, Southern Hip Hop"
"Blueface, Og Bobby Billions",
Yot Club,"Lo-Fi, indie, dream pop, bedroom pop, indie pop, indie rock, shoegaze, american, alternative rock, rock"
Cico P,"rap, USA, american"
"The La Planta, Pushi",
"#TocoParaVos, El Reja, Marka Akme",
"Jotape, Pekeño 77, The La Planta, Ronel Beats",
"Migrantes, Oscu, Rombai, Agapornis, Alico, Nico Valdi",
"El Reja, Agustín Casanova, The La Planta",
"No Te Va Gustar, Nicki Nicole",
"Jupa Necasek, Koatz DJ, Seba Roibal",
Nobeat,"dubstep, electro"
"Migrantes, MYA, Nico Valdi",
"Dame 5, The La Planta",
Wren Evans,"vietnamese, male vocalists, pop, rnb, vietnam, vpop, v-pop"
"JSOL, Hoàng Duyên",
"Orange, Hoang Dung",
"Đen, MTV band",
"Hứa Kim Tuyền, Hoàng Duyên",
buitruonglinh,"vietnam, rap, vietnamese"
"Chillies, Suni Hạ Linh, Rhymastic",
Phí Phương Anh,
"Emcee L (Da LAB), Badbies",
"Da LAB, Miu Lê",
"W/N, Duong, Nâu",
"Juky San, REDT",
"Đen, JustaTee",
"nân, Ngơ",
"Lemese, Changg",
Tlinh,"rnb, rap, Hip-Hop, vietnam, v-pop, vietnamese"
"AMEE, Hoang Dung",
hooligan.,
Huyền Tâm Môn,
"Hiền Hồ, Vuong Anh Tu",
"Tlinh, Trung Trần",
"Phuong Ly, TINLE",
"Ricky Star, Lăng LD, AMEE",
"Tăng Phúc, Truong Thao Nhi",
"Hoàng Yến Chibi, Tlinh, TDK",
"B Ray, Han Sara, Masew",
"Cukak, buitruonglinh",
"Bich Phuong, 1989s Entertainment",
salem ilese,"pop, indie pop, female vocalists, yandex music, singer-songwriter, upcoming album 2022, american, los angeles, kids, christmas"
hnhngan,indie
"Binz, Đen",
"Lyly, HIEUTHUHAI",
Changg,
"W/N, Duongg",
"Changg, Minh Huy",
"HIEUTHUHAI, Harmonie",
Jack - J97,"jack, J97, jackj97, vietnamese"
Táo,"rap, underground"
RAP VIỆT,
"AMEE, Karik",
"Phuc Du, 1989s Entertainment",
"14 Casper, Bon",
"Đen, Thành Đồng",
"MANBO, HIEUTHUHAI, HURRYKNG",
"TaynguyenSound, Tofu, PC, Dick",
"Soobin Hoang Son, Binz",
"FMK, Tiago PZK",
"Eich, Marlku",
"Lola Indigo, TINI, Belinda",
"J Balvin, Skrillex",Colombia
Jana Garcia,
"Tito Nieves, Daniela Darcourt",
"Alessandra De Rossi, Paolo Contis",
"Twenty-Nine Eleven, 6cyclemind",
"Taco Hemingway, Zeppy Zep, Keeko",
"Oki, Gedz, Magiera",
Męskie Granie Orkiestra 2020,"alternative, rock, polish, poland, piotr krasko w swojej mazurskiej posiadlosci"
"White 2115, Deemz",
"Białas, Lanek, Pezet",
"Kizo, Young Igi",
"Deemz, Beteo, Kizo, Kabe",
"Paluch, Worek, Moody Scrag",
"Tymek, Favst",
"Tymek, Holak, Favst",
"Szczyl, Agatka Mierzwa",
"Qry, ZetHa, Szpaku, Czarny HIFI",
"David Carreira, MC Kevinho",
Mizzy Miles,"Portugal, portuguese, hip-hop tuga"
"Rui Orlando, Matias Damásio",
"Jador, Emilia, Dodo, Jay Maly, Costi",
"Lidia Buble, Jay Maly, Costi",
"What's Up, Jador",
"Nane, Amuly, Ian",
"Mario Fresh, Andra",
