artist,genre
"Moksi, Chace, Yade Lauren",
Sara Bareilles,"female vocalists, pop, singer-songwriter, piano, acoustic, american, folk, indie, sara bareilles, pop rock"
"R3HAB, Rynn",
"LMFAO, Lauren Bennett, GoonRock","electronic, pop, dance"
"Nana Fofie, He3b",
Munimuni,"angura kei, visual kei, new wave, post-punk, japanese, J-rock, rock, Gothic, jrock, indie folk"
Texxcoco,"power pop, punk, indie rock, indie, garage, female vocal"
Neuman,"post-rock, indie rock, spanish, shoegaze, murcia, indie, folk, spotify, 2017-09-09, Directo"
Ane Brun,"singer-songwriter, female vocalists, norwegian, acoustic, indie, folk, scandinavian, Norway, swedish, female vocalist"
Petrus,"swedish, Love, rap, hip hop, dance"
Mutmee,
Ash,"britpop, rock, indie, alternative rock, alternative, indie rock, british, irish, pop punk, 90s"
Sıfır Km,"Progressive rock, turkish, rock, Progressive metal, Hard-Rock, funk, instrumental, Progressive, post-rock, my music"
Lecrae,"Christian Rap, Hip-Hop, christian, rap, Holy Hip-Hop, christian hip-hop, hip hop, Lecrae, gospel, southern rap"
Sublime,"ska, reggae, punk, alternative, rock, ska punk, alternative rock, punk rock, dub, 90s"
"Kygo, Andrew Jackson",
Daniel Ahearn,"singer-songwriter, indie, indie pop, folk, USA, Singer/Songwriter, american, male vocalists"
Hüsker Dü,"punk, post-punk, hardcore punk, hardcore, alternative, alternative rock, post-hardcore, punk rock, 80s, rock"
"KVSH, Beowülf",
The Pack a.d.,"Garage Rock, blues rock, Canadian, rock, blues, female vocalists, indie, indie rock, Vancouver, punk blues"
"Daniel Munoz, Los Marujos",
"Duo Leal-Del Campo, Duo Maria-Ines, Los Hermanos Lagos",
FRIGG,"folk, finnish, norwegian, world, Scandinavian folk, female vocalists, instrumental, patriotic ballads, asciiecho, 11"
Hnos Yaipen,"Peru, latin, Espanol, cumbia"
Wac Toja,"rap, Hip-Hop, poland, polish, polskie, polski rap, popkiller, czlowiek banger, piotr krasko w swojej mazurskiej posiadlosci, czlowiek refren"
"ANDREZO, Gson",
Kikki Danielsson,"swedish, Schlager, Sweden, Eurovision, dansband, pop, scandinavian, melodifestivalen, nordic, Eurovision Song Contest"
"Claptone, Ben Duffy",
The Dumplings,"polish, electronic, indie, alternative, electropop, female vocalist, indie pop, All, poland, synthpop"
Tiago Bettencourt,"portuguese, alternative, singer-songwriter, piano, Portugal, alternative rock, pop, composers, male vocalists, 0exec"
Shio,"wave, taiwan, taiwanese, new retrowave"
"The Gregory Brothers, Takeo Ischi",
思衛,
Rouge,"pop, brazilian, female vocalists, rnb, dance, girlband, Girl Groups, Rouge, camila, rapcore"
"Allame, Defkhan",
Wilkinson,"Drum and bass, liquid funk, neurofunk, dnb, Drum n Bass, electronic, british, drum n' bass, dubstep, UK"
"Lady Gaga, Beyoncé",
"Lady Gaga, Colby O'Donis","pop, dance, electronic, female vocalists, female vocalist, Lady Gaga, electropop, american, singer-songwriter, sexy"
Ozark Henry,"alternative, singer-songwriter, belgian, rock, Belgium, pop, indie, alternative rock, 00s, indie pop"
Christian Hudson,
Rocko y Blasty,ecuador
Jóhann Jóhannsson,"ambient, contemporary classical, icelandic, electronic, modern classical, experimental, neoclassical, post-classical, neo-classical, minimalism"
The Mayries,"folk, covers, singer-songwriter, acoustic, female vocalists, duo, Sweden, indie acoustic, Sverige, funk_add_to_lidarr_batch_27"
Louis The Child,"electronic, future bass, nu disco, french touch, nu-disco, electro house, All, chicago, american, bass"
"Yes-R, Anu-D",
Anthem Lights,"pop rock, christian rock, pop, christian, rock, male vocalists, gospel, worship, cover, christian pop"
Blaenavon,"indie rock, indie, england, rock, british, indie pop, folk-rock, discover, britain, United Kingdom"
FAKY,"j-pop, japanese, pop, Girl Groups, girl group, JPop, female vocalists, girlband, Japanese pop, dance"
"Anestesia, Gera MX, Adán Golden Ganga",
Sef,"nederhop, dutch, hiphop, All, Hip-Hop, the netherlands, slbmg, discohop, biets, funk_add_to_lidarr_batch_24"
Dj Johan,"electro, dance, dj, club, belgian"
"Arigato, Hato!",popscene manila
"Damien N-Drix, STV",
Beowülf,"crossover, thrash metal, crossover thrash, hardcore, hardcore punk, punk, skate punk, american, skate rock, 80s"
"Dara Rolins, Rytmus",
文雀,"post-rock, instrumental, chinese, math rock, c-rock, rock, China, chinese indie, chink, bejing"
ลำไย ไหทองคำ,"luk thung, country, pop, thai, Thai Country, thailand, thai pop"
"Dave East, French Montana",
Michael Sembello,"80s, pop, new wave, Soundtrack, rock, synthpop, american, male vocalists, USA, dance"
"Saak, Jorge Blanco",
King Garbage,"experimental, electronic, trip-hop, soul, r'n'b, North Carolina, USA, funk_add_to_lidarr_batch_15, future boogie"
Headless Chickens,"New Zealand, alternative, indie, electronic, post-punk, liszaj radio, Kiwi, rock, noise rock, ambient"
ARME,"live, bass, uk funky"
Regurgitator,"alternative, australian, rock, electronic, alternative rock, Aussie, indie, Hip-Hop, hip hop, punk rock"
Banfi,"indie pop, indie, United Kingdom, Great Britain"
"Culcha Candela, ela.",
"Steven Wilson, Ninet Tayeb","UK, Israel"
Clara Lima,"Hip-Hop, rap, Bh"
Capitão Fake,
Friend Within,"House, tech house, nu-disco, electronic, deep house, downtempo, idm, UK, minimal, trip-hop"
Vojtaano,"Czech, Punkfolk, Rappunk, czech gangstafolk rappunk punkfolk, gangstafolk"
"Dennis Fernando, Robert Taylor",
Los Intrepidos,
Leprous,"Progressive metal, Avant-garde Metal, Avant-Garde, extreme progressive metal, Progressive rock, norwegian, progressive death metal, metal, experimental, Progressive"
"UNKLE, YSÉE, ESKA, Elliott Power, Keaton Henson, Liela Moss, Miink, Dhani Harrison, Steven Young",
Prima,"vocaloid, j-pop, chillhop, USA"
Nicø Saphores,
S-TOOL,"heavy metal, groove metal, finnish metal, finnish, lord of hangover - The Ville"
"USKY, Lord Esperanza, Ollow",
Lindsey Stirling,"violin, instrumental, electronic, Classical, Electric Strings, dubstep, classical crossover, neo-classical, alternative, electronica"
Swara Langit,
