artist,genre
Neil Young,"classic rock, singer-songwriter, folk, rock, folk rock, Canadian, country rock, hard rock, country, 70s"
The Proclaimers,"Scottish, rock, folk, pop, 80s, folk rock, british, scotland, male vocalists, pop rock"
Noh Salleh,"soul, pop, malaysian, malaysia, jazz, indie, alternative, All, chillout, malay"
BrunOG,"mexican, mexico"
"Primera Generación, Victor Garcia, Myriam, Raul Sandoval, Toñita, Miguel Ángel, María Inés, José Antonio de la O, Estrella, Héctor Zamorano, Laura Caro, Alejandro Daniel, Wendolee",
Heffron Drive,"pop, indie, electronic, rock, alternative pop, dance, Love, <3, electro, pop rock"
Cuco,"dream pop, experimental, indie pop, indie, rnb, bedroom pop, post-rock, los angeles, chillwave, american"
"DTim, Delly Kavalli, Juandisi",
Bravo,"argentina, Russia, Rock Argentino, Rock Nacional Argentino, hardcore, rock, hard rock, Hip-Hop, russian, spain"
"STUK, Noise Cartel",
John De Bever,"Schlager, dutch, shownieuws, expeditie robinson 2021"
"Jonathan Roy, Deepend",
"Veras, Mick Spek, Joost",
Nijo,vocaloid
STUK,"rapcore, Nu Metal, crossover, Nu-metal, hardcore, korn style, rap metal"
Sjamsoedin,"modular synthesizer, electronic"
"Wolfgang, Howard D, Soufiane Eddyani, Lijpe, Ismo, MocroManiac, Memphis",
Amastro,
Human Movement,"trance, chillout, House, ambient, electro, vocal trance, electronic, UK Garage, breakbeat"
PLGRMS,"electronic, alternative, australian, australia"
Le Youth,"House, electronic, electronica, dance, nu-disco, american, All, nu disco, deep house, California"
Swick,"House, techno, electro, wonky, trap, bass, electronic, australian, future bass, bass music"
Tired Lion,"indie, Grunge, rock, alternative, australia, indie rock, alternative rock, female vocalists, good, female vocalist"
alayna,"rnb, soul, female vocalists, pop, USA, New Zealand, instrumental"
9 grader nord,"Norway, sri lankan, Norse, sri lanka"
Kari Bremnes,"norwegian, singer-songwriter, jazz, female vocalists, folk, scandinavian, Norway, scandinavian girls: jazz, world, pop"
Mr. Pimp-Lotion,"hiphop, rap, Norway, norwegian"
"Daniel Kvammen, Lars Vaular",
"FpU, Bianca",
Softcore untd.,"hip hop, pop, electronic, House, trap, norwegian, rap"
"Disco Killerz, Alida",
Gabriel O Pensador,"rap, Hip-Hop, brazilian, political, brasil, brazil, hip hop, mpb, rock, male vocalists"
"DJ JMP, Chano",
The Ransom Collective,"OPM, rock, indie, folk, indie pop, twee, indie folk, pinoy, philippines, Filipino"
Kithara,
"Alfred Sim, Tay Kewei",
"Christopher, Kelly Pan",
"Desmond Ng, Feng Ze",
Pipo Romero,
Rathero,USA
Sofia Ellar,"folk, female vocalist, spain, female, latin pop, spanish pop"
"DNCE, Luis Fonsi, Nicki Minaj",
The Districts,"indie rock, rock, folk, soul, american, jazz, Pennsylvania, USA, United States, alternative"
J Balvinn,
Madi Banja,"Hip-Hop, swedish, gambia, soul, rnb, hiphop, pop rap, gambian"
Maysa Chouba,
Dani M,"swedish, rap, hip hop, reggae, All, Hip-Hop, hiphop, swedish rap, swedish hip-hop, dancehall"
Matilda Gratte,swedish
Casper The Ghost,indie
"Anna Veé, Addictive Pandas",
TOFFE,Synthpop Swedish
"Rasmus Gozzi, Sean Kingston, Lazee",
"The Dark Element, Anette Olzon, Jani Liimatainen",
Dino Mansik,"electronic, electropop, finland, finnish, dreampop"
View,"dream pop, ethereal, indie, heavenly voices, indie pop, ambient, instrumental, indie rock, shoegaze, new age"
Nuppu,
Wolfheart,"Melodic Death Metal, doom metal, finnish, death metal, black metal, metal, finland, finnish metal, heavy metal, Death Doom Metal"
Erakossa,"rock, pop, rap rock, Hip-Hop, punk, rap, hip hop, finnish, pop rock, finland"
Jonna Geagea,"finnish, pop, female vocalists, finland, I like, Pop-Rock, nordic, SuomiPop, from: finland, pop rock"
NONONO,"indie pop, electronic, swedish, indie, pop, alternative, female vocalists, electropop, Sweden, electronica"
AOM,"funk, pop, parody, experimental, Eminem, brazilian, political rap, mashup, Kanye West, abstract hip hop"
WÖYH!,"Progressive rock, alternative rock, finnish, Avant-Garde, art rock, alternative, rock, under 2000 listeners, dada rock, avant-garde rock"
Iida Niini,finland
Ällä,"Hip-Hop, rap, Suomirap, finland"
Paradise Lost,"doom metal, Paradise Lost, death metal, metal, Gothic, Death Doom Metal, british, Gothic Rock, Gothic Doom Metal, heavy metal"
Jori Hulkkonen,"House, electronic, techno, finnish, electronica, deep house, electro, european, tech house, synth-pop"
Marvin Dupré,"french, francophone"
Brigitte,"french, female vocalists, Chanson Française, france, pop, folk, hip hop, chanson francaise, indie pop, Français"
"Paul Kabesa, Jaymax",
Étienne Daho,"french, pop, chanson francaise, 80s, france, chanson, singer-songwriter, new wave, french pop, male vocalists"
Asaf Avidan,"folk, israeli, singer-songwriter, folk-rock, rock, indie, folk rock, Israel, male vocalists, pop"
Shelmi,"indie, french pop, under 2000 listeners"
Lorenzo Doryon,
Matt Sommers,
Florent Pagny,"chanson francaise, french, pop, rock, francais, chanson, france, french pop, Français, male vocalists"
Kaya Laß,
Maxiz,
HRDY,contemporary classical
Polarlicht,"Rhythmic Noise, industrial, electronic, noise, idm, power noise, ambient, experimental, radioactivity, germany"
Lavid,All
Headhunterz,"hardstyle, Hardbass, melodic hardstyle, trance, qlimax, electronic, dutch, techno, hardcore, Headhunterz"
FACE,"Hip-Hop, rap, Rave, Industrial Techno, fast techno, hard techno, groovy techno, hardgroove, govno, trap"
Baxter Dury,"indie rock, singer-songwriter, indie, dream pop, alternative, indie pop, rock, pop, Mellow, synthpop"
"Apollo Theo, ADN",
DAVID NINE,
"David Caballero, Nia Martin",
DJ Kay Slay,"rap, Hip-Hop, hip hop, rnb, new york, dj, All, mixtape, funk_add_to_lidarr_batch_6, spotify"
Mauwe,"UK, pop"
VanJess,"rnb, soul, electronic, pop, female vocalists, Hip-Hop, cover, California, nigeria, Girl Groups"
TWINKIDS,"synthpop, indie pop, indie, pop, USA, synthwave, electronic"
Ira Wolf,"singer-songwriter, folk, USA, female vocalist, american, Nashville, Estados Unidos"
"Matoma, The Vamps",
Felix Snow,"Hip-Hop, american, future beats, Dreamy"
Sylvia Erla,"pop, iceland, electropop, electronica, female vocalists, icelandic, Icelandic Female Vocalists"
Hildur,"pop, female vocalists, icelandic, electropop, Eurovision, electronic, iceland, muchos guapa, Reykjavik, Island"
Blkprty,
Helgi B,
Villi,"deathcore, downtempo, hardcore, thrash metal, black metal, metalcore, electronic, electro, sludgewave, metal"
"JEONG SEWOON, Sik-K",
VIXX LR,"pop, k-pop, Korean, Kpop, vixx lr, vixx, sub-unit, duo, electro-pop, best"
JEONG SEWOON,"pop, k-pop, Korean, Ballad, ost, Kpop, rnb, 1997, Produce 101, korean rnb"
Mimi Peri,
Mollie King,"pop, UK, british, Britney Spears, The Saturdays, singer-songwriter, female vocalists, UK Pop, england, solo"
Rusangano Family,"irish, soul, hip hop, Hip-Hop, afrobeat, massive, Hip-Hip, great escape 2016, tge16"
Ghemon,"italian, Hip-Hop, rap, soul, chill rap, rnb, political hip-hop, Neo Soul, hip hop, italian rap"
"Zeero, Sheffo",
Selton,"indie rock, alternative, brazilian, brazil, brasil, cover, folk, Italy, italian, male vocalists"
Godblesscomputers,"ambient, idm, dub, electronica, trip-hop, glitch, electronic, italian, experimental, beats"
Mostro,"experimental, post-rock, rap, hip hop, Italy, hiphop, indie, instrumental, death metal, electronic"
Bassi Maestro,"hip hop, rap, italian, Hip-Hop, underground hip-hop, guitar, electronic, electronica, global fusion, alternative rap"
Masayoshi Iimori,"trap, experimental, japanese, electronic, neurofunk, chiptune, Drum and bass"
Attractions,"indie, post rock, indie rock, alternative, post, japan, post-rock, nova, northern virginia, Dope"
Seiko Oomori,"japanese, j-pop, female vocalists, pop, rock, folk, indie, alternative, women with goat-like voices, indie rock"
"neconemuru, Yuma Abe",
kimi no orphée,
Qrion,"chillwave, japanese, electronic, idm, japan, House, bitpop, Melodic House, Progressive House, progressive breaks"
sui sui duck,"indie, j-pop, japan"
Jalen Santoy,"Hip-Hop, rap, hip hop, North Carolina, United States, charlotte"
Scriptonite,"rap, russian rap, kazakh, Kazakhstan, trap rap"
Gregory Porter,"jazz, soul, vocal jazz, Smooth Jazz, american, jazz vocal, All, soul jazz, male vocalists, Gregory Porter"
Die Toten Hosen,"punk rock, german, punk, rock, Deutschrock, deutsch, deutschpunk, Die Toten Hosen, alternative, punkrock"
Ella,"rock, croatian, hard rock, malaysia, female vocalists, jazz, post-hardcore, electronic, Norway, netherlands"
Odisseo,"All, indie rock, rock, mexico, rock mexicano, mexican, post-punk, Rock Latino, indie latino"
"SBM, Brosste Moor",
Amandititita,"cumbia, mexico, anarcumbia, spanish, perra, accordion, naco, deforme, world, female"
"El David Aguilar, Caloncho",
Yung Nnelg,"trap, hip hop, nederhop, dutch, smib"
Ares,"Melodic Death Metal, Hip-Hop, nederhop, dutch, Korean, rap, metal, black metal, k-rock, Nu Metal"
"AKA Block, Satta",
Mr. Probz,"Hip-Hop, dutch, rap, nederhop, netherlands, pop, the netherlands, male vocalists, hip hop, Mr Probz"
The Tech Thieves,"electronic, female vocalists, indie pop, Canadian, canada, female vocals, great vocals, trap, electronic superhighway, great discovery"
Nick & Simon,"Nederlandstalig, dutch, pop, Nederpop, nick en simon, male vocalists, holland, holland pop, dutch pop, palingpop"
Edsen,
Ouasside,
Koen,"beats, Hip-Hop, melodic hardcore, punk rock, dutch, tribal, rap, a wilhelm scream, pop, hip hop"
PBH & JACK,"spain, electronic, EDM"
Madison Mars,"future house, House, dutch, electronic, All, electro house, estonian, EDM"
LA WOMEN,"pop, soul, rnb, New Zealand"
ARY,"norwegian, kizomba, angola, female vocalist, Norway, electronic, pop, african, scandinavian, electropop"
Neil Finn,"New Zealand, singer-songwriter, rock, pop, indie, male vocalists, Kiwi, Soundtrack, pop rock, acoustic"
MAALA,"indie, New Zealand, pop, rock, electronic, synthpop, indie pop"
Carlos Sagel,
Raes,"70s, dance, female vocalists, american, 1970s, Disco, 1980s, drjazzmrfunkmusic"
